Store Number,Power Outage Risk Evaluation,Project Status,Generator Qualification,Projected Install Completion Date,Actual Install Completion Date
1,,,Yes,,
2,,Complete,Already Approved,7/16/2019,7/16/2019
3,,,Yes,,
4,,,No,,
5,,,Yes,,
7,,,Yes,,
8,,,Yes,,
9,,,No,,
10,,,No,,
11,,,No,,
12,,,Yes,,
13,,,Yes,,
14,,,Yes,,
15,,,Yes,,
16,,,No,,
17,,,No,,
18,,,No,,
19,,,No,,
20,,,Yes,,
21,,,No,,
22,,,Yes,,
23,,Complete,Already Approved,10/4/2022,10/4/2022
24,,Complete,Already Approved,1/1/2014,1/1/2014
25,,,No,,
26,,,No,,
27,,,No,,
28,,,No,,
29,,,No,,
30,,,Yes,,
31,,,No,,
32,,,No,,
33,,Complete,Already Approved,4/21/2022,4/21/2022
34,,,Yes,,
35,,,Yes,,
36,,,No,,
37,,,No,,
38,,,No,,
39,,,No,,
40,,,No,,
41,,,No,,
42,,,No,,
43,,,No,,
44,,,No,,
45,,,No,,
46,,,No,,
47,,,Yes,,
48,,,No,,
49,,,Yes,,
50,,,Yes,,
51,,,No,,
52,,Complete,Already Approved,8/29/2019,8/29/2019
54,,,Yes,,
55,,,No,,
56,,,No,,
57,,,Yes,,
58,,Complete,Already Approved,7/24/2019,7/24/2019
59,,,No,,
60,,,No,,
61,,,No,,
62,,,Yes,,
63,,,No,,
64,,,No,,
65,,,No,,
66,,,No,,
67,,,No,,
68,,,Yes,,
69,,,Yes,,
70,,,No,,
71,,,Yes,,
72,,,No,,
73,,,No,,
74,,,No,,
75,,,Yes,,
76,,,No,,
77,,,Yes,,
78,,,No,,
79,,,No,,
80,,,Yes,,
81,,,No,,
82,,,No,,
83,,Complete,Already Approved,6/7/2019,6/7/2019
85,,,No,,
86,,,Yes,,
87,,,Yes,,
88,,,No,,
89,,,No,,
90,,,Yes,,
91,,Complete,Already Approved,7/2/2019,7/2/2019
92,,,No,,
93,,,Yes,,
94,,,Yes,,
95,,,No,,
96,,,No,,
97,,,No,,
98,,,Yes,,
99,,,No,,
100,,Scheduled,Already Approved,10/5/2023,10/5/2023
101,,,No,,
102,,Complete,Already Approved,7/12/2019,7/12/2019
103,,,No,,
104,,,Yes,,
105,,Complete,Already Approved,9/22/2022,9/22/2022
106,,,Yes,,
107,,Scheduled,Already Approved,7/11/2023,
108,,,Yes,,
109,,,No,,
110,,Complete,Already Approved,6/7/2019,6/7/2019
111,,,No,,
112,,,No,,
113,,,No,,
114,,,No,,
115,,,No,,
116,,,No,,
117,,,No,,
118,,,Yes,,
119,,Complete,Already Approved,7/12/2019,7/12/2019
120,,,Yes,,
121,,,No,,
122,,,No,,
123,,,Yes,,
124,,Complete,Already Approved,8/20/2019,8/20/2019
125,,Pending,Already Approved,,
126,,,No,,
127,,Complete,Already Approved,8/27/2019,8/27/2019
128,,,No,,
129,,,No,,
130,,,Yes,,
131,,,No,,
132,,,Yes,,
133,,,No,,
134,,,Yes,,
135,,,No,,
136,,,Yes,,
137,,,No,,
138,,,No,,
139,,,Yes,,
140,,Complete,Already Approved,12/21/2021,12/21/2021
141,,,No,,
143,,,Yes,,
144,,,No,,
145,,,No,,
146,,,Yes,,
147,,,Yes,,
148,,,Yes,,
149,,,Yes,,
150,,,No,,
151,,,No,,
152,,,No,,
153,,,Yes,,
154,,,Yes,,
155,,,No,,
157,,Complete,Already Approved,7/10/2019,7/10/2019
158,,,No,,
159,,,No,,
160,,,No,,
161,,,No,,
162,,,No,,
163,,,Yes,,
164,,,Yes,,
165,,,Yes,,
166,,,No,,
