Store,Format,City,State,Rx Freq,July DEA,August DEA,September DEA,Service Provider,Phone Number
9,SUP,SIKESTON,MO,180,,,,CLEAN EARTH,877-406-5295
13,SUP,CARTHAGE,MO,180,,,,CLEAN EARTH,877-406-5295
14,SUP,LEBANON,MO,180,,,,CLEAN EARTH,877-406-5295
15,SUP,WEST PLAINS,MO,180,,,,CLEAN EARTH,877-406-5295
17,SUP,NEOSHO,MO,180,,,,CLEAN EARTH,877-406-5295
19,SUP,POPLAR BLUFF,MO,180,,,,CLEAN EARTH,877-406-5295
20,SUP,CLINTON,MO,180,,,,CLEAN EARTH,877-406-5295
21,SUP,SAINT ROBERT,MO,180,,,,CLEAN EARTH,877-406-5295
25,SUP,MEXICO,MO,180,,,,CLEAN EARTH,877-406-5295
26,SUP,LEAVENWORTH,KS,180,,,,CLEAN EARTH,877-406-5295
27,SUP,SALEM,MO,180,,,,CLEAN EARTH,877-406-5295
29,SUP,JEFFERSON CITY,MO,180,,,,CLEAN EARTH,877-406-5295
30,SUP,DEXTER,MO,180,,,,CLEAN EARTH,877-406-5295
32,WMT,BRANSON,MO,180,,,,CLEAN EARTH,877-406-5295
34,SUP,NEVADA,MO,180,,,,CLEAN EARTH,877-406-5295
35,SUP,MANHATTAN,KS,180,,,,CLEAN EARTH,877-406-5295
37,SUP,FARMINGTON,MO,180,,,,CLEAN EARTH,877-406-5295
39,SUP,FORT SCOTT,KS,180,,,,CLEAN EARTH,877-406-5295
40,SUP,MOBERLY,MO,180,,,,CLEAN EARTH,877-406-5295
42,SUP,COFFEYVILLE,KS,180,,,,CLEAN EARTH,877-406-5295
43,SUP,JUNCTION CITY,KS,180,,,,CLEAN EARTH,877-406-5295
44,WMT,ELDON,MO,180,,,,CLEAN EARTH,877-406-5295
46,SUP,BOLIVAR,MO,180,,,,CLEAN EARTH,877-406-5295
48,SUP,MONETT,MO,180,,,,CLEAN EARTH,877-406-5295
51,SUP,FULTON,MO,180,,,,CLEAN EARTH,877-406-5295
56,SUP,AVA,MO,180,,,,CLEAN EARTH,877-406-5295
59,SUP,JOPLIN,MO,180,,,,CLEAN EARTH,877-406-5295
60,SUP,TROY,MO,180,,,,CLEAN EARTH,877-406-5295
61,SUP,WARRENSBURG,MO,180,,,,CLEAN EARTH,877-406-5295
64,SUP,Brownsville,TN,180,,,,CLEAN EARTH,877-406-5295
