Store Number,City and State ,Supplier Name,Supplier Contact ,Date Scheduled to Transition
2367,"PINE CITY, MN",PPG,724-816-5662,7/16/2023
1634,LITTLE FALLS MN,PPG,724-816-5662,7/16/2023
3875,"WAHPETON, ND",PPG,724-816-5662,7/16/2023
1654,BAXTER MN,PPG,724-816-5662,7/16/2023
1534,BISMARCK ND,PPG,724-816-5662,7/16/2023
1649,JAMESTOWN ND,PPG,724-816-5662,7/16/2023
1633,ST CLOUD MN,PPG,724-816-5662,7/16/2023
1567,DICKINSON ND,PPG,724-816-5662,7/16/2023
2033,MANDAN BISMARCK ND,PPG,724-816-5662,7/16/2023
3648,"BISMARCK, ND",PPG,724-816-5662,7/16/2023
3404,ROSEVILLE MN,PPG,724-816-5662,7/16/2023
5977,BURNSVILLE MN,PPG,724-816-5662,7/16/2023
927,PLAINVIEW TX,PPG,724-816-5662,7/17/2023
851,"RUIDOSO DOWNS, NM",PPG,724-816-5662,7/17/2023
822,AMARILLO TX,PPG,724-816-5662,7/17/2023
4341,"TRUTH OR CONSEQUENCES, NM",PPG,724-816-5662,7/17/2023
1272,SNYDER TX,PPG,724-816-5662,7/17/2023
611,ROSWELL NM,PPG,724-816-5662,7/17/2023
1306,ALAMOGORDO NM,PPG,724-816-5662,7/17/2023
755,AMARILLO TX,PPG,724-816-5662,7/17/2023
3427,ARTESIA NM,PPG,724-816-5662,7/17/2023
3805,"WOODLAND PARK, CO",PPG,724-816-5662,7/17/2023
5492,"SOCORRO, NM",PPG,724-816-5662,7/17/2023
1273,FOUNTAIN CO,PPG,724-816-5662,7/17/2023
793,CANYON TX,PPG,724-816-5662,7/17/2023
945,LUBBOCK TX (W),PPG,724-816-5662,7/17/2023
2653,"PORTALES, NM",PPG,724-816-5662,7/17/2023
3826,"LUBBOCK (TXTECH), TX",PPG,724-816-5662,7/17/2023
821,CLOVIS NM,PPG,724-816-5662,7/17/2023
549,HOBBS NM,PPG,724-816-5662,7/17/2023
1585,NORTH PLATTE NE,PPG,724-816-5662,7/17/2023
626,SEMINOLE TX,PPG,724-816-5662,7/17/2023
400,CONROE TX,PPG,724-816-5662,7/17/2023
861,LUBBOCK TX,PPG,724-816-5662,7/17/2023
4299,"LUBBOCK (SW), TX",PPG,724-816-5662,7/17/2023
5170,SIDNEY NE,PPG,724-816-5662,7/17/2023
6898,LUBBOCK QUAKER TX,PPG,724-816-5662,7/17/2023
7129,OGALLALA NE,PPG,724-816-5662,7/17/2023
3390,WOODLAND (W) TX,PPG,724-816-5662,7/17/2023
3018,FOUNTAIN CO,PPG,724-816-5662,7/17/2023
3382,PUEBLO WEST CO,PPG,724-816-5662,7/18/2023
842,"PUEBLO (N), CO",PPG,724-816-5662,7/18/2023
1001,"PUEBLO, CO",PPG,724-816-5662,7/18/2023
2579,"CHADRON, NE",PPG,724-816-5662,7/18/2023
867,SCOTTSBLUFF NE,PPG,724-816-5662,7/18/2023
3213,"THE WOODLANDS, TX",PPG,724-816-5662,7/18/2023
602,"THE WOODLANDS,TX",PPG,724-816-5662,7/18/2023
1384,LA JUNTA CO,PPG,724-816-5662,7/19/2023
2672,"LAMAR, CO",PPG,724-816-5662,7/19/2023
1543,SPEARFISH SD,PPG,724-816-5662,7/19/2023
1604,RAPID CITY SD,PPG,724-816-5662,7/19/2023
3872,"RAPID CITY (S), SD",PPG,724-816-5662,7/19/2023
1685,PIERRE SD,PPG,724-816-5662,7/19/2023
5091,HOUSTON ROSEHILL TX,PPG,724-816-5662,7/19/2023
951,HEMPSTEAD TX,PPG,724-816-5662,7/19/2023
1485,GILLETTE WY,PPG,724-816-5662,7/20/2023
921,SALIDA CO,PPG,724-816-5662,7/20/2023
1019,CANON CITY CO,PPG,724-816-5662,7/20/2023
5287,"SPRING, TX",PPG,724-816-5662,7/20/2023
351,TOMBALL TX,PPG,724-816-5662,7/20/2023
869,ALAMOSA CO,PPG,724-816-5662,7/21/2023
2608,"MILES CITY, MT",PPG,724-816-5662,7/21/2023
1565,WILLISTON ND,PPG,724-816-5662,7/21/2023
5003,PAGOSA SPRINGS CO,PPG,724-816-5662,7/21/2023
703,TOMBALL TX,PPG,724-816-5662,7/21/2023
5045,HOUSTON (SPG CYP) TX,PPG,724-816-5662,7/21/2023
4253,"SAUK CENTRE, MN",PPG,724-816-5662,7/23/2023
1535,SIOUX FALLS SD,PPG,724-816-5662,7/23/2023
1152,SIOUX CENTER IA,PPG,724-816-5662,7/23/2023
2352,"CAMBRIDGE, MN",PPG,724-816-5662,7/23/2023
4865,SIOUX FALLS N SD,PPG,724-816-5662,7/23/2023
1472,HASTINGS MN,PPG,724-816-5662,7/23/2023
2443,SIOUX FALLS S SD,PPG,724-816-5662,7/23/2023
2274,"FOREST LAKE, MN",PPG,724-816-5662,7/23/2023
3237,SIOUX FALLS SD,PPG,724-816-5662,7/23/2023
3088,ST CLOUD MN,PPG,724-816-5662,7/23/2023
5992,LAKEVILLE MN,PPG,724-816-5662,7/23/2023
1786,EAGAN MN,PPG,724-816-5662,7/23/2023
372,DODGE CITY KS,PPG,724-816-5662,7/24/2023
600,PAMPA TX,PPG,724-816-5662,7/24/2023
799,LIBERAL KS,PPG,724-816-5662,7/24/2023
3229,"VERNON, TX",PPG,724-816-5662,7/24/2023
2923,"BILLINGS, MT",PPG,724-816-5662,7/24/2023
812,DUMAS TX,PPG,724-816-5662,7/24/2023
3384,HEREFORD (NW) TX,PPG,724-816-5662,7/24/2023
1516,BORGER TX,PPG,724-816-5662,7/24/2023
1437,GUYMON OK,PPG,724-816-5662,7/24/2023
900,CHILDRESS TX,PPG,724-816-5662,7/24/2023
652,GARDEN CITY KS,PPG,724-816-5662,7/24/2023
1058,MONTROSE CO,PPG,724-816-5662,7/24/2023
1956,BILLINGS MT,PPG,724-816-5662,7/24/2023
5216,"AMARILLO, (NW) TX",PPG,724-816-5662,7/24/2023
4412,"LAUREL, MT",PPG,724-816-5662,7/24/2023
3596,"LOS LUNAS, NM",PPG,724-816-5662,7/24/2023
3732,"RIO RANCHO (W), NM",PPG,724-816-5662,7/24/2023
3383,"AMARILLO (SC), TX",PPG,724-816-5662,7/24/2023
3731,"BERNALILLO, NM",PPG,724-816-5662,7/24/2023
437,SEALY TX,PPG,724-816-5662,7/24/2023
1257,STAMFORD TX,PPG,724-816-5662,7/24/2023
3423,"SANTA FE (S), NM",PPG,724-816-5662,7/24/2023
849,HOUST/HUMBLE/ALBIDE,PPG,724-816-5662,7/24/2023
1550,GUNNISON CO,PPG,724-816-5662,7/24/2023
1280,GRAND JUNCTION CO,PPG,724-816-5662,7/25/2023
1457,RIVERTON WY,PPG,724-816-5662,7/25/2023
1778,CODY WY,PPG,724-816-5662,7/25/2023
5458,DELTA CO,PPG,724-816-5662,7/25/2023
5099,GRAND JUNCTION (W) CO,PPG,724-816-5662,7/25/2023
546,"RICHMOND, TX",PPG,724-816-5662,7/25/2023
4111,RICHMOND TX,PPG,724-816-5662,7/25/2023
5232,"RIFLE, CO",PPG,724-816-5662,7/26/2023
1617,CASPER WY,PPG,724-816-5662,7/26/2023
1095,GLENWOOD SPRINGS CO,PPG,724-816-5662,7/26/2023
1508,SHERIDAN WY,PPG,724-816-5662,7/26/2023
1067,HALLETSVILLE TX,PPG,724-816-5662,7/26/2023
772,HOUSTON (ALIEF) TX,PPG,724-816-5662,7/26/2023
2505,"MISSOURI CITY, TX",PPG,724-816-5662,7/27/2023
2993,"SUGAR LAND, TX",PPG,724-816-5662,7/27/2023
986,FRISCO CO,PPG,724-816-5662,7/27/2023
1199,AVON CO,PPG,724-816-5662,7/27/2023
2293,"GOLDEN, CO",PPG,724-816-5662,7/28/2023
2820,"WORTHINGTON, MN",PPG,724-816-5662,7/30/2023
3806,"FAIRMONT, MN",PPG,724-816-5662,7/30/2023
1415,SPIRIT LAKE IA,PPG,724-816-5662,7/30/2023
3853,"HURON, SD",PPG,724-816-5662,7/30/2023
1538,BROOKINGS SD,PPG,724-816-5662,7/30/2023
2714,"SPENCER, IA",PPG,724-816-5662,7/30/2023
1500,WATERTOWN SD,PPG,724-816-5662,7/30/2023
2812,"ROCHESTER (S), MN",PPG,724-816-5662,7/30/2023
5397,"WINONA, MN",PPG,724-816-5662,7/30/2023
2990,"MITCHELL, SD",PPG,724-816-5662,7/30/2023
1520,ABERDEEN SD,PPG,724-816-5662,7/30/2023
3760,"NEW ULM, MN",PPG,724-816-5662,7/30/2023
4201,"EDGEWOOD, NM",PPG,724-816-5662,7/31/2023
479,ALTUS OK,PPG,724-816-5662,7/31/2023
134,ELK CITY OK,PPG,724-816-5662,7/31/2023
790,MCCOOK NE,PPG,724-816-5662,7/31/2023
2652,"GRANTS, NM",PPG,724-816-5662,7/31/2023
150,WOODWARD OK,PPG,724-816-5662,7/31/2023
1214,"COLBY, KS",PPG,724-816-5662,7/31/2023
2562,"GOODLAND, KS",PPG,724-816-5662,7/31/2023
392,WEATHERFORD OK,PPG,724-816-5662,7/31/2023
1397,ALBQUERQUE (NW) NM,PPG,724-816-5662,7/31/2023
2656,"ESPANOLA, NM",PPG,724-816-5662,7/31/2023
607,HOBART OK,PPG,724-816-5662,7/31/2023
3572,PEARLAND TX 11-12-02,PPG,724-816-5662,7/31/2023
835,ALBUQUERQUE - JUAN TOBO,PPG,724-816-5662,7/31/2023
3510,PEARLAND TX,PPG,724-816-5662,7/31/2023
3197,TAMPA BEARRS FL,PPG,724-816-5662,8/1/2023
504,GALVESTON TX,PPG,724-816-5662,8/1/2023
1482,TAMPA (W)FL,PPG,724-816-5662,8/1/2023
1062,WEBSTER TX,PPG,724-816-5662,8/1/2023
4436,"ALPHARETTA (NE), GA",PPG,724-816-5662,8/1/2023
1279,HOUSTON TX,PPG,724-816-5662,8/2/2023
1960,"TAMPA, FL (S)",PPG,724-816-5662,8/2/2023
3067,NORCROSS E GA,PPG,724-816-5662,8/2/2023
3298,"HOUSTON, TX",PPG,724-816-5662,8/2/2023
3389,SNELLVILLE (S) GA,PPG,724-816-5662,8/3/2023
1720,SNELLVILLE GA,PPG,724-816-5662,8/3/2023
2627,"TAMPA, FL",PPG,724-816-5662,8/3/2023
2740,"TAMPA, FL",PPG,724-816-5662,8/3/2023
780,MONROE GA,PPG,724-816-5662,8/4/2023
5036,TAMPA (GUNN) FL,PPG,724-816-5662,8/4/2023
4681,"TAMPA (GANDY), FL",PPG,724-816-5662,8/4/2023
4257,"AUSTIN, MN",PPG,724-816-5662,8/6/2023
1632,ALEXANDRIA MN,PPG,724-816-5662,8/6/2023
1627,"DILWORTH, MN",PPG,724-816-5662,8/6/2023
1020,ALBERT LEA MN,PPG,724-816-5662,8/6/2023
982,OWATONNA MN,PPG,724-816-5662,8/6/2023
1657,FARIBAULT MN,PPG,724-816-5662,8/6/2023
2957,"DETROIT LAKES, MN",PPG,724-816-5662,8/6/2023
1038,WASECA MN,PPG,724-816-5662,8/6/2023
4352,"FARGO (S), ND",PPG,724-816-5662,8/6/2023
1473,MANKATO MN,PPG,724-816-5662,8/6/2023
1581,FARGO ND,PPG,724-816-5662,8/6/2023
1971,"ROCHESTER, MN",PPG,724-816-5662,8/6/2023
1380,LAS VEGAS NM,PPG,724-816-5662,8/7/2023
873,TAOS NM,PPG,724-816-5662,8/7/2023
2924,"ALBUQUERQUE (W), NM",PPG,724-816-5662,8/7/2023
850,"ALBUQUERQUE (C), NM",PPG,724-816-5662,8/7/2023
5964,TAMPA 22ND AND HILL FL,PPG,724-816-5662,8/7/2023
3709,"ATLANTA (GRESHAM), GA",PPG,724-816-5662,8/7/2023
1040,HOUSTON (SPENCER) TX,PPG,724-816-5662,8/7/2023
5220,TAMPA (DM WATERS) FL,PPG,724-816-5662,8/7/2023
2257,"HOUSTON, TX",PPG,724-816-5662,8/7/2023
2387,"BRANDON, (W) FL",PPG,724-816-5662,8/8/2023
3463,BRANDON FL,PPG,724-816-5662,8/8/2023
3741,"ATLANTA, GA",PPG,724-816-5662,8/8/2023
3296,"HOUSTON, TX",PPG,724-816-5662,8/8/2023
1409,HOUSTON TX,PPG,724-816-5662,8/8/2023
3775,"ATLANTA (HOWELL MILL), GA",PPG,724-816-5662,8/8/2023
925,SEFFNER FL /MANGO,PPG,724-816-5662,8/9/2023
3401,COLLEGE PARK GA,PPG,724-816-5662,8/9/2023
594,"FAYETTEVILLE, GA",PPG,724-816-5662,8/9/2023
3302,"HOUSTON (W TOLLWAY), TX",PPG,724-816-5662,8/9/2023
941,BRANDON FL,PPG,724-816-5662,8/9/2023
2066,"HOUSTON, TX",PPG,724-816-5662,8/9/2023
1245,LAKELAND(N) FL,PPG,724-816-5662,8/10/2023
855,UNION CITY GA,PPG,724-816-5662,8/10/2023
3585,WOODLANDS E TX,PPG,724-816-5662,8/10/2023
779,LAKELAND FL,PPG,724-816-5662,8/10/2023
3461,PEACHTREE CITY GA,PPG,724-816-5662,8/10/2023
2718,"HOUSTON (C), TX",PPG,724-816-5662,8/10/2023
4690,"ST. PETERSBURG (C), FL",PPG,724-816-5662,8/11/2023
1536,ST PETERSBURG FL,PPG,724-816-5662,8/11/2023
5444,IRONWOOD MI,PPG,mkoller@ppg.com,8/13/2023
1672,ASHLAND WI,PPG,mkoller@ppg.com,8/13/2023
4246,"WADENA, MN",PPG,mkoller@ppg.com,8/13/2023
1929,"CLOQUET, MN",PPG,mkoller@ppg.com,8/13/2023
1858,"MONTEVIDEO, MN",PPG,mkoller@ppg.com,8/13/2023
3761,"THIEF RIVER FALLS, MN",PPG,mkoller@ppg.com,8/13/2023
