BU,Building Assignment,Organization ,Business Unit,Function
Corporate Affairs,Sparky,Corporate Functions,Corporate Affairs,Corporate Real Estate
Corporate Affairs,Sparky,Corporate Functions,Corporate Affairs,Global Communications
Corporate Affairs,Sparky,Corporate Functions,Corporate Affairs,Global Public Policy 
Corporate Affairs,Sparky,Corporate Functions,Corporate Affairs,Global Responsibility
Corporate Affairs,Sparky,Corporate Functions,Corporate Affairs,Government Relations
Corporate Affairs,Purpose,Corporate Functions,Corporate Affairs,International Communications
Corporate Affairs,Sparky,Corporate Functions,Corporate Affairs,Public Affairs - State and Local Government Affairs
Design,Upstream,Walmart US,Design,Design
eCommerce,Upstream,Walmart US,eCommerce,eCommerce
End to End,DGTC,Global Tech,End to End,End to End Fulfillment
End to End,Together,Walmart US,End to End,Innovation & Transformation
End to End,Together,Walmart US,End to End,Last Mile Delivery
End to End,Change,Walmart US,End to End,Supply Chain
Energy Transformation,Always,Walmart US,Energy Transformation,Energy Transformation
Enterprise Business Services,DGTC,Global Tech,Enterprise Business Services,Associate Digital Experience
Enterprise Business Services,DGTC,Global Tech,Enterprise Business Services,Enterprise Business Services
Enterprise Business Services,DGTC,Global Tech,Enterprise Business Services,People Tech and Services
Global Finance,Always,Corporate Functions,Global Finance,​Real Estate Controllership
Global Finance,Always,Corporate Functions,Global Finance,​Real Estate Finance
Global Finance,Update Coming Soon,Corporate Functions,Global Finance,Audit
Global Finance,Purpose,Corporate Functions,Global Finance,Capital Markets
Global Finance,Change,Corporate Functions,Global Finance,Care Business Enablement (call center)
Global Finance,Change,Corporate Functions,Global Finance,Care Business Enablement (non-agents)
Global Finance,Purpose,Corporate Functions,Global Finance,Centralized Merchandise Finance
Global Finance,Purpose,Corporate Functions,Global Finance,Centralized Operations Finance
Global Finance,Purpose,Corporate Functions,Global Finance,Centralized Supply Chain Finance
Global Finance,Purpose,Corporate Functions,Global Finance,Centralized US Finance Planning - Analysis and Strategy
Global Finance,Ol' Roy,Corporate Functions,Global Finance,Consumables Merch Finance
Global Finance,Sparky,Corporate Functions,Global Finance,Corporate Functions Finance
Global Finance,Upstream,Corporate Functions,Global Finance,Customer Controllership
