Store Number,Contact Name,Vendor Name,Vendor Number,Phone Number,Notes 1,Notes 2,Notes 3  - none,,,
2748,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
1212,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
5174,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
2748,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
853,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
866,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
991,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
4581,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
934,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
4333,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
904,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
853,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
866,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
991,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
4581,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
6173,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
5113,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
1158,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1711,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1201,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
562,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
762,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
315,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
2723,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,15 case minimum,,,,
316,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
5126,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
691,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
301,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
300,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
2713,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
3386,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
670,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
7280,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
681,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
118,Customer Service,M PALAZOLA PRODUCE CO,160054,901-452-9797,Cochrell Banana on FOOD SAFETY HOLD 10/20/17,"M Palazola delivers MWF only, must place order night before!",,,,
273,Customer Service,M PALAZOLA PRODUCE CO,160054,901-452-9797,Cochrell Banana on FOOD SAFETY HOLD 10/20/17,"M Palazola delivers MWF only, must place order night before!",,,,
164,Customer Service,M PALAZOLA PRODUCE CO,160054,901-452-9797,Cochrell Banana on FOOD SAFETY HOLD 10/20/17,"M Palazola delivers MWF only, must place order night before!",,,,
258,Customer Service,M PALAZOLA PRODUCE CO,160054,901-452-9797,Cochrell Banana on FOOD SAFETY HOLD 10/20/17,"M Palazola delivers MWF only, must place order night before!",,,,
391,Customer Service,M PALAZOLA PRODUCE CO,160054,901-452-9797,Cochrell Banana on FOOD SAFETY HOLD 10/20/17,"M Palazola delivers MWF only, must place order night before!",,,,
662,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
409,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,25 cases minimum,,,,
1100,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,25 cases minimum,,,,
1124,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
394,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,20 case minimum,,,,
403,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,20 case minimum,,,,
712,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
7324,Bill Ganus,William L Ganus Produce,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
306,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
298,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
6878,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
332,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
375,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
433,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
434,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
2690,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
5703,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
5197,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
2114,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
1134,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
1063,,"Div 1 Store, must confirm",,,D1,,,,,
1638,David Ganus,GANUS FARMS,392576,205-807-1413,Next Day DELIVERY only,,,,,
1462,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
723,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1091,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Next Day DELIVERY only,,,,,
604,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Next Day DELIVERY only,,,,,
2534,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Next Day DELIVERY only,,,,,
734,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Next Day DELIVERY only,,,,,
740,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Next Day DELIVERY only,,,,,
424,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
4318,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
930,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
938,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
4407,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
5348,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
483,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
700,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1101,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
4324,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
5304,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
4264,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
4293,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
3049,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
3143,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
3357,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
3377,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
4473,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
4603,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,,,,,
5725,Call Center,CH Robinson,14012,877-344-3491,Same Day DELIVERY if ordered by 8am,ALSO:  Peddlers for SAME DAY/Ven# 664396 / ph# 602 253 3577,,,,
4490,Mark Damato,PALMISANO BROS (Peddler and Son),664396,602-253-3577 ,Same Day DELIVERY if ordered by 8am,,,,,
726,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
329,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
356,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
355,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
809,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
863,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
730,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
432,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
733,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
1057,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
764,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
425,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
731,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2306,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
715,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1052,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,25 cases minimum,,,,
287,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,20 case minimum,,,,
362,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,25 cases minimum,,,,
423,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2111,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
3271,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
4330,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1481,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
1229,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
4497,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
5262,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
5262,Travis Sharum,Twin City Produce,153265,479-756-6338,Same Day Delivery if ordered by 8am,,,,,
2533,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
990,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
3484,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
2760,David Ganus,GANUS FARMS,392576,205-807-1413,Next Day DELIVERY only,,,,,
1493,David Ganus,GANUS FARMS,392576,205-807-1413,Next Day DELIVERY only,,,,,
1174,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2533,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
3484,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1222,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1224,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1605,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
3785,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
7247,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
2739,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1620,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Next Day DELIVERY only,,,,,
1222,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1224,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1605,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
3785,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1362,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
919,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
