,,,,,"Updated July 18, 2025"
47,240,COMMERCE,TX,$0.00 ,"$8,657.09 "
47,468,TEXARKANA,AR,$0.00 ,"$14,347.70 "
344,499,ENID,OK,$0.00 ,"$9,649.85 "
345,168,OWASSO,OK,$0.00 ,"$10,396.56 "
347,90,GROVE,OK,$0.00 ,"$5,939.19 "
350,151,MCALESTER,OK,$0.00 ,"$5,055.76 "
351,103,SHAWNEE,OK,$0.00 ,"$5,719.01 "
352,137,STILLWATER,OK,$0.00 ,"$14,914.59 "
356,324,BRISTOW,OK,$0.00 ,"$5,846.58 "
356,4615,GLENPOOL,OK,$0.00 ,"$6,236.73 "
410,2893,INDEPENDENCE,KS,$0.00 ,"$8,129.72 "
367,3807,BENSON,AZ,$0.00 ,"$5,140.05 "
368,3407,BUCKEYE,AZ,$0.00 ,"$6,241.03 "
368,5369,GOODYEAR,AZ,$0.00 ,"$15,539.73 "
372,1381,APACHE JUNCTION,AZ,$0.00 ,"$5,428.50 "
375,869,ALAMOSA,CO,$0.00 ,"$11,408.02 "
384,906,GALLUP,NM,$0.00 ,"$5,353.40 "
385,3731,BERNALILLO,NM,$0.00 ,"$13,071.94 "
385,4201,EDGEWOOD,NM,$0.00 ,"$8,892.85 "
200,3328,GREENVILLE,MI,$0.00 ,"$19,128.48 "
202,1836,ADRIAN,MI,$0.00 ,"$10,244.71 "
203,1423,SAINT JOHNS,MI,$0.00 ,"$14,479.00 "
203,1733,OWOSSO,MI,$0.00 ,"$19,145.70 "
203,2869,LANSING,MI,$0.00 ,"$12,047.50 "
204,1428,MOUNT PLEASANT,MI,$0.00 ,"$23,208.19 "
204,5159,WEST BRANCH,MI,$0.00 ,"$17,660.43 "
206,2959,ROSEVILLE,MI,$0.00 ,"$11,844.72 "
206,4424,WARREN,MI,$0.00 ,"$13,184.50 "
206,5844,LIVONIA,MI,$0.00 ,"$8,691.96 "
207,3445,HOLLAND,OH,$0.00 ,"$12,605.31 "
207,5030,TOLEDO,OH,$0.00 ,"$14,005.26 "
213,1622,TIFFIN,OH,$0.00 ,"$9,196.09 "
208,2197,CORTLAND,OH,$0.00 ,"$11,076.09 "
208,2211,POLAND,OH,$0.00 ,"$12,314.11 "
208,3722,KENT,OH,$0.00 ,"$9,491.48 "
209,2313,STREETSBORO,OH,$0.00 ,"$11,283.28 "
214,2073,CLEVELAND,OH,$0.00 ,"$9,761.30 "
214,2266,STRONGSVILLE,OH,$0.00 ,"$9,859.31 "
214,4255,ELYRIA,OH,$0.00 ,"$12,596.14 "
215,2914,MASSILLON,OH,$0.00 ,"$7,139.82 "
215,2966,WADSWORTH,OH,$0.00 ,"$9,010.79 "
216,2078,MARIETTA,OH,$0.00 ,"$15,750.72 "
229,2540,CLARION,PA,$0.00 ,"$5,914.21 "
235,2420,BELLE VERNON,PA,$0.00 ,"$5,102.26 "
258,739,MIDDLESBORO,KY,$0.00 ,"$5,235.43 "
311,1302,NORTON,VA,$0.00 ,"$7,164.38 "
311,3270,WYTHEVILLE,VA,$0.00 ,"$6,394.93 "
217,1595,MARYSVILLE,OH,$0.00 ,"$11,352.56 "
218,1427,CIRCLEVILLE,OH,$0.00 ,"$22,793.87 "
218,1519,JACKSON,OH,$0.00 ,"$13,500.88 "
218,2400,CHILLICOTHE,OH,$0.00 ,"$19,356.05 "
218,3515,HILLSBORO,OH,$0.00 ,"$11,512.42 "
219,5184,CANAL WINCHESTER,OH,$0.00 ,"$12,405.38 "
221,3502,HAMILTON,OH,$0.00 ,"$8,217.97 "
222,1264,BELLEFONTAINE,OH,$0.00 ,"$8,875.87 "
222,1433,CELINA,OH,$0.00 ,"$19,326.41 "
223,3641,SPRINGFIELD,OH,$0.00 ,"$5,409.76 "
225,1521,CINCINNATI,OH,$0.00 ,"$5,402.09 "
225,2967,FT WRIGHT,KY,$0.00 ,"$11,921.18 "
239,1745,RICHMOND,IN,$0.00 ,"$5,396.37 "
239,3747,MUNCIE,IN,$0.00 ,"$6,553.78 "
246,1547,LAFAYETTE,IN,$0.00 ,"$8,027.08 "
246,1728,ANDERSON,IN,$0.00 ,"$8,521.17 "
246,1962,KOKOMO,IN,$0.00 ,"$5,113.46 "
247,1294,MARION,IN,$0.00 ,"$5,483.05 "
259,4461,LOUISA,KY,$0.00 ,"$5,697.05 "
265,3400,OSWEGO,IL,$0.00 ,"$5,866.39 "
265,3790,LOCKPORT,IL,$0.00 ,"$7,992.91 "
270,1377,JOHNSBURG,IL,$0.00 ,"$5,470.11 "
270,3434,WOODSTOCK,IL,$0.00 ,"$5,099.67 "
270,5060,ALGONQUIN,IL,$0.00 ,"$5,787.85 "
272,317,VANDALIA,IL,$0.00 ,"$6,205.37 "
273,422,ROBINSON,IL,$0.00 ,"$5,100.29 "
273,3255,SAVOY,IL,$0.00 ,"$10,649.98 "
275,609,HANNIBAL,MO,$0.00 ,"$9,070.02 "
333,32,BRANSON,MO,$0.00 ,"$7,051.17 "
333,379,OZARK,MO,$0.00 ,"$11,874.89 "
333,2175,BRANSON WEST,MO,$0.00 ,"$8,093.19 "
333,4381,BRANSON,MO,$0.00 ,"$14,075.39 "
336,89,CAMDENTON,MO,$0.00 ,"$9,443.16 "
357,46,BOLIVAR,MO,$0.00 ,"$6,130.71 "
357,86,SPRINGFIELD,MO,$0.00 ,"$12,903.81 "
357,179,SPRINGFIELD,MO,$0.00 ,"$13,623.96 "
359,159,COLUMBIA,MO,$0.00 ,"$9,748.80 "
359,451,COLUMBIA,MO,$0.00 ,"$11,724.56 "
360,135,CHILLICOTHE,MO,$0.00 ,"$12,943.93 "
360,801,MARYVILLE,MO,$0.00 ,"$23,271.20 "
360,2994,SAINT JOSEPH,MO,$0.00 ,"$10,224.19 "
362,1691,OVERLAND PARK,KS,$0.00 ,"$6,690.21 "
362,2490,ROELAND PARK,KS,$0.00 ,"$6,234.24 "
243,1160,AURORA,IN,$0.00 ,"$11,134.38 "
253,431,PADUCAH,KY,$0.00 ,"$9,330.27 "
253,491,PADUCAH,KY,$0.00 ,"$21,063.36 "
254,701,OWENSBORO,KY,$0.00 ,"$8,508.04 "
254,3363,OWENSBORO,KY,$0.00 ,"$8,372.81 "
260,1210,NICHOLASVILLE,KY,$0.00 ,"$5,258.89 "
271,196,CARBONDALE,IL,$0.00 ,"$9,477.42 "
271,262,BENTON,IL,$0.00 ,"$6,804.23 "
580,566,BOONVILLE,IN,$0.00 ,"$15,569.73 "
196,2434,IRON MOUNTAIN,MI,$0.00 ,"$11,154.59 "
440,1931,RHINELANDER,WI,$0.00 ,"$9,579.83 "
440,2813,MARSHFIELD,WI,$0.00 ,"$7,269.75 "
444,1012,BEAVER DAM,WI,$0.00 ,"$13,948.00 "
200,2238,MUSKEGON,MI,$0.00 ,"$5,224.68 "
37,5087,NORTH MYRTLE BEACH,SC,$0.00 ,"$9,148.66 "
38,511,SUMTER,SC,$0.00 ,"$8,470.49 "
38,1135,HARTSVILLE,SC,$0.00 ,"$9,360.12 "
39,1270,NORTH AUGUSTA,SC,$0.00 ,"$10,981.25 "
39,1382,GREENWOOD,SC,$0.00 ,"$7,758.65 "
41,1164,COLUMBIA,SC,$0.00 ,"$11,577.83 "
41,1339,COLUMBIA,SC,$0.00 ,"$5,708.09 "
42,4593,ROCK HILL,SC,$0.00 ,"$7,977.15 "
294,1663,WAYNESVILLE,NC,$0.00 ,"$6,894.88 "
294,2440,SYLVA,NC,$0.00 ,"$14,629.38 "
154,2228,PITTSFIELD,MA,$0.00 ,"$5,254.67 "
156,3409,LEICESTER,MA,$0.00 ,"$10,684.63 "
179,1924,PRESQUE ISLE,ME,$0.00 ,"$5,688.55 "
179,5076,BREWER,ME,$0.00 ,"$6,056.97 "
180,2046,AUGUSTA,ME,$0.00 ,"$6,210.31 "
180,2202,WINDHAM,ME,$0.00 ,"$5,165.47 "
181,2530,RUTLAND,VT,$0.00 ,"$6,619.17 "
187,1946,MASSENA,NY,$0.00 ,"$12,700.45 "
187,1994,PLATTSBURGH,NY,$0.00 ,"$8,489.79 "
187,2116,QUEENSBURY,NY,$0.00 ,"$8,271.17 "
187,5497,EVANS MILLS,NY,$0.00 ,"$15,599.59 "
188,1940,EAST GREENBUSH,NY,$0.00 ,"$7,989.90 "
188,3583,GLENMONT,NY,$0.00 ,"$7,888.57 "
162,2282,EAST WINDSOR,CT,$0.00 ,"$9,212.42 "
162,2854,LISBON,CT,$0.00 ,"$6,843.56 "
163,2719,BRISTOL,CT,$0.00 ,"$5,712.03 "
173,5294,MILFORD,CT,$0.00 ,"$19,306.83 "
190,1781,CORTLAND,NY,$0.00 ,"$6,357.15 "
190,1835,VESTAL,NY,$0.00 ,"$6,988.92 "
190,2120,NORWICH,NY,$0.00 ,"$6,312.99 "
226,1945,MANSFIELD,PA,$0.00 ,"$6,163.14 "
226,2024,TUNKHANNOCK,PA,$0.00 ,"$5,516.11 "
165,1742,TURNERSVILLE,NJ,$0.00 ,"$7,522.60 "
165,3774,WILLIAMSTOWN,NJ,$0.00 ,"$6,410.37 "
165,5476,WOODBURY,NJ,$0.00 ,"$6,525.58 "
168,1777,READING,PA,$0.00 ,"$7,225.46 "
168,3563,BETHLEHEM,PA,$0.00 ,"$7,228.41 "
170,2445,HATFIELD,PA,$0.00 ,"$5,537.77 "
170,3564,WILLOW GROVE,PA,$0.00 ,"$5,421.17 "
170,5130,PHILADELPHIA,PA,$0.00 ,"$7,547.46 "
170,5131,BENSALEM,PA,$0.00 ,"$5,747.79 "
178,3830,LITTLE EGG HARBOR,NJ,$0.00 ,"$5,400.56 "
178,5142,NEPTUNE,NJ,$0.00 ,"$8,901.89 "
232,1887,MONTOURSVILLE,PA,$0.00 ,"$14,481.21 "
232,2528,MILL HALL,PA,$0.00 ,"$11,123.73 "
234,1537,GETTYSBURG,PA,$0.00 ,"$7,619.72 "
234,3633,WAYNESBORO,PA,$0.00 ,"$8,529.01 "
284,1741,MILFORD,DE,$0.00 ,"$5,536.44 "
284,5039,CAMDEN,DE,$0.00 ,"$8,424.33 "
285,2460,SEAFORD,DE,$0.00 ,"$10,659.44 "
285,2514,POCOMOKE CITY,MD,$0.00 ,"$6,587.21 "
285,2791,GEORGETOWN,DE,$0.00 ,"$5,443.32 "
285,4378,ONLEY,VA,$0.00 ,"$5,854.53 "
558,3422,DEPTFORD,NJ,$0.00 ,"$6,441.71 "
296,2137,DURHAM,NC,$0.00 ,"$29,625.52 "
297,5292,RALEIGH,NC,$0.00 ,"$11,820.67 "
299,1664,WILSON,NC,$0.00 ,"$5,145.03 "
302,1300,NEW BERN,NC,$0.00 ,"$8,944.41 "
302,3825,HAVELOCK,NC,$0.00 ,"$5,770.57 "
302,3864,JACKSONVILLE,NC,$0.00 ,"$6,963.89 "
304,1290,WILKESBORO,NC,$0.00 ,"$11,911.46 "
309,1097,ABERDEEN,NC,$0.00 ,"$6,470.52 "
281,1968,ABERDEEN,MD,$0.00 ,"$8,748.93 "
281,5450,NORTH EAST,MD,$0.00 ,"$13,997.16 "
282,2435,DUNDALK,MD,$0.00 ,"$15,286.88 "
287,1525,MECHANICSVILLE,VA,$0.00 ,"$10,523.99 "
287,2295,RICHMOND,VA,$0.00 ,"$8,636.98 "
288,1759,GLOUCESTER,VA,$0.00 ,"$6,894.99 "
288,3831,PORTSMOUTH,VA,$0.00 ,"$6,471.82 "
289,5488,NORFOLK,VA,$0.00 ,"$6,248.52 "
290,5847,POWHATAN,VA,$0.00 ,"$6,963.19 "
291,1852,WOODBRIDGE,VA,$0.00 ,"$5,763.61 "
291,2520,FREDERICKSBURG,VA,$0.00 ,"$11,910.65 "
291,3588,DUMFRIES,VA,$0.00 ,"$5,250.35 "
312,2762,FAIRLAWN,VA,$0.00 ,"$21,249.47 "
312,3243,ROANOKE,VA,$0.00 ,"$20,425.37 "
315,1350,LYNCHBURG,VA,$0.00 ,"$29,677.64 "
315,1726,HARRISONBURG,VA,$0.00 ,"$25,578.89 "
508,1717,WALDORF,MD,$0.00 ,"$5,713.54 "
189,1806,GLOVERSVILLE,NY,$0.00 ,"$5,124.27 "
189,2444,ONEIDA,NY,$0.00 ,"$7,391.63 "
192,2859,ROCHESTER,NY,$0.00 ,"$16,356.96 "
194,1973,LAKEWOOD,NY,$0.00 ,"$12,467.00 "
194,2159,OLEAN,NY,$0.00 ,"$22,409.70 "
195,1909,NIAGARA FALLS,NY,$0.00 ,"$21,589.25 "
195,2107,LOCKPORT,NY,$0.00 ,"$19,442.36 "
195,4597,NORTH TONAWANDA,NY,$0.00 ,"$9,545.52 "
228,1656,MEADVILLE,PA,$0.00 ,"$5,047.44 "
228,2597,CRANBERRY,PA,$0.00 ,"$6,506.39 "
228,3514,BRADFORD,PA,$0.00 ,"$7,303.08 "
231,2664,PUNXSUTAWNEY,PA,$0.00 ,"$5,255.77 "
286,1406,WINCHESTER,VA,$0.00 ,"$5,939.79 "
286,1825,MANASSAS,VA,$0.00 ,"$6,833.91 "
286,3573,MANASSAS,VA,$0.00 ,"$9,108.46 "
381,1457,RIVERTON,WY,$0.00 ,"$10,603.76 "
381,3778,CASPER,WY,$0.00 ,"$5,335.68 "
383,2147,MISSOULA,MT,$0.00 ,"$15,836.98 "
383,2259,KALISPELL,MT,$0.00 ,"$12,152.97 "
383,2455,GREAT FALLS,MT,$0.00 ,"$10,186.24 "
383,2607,POLSON,MT,$0.00 ,"$8,622.13 "
383,3259,MISSOULA,MT,$0.00 ,"$20,919.53 "
383,7199,GREAT FALLS,MT,$0.00 ,"$7,708.55 "
406,369,WINFIELD,KS,$0.00 ,"$7,002.87 "
406,592,DERBY,KS,$0.00 ,"$18,935.80 "
406,790,MCCOOK,NE,$0.00 ,"$13,741.02 "
406,978,ARKANSAS CITY,KS,$0.00 ,"$8,441.15 "
407,35,MANHATTAN,KS,$0.00 ,"$14,386.22 "
407,43,JUNCTION CITY,KS,$0.00 ,"$5,470.69 "
407,558,SALINA,KS,$0.00 ,"$14,795.11 "
432,1671,PAPILLION,NE,$0.00 ,"$13,409.61 "
432,5141,OMAHA,NE,$0.00 ,"$15,065.50 "
432,5361,OMAHA,NE,$0.00 ,"$15,716.47 "
412,2957,DETROIT LAKES,MN,$0.00 ,"$7,543.10 "
413,1723,DES MOINES,IA,$0.00 ,"$16,813.18 "
414,892,ANKENY,IA,$0.00 ,"$9,099.42 "
414,1389,BOONE,IA,$0.00 ,"$8,226.70 "
415,646,ANAMOSA,IA,$0.00 ,"$5,638.39 "
418,784,MOUNT PLEASANT,IA,$0.00 ,"$12,111.52 "
418,1431,KEOKUK,IA,$0.00 ,"$10,412.40 "
419,2367,PINE CITY,MN,$0.00 ,"$10,147.13 "
421,3760,NEW ULM,MN,$0.00 ,"$7,704.48 "
422,1864,BROOKLYN PARK,MN,$0.00 ,"$5,437.01 "
422,2087,VADNAIS HEIGHTS,MN,$0.00 ,"$5,376.01 "
424,1633,SARTELL,MN,$0.00 ,"$5,741.29 "
424,2352,CAMBRIDGE,MN,$0.00 ,"$11,420.36 "
378,980,GREELEY,CO,$0.00 ,"$8,122.59 "
378,3177,FORT COLLINS,CO,$0.00 ,"$6,506.95 "
378,4599,TIMNATH,CO,$0.00 ,"$13,898.36 "
378,5051,GREELEY,CO,$0.00 ,"$10,748.63 "
379,1231,THORNTON,CO,$0.00 ,"$12,839.53 "
391,3227,MONUMENT,CO,$0.00 ,"$13,589.41 "
391,4335,FALCON,CO,$0.00 ,"$9,385.88 "
401,1699,LAYTON,UT,$0.00 ,"$10,361.35 "
401,4208,SALT LAKE CITY,UT,$0.00 ,"$10,806.19 "
403,1686,TAYLORSVILLE,UT,$0.00 ,"$11,020.02 "
582,4438,SARATOGA SPRINGS,UT,$0.00 ,"$16,835.45 "
582,5167,PAYSON,UT,$0.00 ,"$7,308.85 "
585,2223,WESTMINSTER,CO,$0.00 ,"$15,274.17 "
585,3533,DENVER,CO,$0.00 ,"$13,642.83 "
400,5494,IDAHO FALLS,ID,$0.00 ,"$11,080.80 "
452,3352,STOCKTON,CA,$0.00 ,"$5,698.81 "
455,3408,CARSON CITY,NV,$0.00 ,"$5,055.11 "
457,2052,UKIAH,CA,$0.00 ,"$8,367.34 "
468,1834,GRANTS PASS,OR,$0.00 ,"$10,657.19 "
468,5424,EAGLE POINT,OR,$0.00 ,"$14,513.04 "
511,2031,UNION CITY,CA,$0.00 ,"$9,840.38 "
396,1560,LAS VEGAS,NV,$0.00 ,"$5,408.25 "
447,2507,SANTA MARIA,CA,$0.00 ,"$6,101.11 "
465,5072,TORRANCE,CA,$0.00 ,"$5,463.66 "
581,2536,TULARE,CA,$0.00 ,"$7,801.17 "
445,1588,VICTORVILLE,CA,$0.00 ,"$12,123.00 "
445,2333,APPLE VALLEY,CA,$0.00 ,"$6,993.02 "
445,4340,HESPERIA,CA,$0.00 ,"$11,267.18 "
458,2150,SAN DIEGO,CA,$0.00 ,"$23,535.71 "
458,2291,CHULA VISTA,CA,$0.00 ,"$9,990.79 "
459,1917,SANTEE,CA,$0.00 ,"$10,326.47 "
459,2177,SAN DIEGO,CA,$0.00 ,"$14,847.80 "
460,2245,OCEANSIDE,CA,$0.00 ,"$10,343.98 "
463,1859,CALEXICO,CA,$0.00 ,"$7,189.56 "
467,2469,LONGVIEW,WA,$0.00 ,"$10,354.92 "
471,2319,OAK HARBOR,WA,$0.00 ,"$11,807.94 "
473,3260,EPHRATA,WA,$0.00 ,"$12,440.92 "
475,2101,KENNEWICK,WA,$0.00 ,"$13,669.51 "
475,2476,COLLEGE PLACE,WA,$0.00 ,"$5,596.26 "
475,3261,RICHLAND,WA,$0.00 ,"$11,961.50 "
477,1843,MCMINNVILLE,OR,$0.00 ,"$10,319.42 "
478,2315,DALLAS,OR,$0.00 ,"$5,745.91 "
514,2385,AUBURN,WA,$0.00 ,"$5,291.57 "
514,3794,FEDERAL WAY,WA,$0.00 ,"$5,683.75 "
