Store,Current GM Delivery Window,Updated GM Delivery Window,Delivery Window Change?
377,16:00-20:00,10:00-16:00,Yes
525,16:00-20:00,10:00-16:00,Yes
998,16:00-20:00,10:00-16:00,Yes
2328,16:00-20:00,10:00-16:00,Yes
2391,16:00-20:00,10:00-16:00,Yes
2394,16:00-20:00,10:00-16:00,Yes
2395,10:00-16:00,16:00-20:00,Yes
2397,10:00-16:00,16:00-20:00,Yes
2431,16:00-20:00,10:00-16:00,Yes
2433,10:00-16:00,16:00-20:00,Yes
2442,16:00-20:00,10:00-16:00,Yes
2465,16:00-20:00,10:00-16:00,Yes
2468,16:00-20:00,10:00-16:00,Yes
2488,16:00-20:00,10:00-16:00,Yes
2590,16:00-20:00,10:00-16:00,Yes
2686,16:00-20:00,10:00-16:00,Yes
2699,16:00-20:00,10:00-16:00,Yes
2731,16:00-20:00,10:00-16:00,Yes
2741,16:00-20:00,10:00-16:00,Yes
2742,16:00-20:00,10:00-16:00,Yes
2743,16:00-20:00,10:00-16:00,Yes
2744,16:00-20:00,10:00-16:00,Yes
2745,16:00-20:00,10:00-16:00,Yes
2773,10:00-12:00,16:00-20:00,Yes
2801,10:00-16:00,16:00-20:00,Yes
2835,10:00-16:00,16:00-20:00,Yes
2839,16:00-20:00,10:00-16:00,Yes
2840,16:00-20:00,10:00-16:00,Yes
2870,16:00-20:00,10:00-16:00,Yes
2875,16:00-20:00,10:00-16:00,Yes
2878,16:00-20:00,10:00-16:00,Yes
2880,10:00-16:00,16:00-20:00,Yes
2944,16:00-20:00,10:00-16:00,Yes
2975,10:00-16:00,16:00-20:00,Yes
2976,10:00-16:00,16:00-20:00,Yes
2977,10:00-16:00,16:00-20:00,Yes
3013,16:00-20:00,10:00-16:00,Yes
3015,10:00-16:00,16:00-20:00,Yes
3019,16:00-20:00,10:00-16:00,Yes
3022,16:00-20:00,10:00-16:00,Yes
3050,16:00-20:00,10:00-16:00,Yes
3062,16:00-20:00,10:00-16:00,Yes
3070,16:00-20:00,10:00-16:00,Yes
3071,16:00-20:00,10:00-16:00,Yes
3072,16:00-20:00,10:00-16:00,Yes
3074,16:00-20:00,10:00-16:00,Yes
3082,16:00-20:00,10:00-16:00,Yes
3083,16:00-20:00,10:00-16:00,Yes
3090,16:00-20:00,10:00-16:00,Yes
3098,16:00-20:00,10:00-16:00,Yes
3110,16:00-20:00,10:00-16:00,Yes
3111,16:00-20:00,10:00-16:00,Yes
3126,16:00-20:00,10:00-16:00,Yes
3127,16:00-20:00,10:00-16:00,Yes
3128,16:00-20:00,10:00-16:00,Yes
3144,16:00-20:00,10:00-16:00,Yes
3145,16:00-20:00,10:00-16:00,Yes
3146,16:00-20:00,10:00-16:00,Yes
3156,16:00-20:00,10:00-16:00,Yes
3157,16:00-20:00,10:00-16:00,Yes
3161,16:00-20:00,10:00-16:00,Yes
3168,16:00-20:00,10:00-16:00,Yes
3175,16:00-20:00,10:00-16:00,Yes
3176,16:00-20:00,10:00-16:00,Yes
3178,16:00-20:00,10:00-16:00,Yes
3184,16:00-20:00,10:00-16:00,Yes
3204,10:00-16:00,16:00-20:00,Yes
3238,16:00-20:00,10:00-16:00,Yes
3299,16:00-20:00,10:00-16:00,Yes
3330,16:00-20:00,10:00-16:00,Yes
3338,16:00-20:00,10:00-16:00,Yes
3340,10:00-16:00,16:00-20:00,Yes
3414,16:00-20:00,10:00-16:00,Yes
3424,16:00-20:00,10:00-16:00,Yes
3442,16:00-20:00,10:00-16:00,Yes
3449,10:00-16:00,16:00-20:00,Yes
3450,10:00-16:00,16:00-20:00,Yes
3457,10:00-16:00,16:00-20:00,Yes
3479,16:00-20:00,10:00-16:00,Yes
3508,10:00-16:00,16:00-20:00,Yes
3530,10:00-16:00,14:00-18:00,Yes
3593,16:00-20:00,10:00-16:00,Yes
3599,16:00-20:00,10:00-16:00,Yes
3603,16:00-20:00,10:00-16:00,Yes
3605,16:00-20:00,10:00-16:00,Yes
3606,16:00-20:00,10:00-16:00,Yes
3614,16:00-20:00,10:00-16:00,Yes
3615,16:00-20:00,10:00-16:00,Yes
3622,16:00-20:00,10:00-16:00,Yes
3628,16:00-20:00,10:00-16:00,Yes
3629,16:00-20:00,10:00-16:00,Yes
3638,16:00-20:00,10:00-16:00,Yes
3646,16:00-20:00,10:00-16:00,Yes
3654,16:00-20:00,10:00-16:00,Yes
3661,10:00-16:00,16:00-20:00,Yes
3713,16:00-20:00,10:00-16:00,Yes
3723,16:00-20:00,10:00-16:00,Yes
3724,16:00-20:00,10:00-16:00,Yes
