Store,Market,Region,City,State,Item Num,Item Desc,Preorder Qty,OH as of  6/4,Qty Need to cover Preorder,DC Send
98,135,42,BASTROP,LA,676540648,NSW2-NINTENDOSWITCH2,3,0,3,5
285,503,13,HUNTSVILLE,TX,677465325,NSW2-NINTENDOSWTMK8,29,0,29,40
285,503,13,HUNTSVILLE,TX,676540648,NSW2-NINTENDOSWITCH2,14,0,14,20
285,503,13,HUNTSVILLE,TX,676541915,NSW2-PROCONTROLLER,8,0,8,12
488,97,14,QUINCY,FL,677465325,NSW2-NINTENDOSWTMK8,12,7,5,17
621,38,4,LAKE CITY,SC,677465325,NSW2-NINTENDOSWTMK8,15,4,11,20
625,36,4,GEORGETOWN,SC,676540648,NSW2-NINTENDOSWITCH2,5,0,5,10
625,36,4,GEORGETOWN,SC,676541915,NSW2-PROCONTROLLER,5,0,5,12
625,36,4,GEORGETOWN,SC,677465325,NSW2-NINTENDOSWTMK8,14,13,1,19
630,38,4,FLORENCE,SC,676540648,NSW2-NINTENDOSWITCH2,14,0,14,20
642,38,4,CHERAW,SC,677465325,NSW2-NINTENDOSWTMK8,12,0,12,17
642,38,4,CHERAW,SC,676540648,NSW2-NINTENDOSWITCH2,5,0,5,10
806,387,46,LAS CRUCES,NM,676540648,NSW2-NINTENDOSWITCH2,18,15,3,20
905,379,54,LONGMONT,CO,676540648,NSW2-NINTENDOSWITCH2,16,15,1,20
912,125,13,NEW ORLEANS,LA,677465325,NSW2-NINTENDOSWTMK8,21,0,21,26
912,125,13,NEW ORLEANS,LA,676540648,NSW2-NINTENDOSWITCH2,9,0,9,15
912,125,13,NEW ORLEANS,LA,676541915,NSW2-PROCONTROLLER,3,0,3,8
916,141,13,HATTIESBURG,MS,676540648,NSW2-NINTENDOSWITCH2,14,0,14,20
969,143,13,GULFPORT,MS,677465325,NSW2-NINTENDOSWTMK8,33,0,33,44
969,143,13,GULFPORT,MS,676540648,NSW2-NINTENDOSWITCH2,14,0,14,20
969,143,13,GULFPORT,MS,676541915,NSW2-PROCONTROLLER,3,0,3,14
991,1,14,MOBILE,AL,677465325,NSW2-NINTENDOSWTMK8,21,11,10,26
1059,138,11,FOREST,MS,677465325,NSW2-NINTENDOSWTMK8,5,0,5,10
1059,138,11,FOREST,MS,676540648,NSW2-NINTENDOSWITCH2,2,0,2,10
1059,138,11,FOREST,MS,676541915,NSW2-PROCONTROLLER,1,0,1,8
1066,143,13,PASCAGOULA,MS,677465325,NSW2-NINTENDOSWTMK8,25,0,25,36
1066,143,13,PASCAGOULA,MS,676540648,NSW2-NINTENDOSWITCH2,9,0,9,15
1066,143,13,PASCAGOULA,MS,676541915,NSW2-PROCONTROLLER,6,0,6,12
1165,256,41,RADCLIFF,KY,676541915,NSW2-PROCONTROLLER,7,0,7,12
1191,296,26,HILLSBOROUGH,NC,676541915,NSW2-PROCONTROLLER,12,2,10,18
1197,301,26,ROCKY MOUNT,NC,677465325,NSW2-NINTENDOSWTMK8,19,8,11,24
1222,14,14,PENSACOLA,FL,677465325,NSW2-NINTENDOSWTMK8,49,0,49,60
1222,14,14,PENSACOLA,FL,676540648,NSW2-NINTENDOSWITCH2,20,0,20,25
1224,14,14,PENSACOLA,FL,676541915,NSW2-PROCONTROLLER,5,0,5,12
1237,299,26,ERWIN,NC,677465325,NSW2-NINTENDOSWTMK8,24,7,17,35
1268,300,4,WHITEVILLE,NC,677465325,NSW2-NINTENDOSWTMK8,10,5,5,21
1327,242,41,MADISON,IN,676541915,NSW2-PROCONTROLLER,4,3,1,12
1353,128,13,HARAHAN,LA,677465325,NSW2-NINTENDOSWTMK8,34,20,14,40
1353,128,13,HARAHAN,LA,676540648,NSW2-NINTENDOSWITCH2,11,7,4,15
1355,302,26,MOREHEAD CITY,NC,676541915,NSW2-PROCONTROLLER,4,1,3,14
1372,299,26,RALEIGH,NC,677465325,NSW2-NINTENDOSWTMK8,39,13,26,45
1424,290,75,COLONIAL HEIGHTS,VA,676540648,NSW2-NINTENDOSWITCH2,16,15,1,20
1445,213,19,PORT CLINTON,OH,676540648,NSW2-NINTENDOSWITCH2,10,0,10,15
1476,243,41,CLARKSVILLE,IN,676541915,NSW2-PROCONTROLLER,17,16,1,24
1558,298,26,EDEN,NC,677465325,NSW2-NINTENDOSWTMK8,19,0,19,25
1558,298,26,EDEN,NC,676541915,NSW2-PROCONTROLLER,8,0,8,12
1558,298,26,EDEN,NC,676540648,NSW2-NINTENDOSWITCH2,7,0,7,10
1605,14,14,PENSACOLA,FL,677465325,NSW2-NINTENDOSWTMK8,31,0,31,42
1605,14,14,PENSACOLA,FL,676540648,NSW2-NINTENDOSWITCH2,14,0,14,20
1605,14,14,PENSACOLA,FL,676541915,NSW2-PROCONTROLLER,8,0,8,14
1610,195,76,GREECE,NY,677465325,NSW2-NINTENDOSWTMK8,37,33,4,43
1614,297,26,DURHAM,NC,677465325,NSW2-NINTENDOSWTMK8,26,1,25,31
1620,14,14,BREWTON,AL,677465325,NSW2-NINTENDOSWTMK8,5,0,5,10
1620,14,14,BREWTON,AL,676541915,NSW2-PROCONTROLLER,3,0,3,8
1620,14,14,BREWTON,AL,676540648,NSW2-NINTENDOSWITCH2,2,0,2,10
