Store Number,Store City,Store State,Zip Code,Contact Name,Vendor Name,Vendor Number,Phone Number,Notes 1,Notes 2,Notes 3  - none,,,
3366,CENTERVILLE,UT,84014,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5234,CLINTON,UT,84015,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
2921,HARRISVILLE,UT,84404,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1699,LAYTON,UT,84041,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
4272,LOGAN,UT,84321,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1888,NORTH LOGAN,UT,84341,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3789,OGDEN,UT,84401,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3454,PERRY,UT,84302,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1708,RIVERDALE,UT,84405,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
4208,SALT LAKE CITY,UT,84109,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3848,SYRACUSE,UT,84075,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
2207,MIDVALE,UT,84047,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3620,RIVERTON,UT,84065,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3589,SALT LAKE CITY,UT,84115,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5350,SALT LAKE CITY,UT,84117,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5235,SANDY,UT,84094,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
4438,SARATOGA SPRINGS,UT,84045,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5763,SOUTH JORDAN,UT,84095,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1686,TAYLORSVILLE,UT,84123,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1440,TOOELE,UT,84074,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3232,WEST JORDAN,UT,84084,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3568,WEST VALLEY CITY,UT,84120,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5233,WEST VALLEY CITY,UT,84118,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1438,CEDAR CITY,UT,84720,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
2794,EPHRAIM,UT,84627,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
4678,HURRICANE,UT,84737,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1573,PRICE,UT,84501,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5168,RICHFIELD,UT,84701,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
3220,ST GEORGE,UT,84790,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1439,WASHINGTON,UT,84780,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
2511,AMERICAN FORK,UT,84003,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
4689,CEDAR HILLS,UT,84062,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
4696,HEBER CITY,UT,84032,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5270,LINDON,UT,84042,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1768,OREM,UT,84058,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
1827,PARK CITY,UT,84098,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
5167,PAYSON,UT,84651,Ryan Clark / Jeff Clark,A&Z Produce Company,664434,801-359-2081 / 801-359-2084,Same Day DELIVERY if ordered by 8am,,,,,
