Store Number,Invoice Number,Date of Invoice,Total Amount,Out of Scope,Area of Machine,Memo,Comments
6659,1055170,3/21/2025,1578.13,IMPROPER HANDLING - CASSETTES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/28/2025
3572,1055845,3/21/2025,545.83,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/27/2025
6606,1055847,3/21/2025,1726.65,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/5/2025
5214,1055852,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/11/2025
5346,1055854,3/21/2025,320.25,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/13/2025
1000,1055859,3/21/2025,324.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/24/2025
4905,1055866,3/21/2025,324.75,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/22/2025
2473,1055867,3/21/2025,313.5,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/22/2025
2247,1055869,3/21/2025,321.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/22/2025
2761,1055879,3/21/2025,425,IMPROPER HANDLING - VAULT,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/25/2025
8261,1055885,3/21/2025,684.18,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/25/2025
8190,1055886,3/21/2025,460.06,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/25/2025
743,1055888,3/21/2025,300,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/24/2025
1606,1055890,3/21/2025,327.75,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,1/24/2025
1772,1055894,3/21/2025,425,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/25/2025
1375,1055904,3/21/2025,425,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/24/2025
768,1055905,3/21/2025,460.06,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/24/2025
625,1055906,3/21/2025,879.39,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/25/2025
499,1055914,3/21/2025,425,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/25/2025
6781,1055920,3/21/2025,460.06,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/25/2025
4586,1055922,3/21/2025,881.13,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/25/2025
7238,1055928,3/21/2025,453.69,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/26/2025
3169,1055940,3/21/2025,460.06,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/25/2025
5118,1055946,3/21/2025,455.82,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/26/2025
1257,1055949,3/21/2025,1105.25,IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/25/2025
3478,1055957,3/21/2025,444.13,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/25/2025
2739,1055962,3/21/2025,425,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/26/2025
3123,1055964,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/25/2025
3276,1055965,3/21/2025,425,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/25/2025
5632,1055966,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/25/2025
5214,1055967,3/21/2025,550,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/26/2025
8223,1055968,3/21/2025,321.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
1161,1055969,3/21/2025,425,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/26/2025
450,1055974,3/21/2025,465.8,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/26/2025
2113,1055982,3/21/2025,425,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/26/2025
936,1055987,3/21/2025,973.99,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/26/2025
2760,1055988,3/21/2025,2041.49,NON DEVICE RELATED ISSUES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/26/2025
4111,1055989,3/21/2025,460.06,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/26/2025
