Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Offsite Storage Box  Count
1,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
2,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
3,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),40
4,9/22/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
5,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
7,8/14/2023,7 am - 6 pm,Vital Records Control (VRC),25
9,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),144
10,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
11,5/5/2023,7 am - 6 pm,Vital Records Control (VRC),16
12,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
13,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),14
14,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
15,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
16,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),18
17,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
18,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
19,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),80
20,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),100
21,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
22,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
23,9/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
24,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
25,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),17
26,3/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
27,5/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
28,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
29,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
30,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),4
31,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
32,9/22/2023,TBD,TBD,NOT ON SCHEDULE FOR 2023
33,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
34,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
35,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
36,9/25/2023,7 am - 6 pm,Vital Records Control (VRC),37
37,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),85
38,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
39,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),13
40,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
41,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
42,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
43,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
44,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
45,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
46,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
47,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
48,9/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
49,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
50,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
