Business Unit,Organization ,Business Unit,Function,Building Assignment
End to End,Walmart US,End to End,Last Mile Delivery,Together
End to End,Walmart US,End to End,Supply Chain,Change
End to End,Global Tech,End to End,End to End Fulfillment,DGTC
Global Finance,Corporate Functions,Global Finance,Supply Chain Finance,Change
Global Finance,Corporate Functions,Global Finance,Supply Chain and Ops/​Real Estate Controllership,Change
Global People ,Corporate Functions,Global People ,End to End ,Together
eCommerce,Walmart US,eCommerce,eCommerce,Upstream
Revenue,Walmart US,Revenue,Revenue,Upstream
Product,Walmart US,Product,Product,Together
Marketing,Walmart US,Marketing,Marketing,Upstream
Design,Walmart US,Design,Design,Upstream
Global Finance,Corporate Functions,Global Finance,WMUS ONE Integration and Financial Services,Purpose
Global Finance,Corporate Functions,Global Finance,Customer Controllership,Upstream
Global People,Corporate Functions,Global People,Revenue and Customer,Upstream
Global People,Corporate Functions,Global People,Product and Customer ,Upstream
Merchandising,Walmart US,Merchandising,Fashion,Cheer
Global Finance,Corporate Functions,Global Finance,Fashion Merch Finance,Cheer
Merchandising,Walmart US,Merchandising,Fashion Merch Ops,Cheer
Enterprise Business Services,Global Tech,Enterprise Business Services,Enterprise Business Services,DGTC
Global Tech Platforms,Global Tech,Global Tech Platforms,Global Tech Platforms,DGTC
Technology Strategy and Commercialization,Global Tech,Technology Strategy and Commercialization,Technology Strategy and Commercialization,DGTC
Global Governance,Corporate Functions,Global Governance,Global Security,DGTC
Information Security,Global Tech,Information Security,Information Security,DGTC
US Omni Tech,Global Tech,US Omni Tech,US Omni Tech,DGTC
US Omni Tech,Global Tech,US Omni Tech,Commerce Platforms and Emerging Tech,DGTC
Enterprise Business Services,Global Tech,Enterprise Business Services,Associate Digital Experience,DGTC
Enterprise Business Services,Global Tech,Enterprise Business Services,People Tech and Services,DGTC
Merchandising,Walmart US,Merchandising,"General Merch - Entertainment, Toys, Seasonal, Home and Hardlines ",Hula
Merchandising,Walmart US,Merchandising,General Merch - Merch Ops,Hula
US Omni Tech,Global Tech,US Omni Tech,Merch Tech,Hula
Sourcing,International,Sourcing,General Merch Sourcing,Hula
Global Finance,Corporate Functions,Global Finance,General Merch Finance,Hula
Global People,Corporate Functions,Global People,Merch ,Hula
Merchandising,Walmart US,Merchandising,Merchandise Strategy ,Hula
Global Finance,Corporate Functions,Global Finance,"Tax, Tech Finance, Finance Transformation, Walmart Claims Services",Maverick
Global Finance,Corporate Functions,Global Finance,Audit,Update Coming Soon
Global Finance,Corporate Functions,Global Finance,Care Business Enablement (non-agents),Change
Merchandising,Walmart US,Merchandising,Food Merch,Moon Pie
Merchandising,Walmart US,Merchandising,Food Merch Ops,Moon Pie
Sourcing,International,Sourcing,Food Sourcing,Moon Pie
International Tech,Global Tech,International Tech,International Technology,Moon Pie
Global Finance,Corporate Functions,Global Finance,Food Merch Finance,Moon Pie
Merchandising,Walmart US,Merchandising,Consumables Merch,Ol' Roy
Merchandising,Walmart US,Merchandising,Consumables Merch Ops,Ol' Roy
Merchandising,Walmart US,Merchandising,Centralized Merch Ops,Ol' Roy
Merchandising,Walmart US,Merchandising,Merch Transformation,Ol' Roy
Sourcing,International,Sourcing,Consumables Sourcing,Ol' Roy
Global Finance,Corporate Functions,Global Finance,Consumables Merch Finance,Ol' Roy
Global Governance,Corporate Functions,Global Governance,Global Security,Purpose
Global Finance,Corporate Functions,Global Finance,Capital Markets,Purpose
Global Finance,Corporate Functions,Global Finance,Treasury,Purpose
Global Finance,Corporate Functions,Global Finance,Global Controllership,Purpose
Global Finance,Corporate Functions,Global Finance,Technology Transformation and Data Governance,Purpose
Global People,Corporate Functions,Global People,Global Finance,Purpose
International,International,International,Strategy & Development,Purpose
Global People,Corporate Functions,Global People,International People,Purpose
International,International,International,International Product,Purpose
International,International,International,Operations and Supply Chain ,Purpose
Corporate Affairs,Corporate Functions,Corporate Affairs,International Communications,Purpose
Global Governance,Corporate Functions,Global Governance,International Legal and Compliance,Purpose
Global Finance,Corporate Functions,Global Finance,International Finance and Controller,Purpose
Global Finance,Corporate Functions,Global Finance,Enterprise Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Investor Relations,Purpose
Global Finance,Corporate Functions,Global Finance,Enterprise Strategy,Purpose
Sourcing,International,Sourcing,International Global Sourcing,Purpose
International,International,International,International Marketplace Development,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized Merchandise Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized Operations Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized Supply Chain Finance,Purpose
Global Finance,Corporate Functions,Global Finance,Centralized US Finance Planning - Analysis and Strategy,Purpose
Global Finance,Corporate Functions,Global Finance,ONE Integration & Financial Services,Purpose
Corporate Affairs,Corporate Functions,Corporate Affairs,Government Relations,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Global Responsibility,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Global Communications,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Global Public Policy ,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Public Affairs - State and Local Government Affairs,Sparky
Corporate Affairs,Corporate Functions,Corporate Affairs,Corporate Real Estate,Sparky
Global Finance,Corporate Functions,Global Finance,Corporate Functions Finance,Sparky
Global People,Corporate Functions,Global People,Global Talent and Learning,Sparky
Global People,Corporate Functions,Global People,Global People Strategy and Innovation,Sparky
Global People,Corporate Functions,Global People,Total Rewards,Sparky
Global People,Corporate Functions,Global People,People Product and Design,Sparky
Global Finance,Corporate Functions,Global Finance,Risk and Benefits Finance,Sparky
Global People,Corporate Functions,Global People,Global People Programs and Strategy,Sparky
Global People,Corporate Functions,Global People,Global Associate Relations,Sparky
Global People,Corporate Functions,Global People,"Global Tech, Services and Corp Functions",Sparky
End to End,Walmart US,End to End,Innovation & Transformation,Together
US Omni Tech,Global Tech,US Omni Tech,Store Tech,Always
Store Operations,Walmart US,Store Operations,WMUS Store Operations,Together
Global People ,Walmart US,Global People ,Store Operations,Together
Global People,Walmart US,Global People,Innovation & Transformation,Together
Global Finance,Corporate Functions,Global Finance,Store Operations Finance,Together
Global Finance,Corporate Functions,Global Finance,Store Operations Controllership,Together
Global Governance,Corporate Functions,Global Governance,Operations Legal ,Together
Global Governance,Corporate Functions,Global Governance,Global Ethics and Compliance,Trust
Global Governance,Corporate Functions,Global Governance,Digital Citizenship,Trust
Global Governance,Corporate Functions,Global Governance,Global Investigations,Trust
Global Governance,Corporate Functions,Global Governance,"US Operations, US Legal",Trust
Global Governance,Corporate Functions,Global Governance,Centers of Excellence – US Legal​,Trust
Global Governance,Corporate Functions,Global Governance,Threat Management,Trust
Global Governance,Corporate Functions,Global Governance,Emergency Management ,Trust
Global Governance,Corporate Functions,Global Governance,Vetting,Trust
Global Governance,Corporate Functions,Global Governance,Strategic Security,Trust
Global Governance,Corporate Functions,Global Governance,"Physical Security, Security Tech, and Facility Protection",Trust
Global Governance,Corporate Functions,Global Governance,Regulatory and Specialty Legal,Trust
