Primary,Control ID ,Criticality,Control Description ,Control Type ,Frequency ,Responsible Role ,Document ,Document Status,Risk,Policy Text ,Control Example/Used Case,,,
English,DAS-11,Important,Non-production data containing Highly Sensitive information must be anonymized，de-identified，or replaced with synthetic data before use.,Preventive,Ongoing,Business Data Steward，Technical Data Steward，InfoSec，Compliance,Global Data Access Standard,Published,Using raw sensitive data in non-production environments could expose confidential information and increase risk of breaches.,"""Non-production data must undergo processes like anonymization or de-identification when it contains Sensitive Information.""", Using data masking tools to anonymize customer records before using them in a testing environment.,,,
English,DAS-12,Important,Data in a non-production environment must be treated as production data if it contains Highly Sensitive information and has not been de-identified or replaced with synthetic data.,Compliance,Ongoing,Business Data Steward，Technical Data Steward，InfoSec，Compliance,Global Data Access Standard,Published,Mishandling non-production data with sensitive information can result in security and compliance breaches.,"""Data in a non-production environment must be treated as production data if it contains Highly Sensitive information and has not been anonymized，de-identified，or replaced with synthetic data.""", Applying production-level security controls to non-production environments that contain unmasked Personally Identifiable Information (PII).,,,
English,DAS-13,Important,Customer and associate data must be managed and protected in accordance with Walmart’s core value of respect for the individual.,Compliance,Ongoing,All Walmart Associates,Global Data Access Standard,Published,Failure to adhere could result in reputational damage and legal non-compliance.,"""Customer and associate data must be managed and protected in accordance with Walmart’s core value of respect for the individual.""", Associates handling customer support data must follow privacy policies when accessing customer records.,,,
English,DAS-14,Important,All information，whether contained in hard-copy or electronic formats，must be protected appropriately based on data classification.,Technical,Ongoing,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Inadequate classification can lead to unauthorized data exposure.,"""All information，whether contained in hard-copy or electronic formats，must be protected appropriately based on data classification.""", Data classification tools label sensitive documents and restrict access based on classification.,,,
English,DAS-15,Important,Access to data by vendors and third parties should be limited to the purposes for which they are contracted.,Compliance,Ongoing,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Excessive third-party access increases risk of data breaches.,"""Access to data by vendors and third parties should be limited to the purposes for which they are contracted.""", A vendor managing loyalty programs only receives anonymized purchase data.,,,
English,DAS-16,Important,Business Information and Personal Information，especially sensitive PI，collection，and retention must be based on proper consent and tied to a particular purpose for which it was collected.,Compliance,Ongoing,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Non-compliance can lead to regulatory penalties under GDPR/CCPA.,"""Business Information and Personal Information，especially sensitive PI，collection，and retention must be based on proper consent and tied to a particular purpose for which it was collected.""", Marketing campaigns must record and honor customer opt-ins for data collection.,,,
English,DAS-17,Important,Associates must have a clearly defined business case for collecting and/or maintaining datasets.,Compliance,Ongoing,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Unjustified data retention increases compliance risks and storage costs.,"""Associates must have a clearly defined business case for collecting and/or maintaining datasets.""", A data analyst submits a justification before storing customer purchase history for analytics.,,,
English,DAS-18,Important,Requests for data access originating from a Walmart legal entity different from the requesting Walmart legal entity must comply with the Global Data Sharing Policy (DC-DG-04).,Compliance,As needed,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Unauthorized data transfers may result in cross-border compliance violations.,"""Requests for data access originating from a Walmart legal entity different from the requesting Walmart legal entity must comply with the Global Data Sharing Policy (DC-DG-04).""", A Walmart Canada employee requesting US customer data must follow Global Data Sharing Policy requirements.,,,
English,DAS-19,Important,Requests for data access by a third party must comply with the Global Data Sharing Policy (DC-DG-04).,Compliance,As needed,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Unauthorized third-party access could lead to data exposure or legal breaches.,"""Requests for data access by a third party must comply with the Global Data Sharing Policy (DC-DG-04).""", A data-sharing request from a supplier must go through the appropriate governance process.,,,
English,DAS-20,Important,Requests for data access for use in a Data Product must comply with the Global Data Product Policy (DC-DG-05).,Compliance,As needed,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Failure to comply may lead to unauthorized data monetization.,"""Requests for data access for use in a Data Product must comply with the Global Data Product Policy (DC-DG-05).""", A new consumer insights dashboard must undergo approval before release.,,,
English,DAS-21,Important,The Business Data Owner (BDO) is responsible for the effective management of data across their business unit，including how data is collected，managed，used，transferred，secured，and accessed.,Compliance,Ongoing,Business Data Owner,Global Data Access Standard,Published,Poor data management can lead to security breaches and regulatory fines.,"""The Business Data Owner is responsible for the effective management of data across their business unit，including how data is collected，managed，used，transferred，secured，and accessed.""", A BDO approves access policies and ensures compliance with data regulations.,,,
English,DAS-22,Important,The Business Data Owner (BDO) may delegate day-to-day responsibilities to the Data Steward or other domain stakeholders for managing data access.,Administrative,As needed,Business Data Owner，Business Data Steward,Global Data Access Standard,Published,Lack of clear delegation may lead to delays in governance execution.,"""The Business Data Owner may delegate the day-to-day responsibility to the Data Steward or other domain stakeholders for managing data access.""", A BDO delegates data access management to a designated Data Steward.,,,
English,DAS-23,Important,The Business Data Owner (BDO) is responsible for approving data access management plans for their business unit.,Compliance,Ongoing,Business Data Owner,Global Data Access Standard,Published,Without formal approval，inconsistent access policies may be applied.,"""The Business Data Owner is responsible for approving data access management plans for their business unit.""", A BDO reviews and signs off on an annual data access strategy document.,,,
English,DAS-24,Important,The Business Data Steward must manage access to Sensitive or Highly Sensitive data sets based on the approved data access management plan.,Compliance,Ongoing,Business Data Steward,Global Data Access Standard,Published,Unauthorized access to sensitive data can lead to data breaches and regulatory penalties.,"""The Business Data Steward must manage access to Sensitive or Highly Sensitive data sets based on the approved data access management plan.""", A Business Data Steward ensures that only approved personnel can access customer PII.,,,
English,DAS-25,Important,For Sensitive data，access reviews should occur periodically at the joint discretion of InfoSec and the Global Data Governance team unless regulatory and contractual requirements dictate otherwise.,Compliance,Periodic,Business Data Steward，InfoSec，Global Data Governance Team,Global Data Access Standard,Published,Unauthorized or outdated access can lead to data leaks and security incidents.,"""For Sensitive data，reviews should occur periodically at the joint discretion of InfoSec and the Global Data Governance team unless regulatory and contractual requirements dictate otherwise.""", InfoSec and Data Governance teams conduct quarterly reviews of sensitive data access logs.,,,
English,DAS-26,Important,For Highly Sensitive data，access reviews should occur every 180 days unless regulatory and contractual requirements dictate otherwise.,Compliance,Every 180 Days,Business Data Steward，InfoSec，Global Data Governance Team,Global Data Access Standard,Published,Failure to conduct timely reviews can result in unauthorized access to highly sensitive data.,"""For Highly Sensitive data，reviews should occur every 180 days unless regulatory and contractual requirements dictate otherwise.""", Every six months，data stewards validate access to financial transaction logs.,,,
English,DAS-27,Important,For Non-Sensitive data，access reviews should occur on an as-needed basis unless regulatory and contractual requirements dictate otherwise.,Compliance,As Needed,Business Data Steward,Global Data Access Standard,Published,Infrequent reviews may result in outdated access permissions.,"""For Non-Sensitive data，reviews should occur on an as-needed basis unless regulatory and contractual requirements dictate otherwise.""", A Data Steward reviews access logs when business needs change.,,,
