Store ID,First Assigned Carrier,Fulfillment Type,Weeks with Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
2096,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202341,91.30%,97.00%,7.8,96.10%,93.00%,86.70%,89.10%
2096,UBER,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202341,87.80%,97.10%,9.2,89.10%,88.60%,84.60%,89.20%
1537,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202341,93.80%,97.80%,5.4,94.00%,95.20%,86.90%,100.00%
2555,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202341,84.10%,97.70%,6.3,83.80%,85.20%,81.80%,85.50%
5130,SPARK,Scheduled Standard Delivery,31,Executive Review,Recovering,Driver Supply Focus,202341,84.30%,95.50%,7.7,91.10%,86.00%,89.00%,69.70%
5495,UBER,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202341,85.00%,95.00%,9.8,84.00%,82.80%,86.90%,86.20%
5881,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202341,88.90%,94.40%,7.1,91.50%,87.80%,91.40%,84.60%
1644,SPARK,Scheduled Standard Delivery,9,Active Monitoring,Recovering,Driver Supply Focus,202341,93.70%,95.00%,9.2,96.60%,95.90%,93.00%,88.80%
2481,POINTPICKUP,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202341,86.00%,91.20%,9.2,89.60%,82.40%,83.80%,88.30%
2528,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202341,71.50%,99.70%,8.3,67.50%,85.30%,71.40%,63.00%
5795,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202341,92.50%,95.30%,8.8,93.80%,91.70%,94.40%,90.00%
5470,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202341,94.50%,98.80%,4.9,96.40%,87.50%,97.70%,96.00%
2629,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202341,82.70%,98.90%,7.5,78.70%,86.00%,85.40%,82.20%
2964,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202341,82.50%,98.50%,7.2,76.20%,82.30%,88.90%,83.50%
2341,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,66.10%,96.90%,8.7,74.70%,74.60%,62.70%,54.00%
3561,SPARK,Scheduled Standard Delivery,34,Executive Review,Recovering,Driver Supply Focus,202341,89.70%,100.00%,5,95.20%,89.80%,88.10%,85.90%
2140,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202341,90.70%,99.50%,4.6,89.20%,93.60%,89.20%,90.90%
2202,SPARK,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202341,92.70%,98.40%,8.9,97.40%,97.50%,87.90%,87.20%
2634,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202341,65.90%,98.90%,5.2,58.00%,66.70%,63.90%,76.20%
1698,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202341,91.40%,89.60%,9,90.50%,97.40%,94.20%,84.00%
2055,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Driver Supply Focus,202341,90.80%,92.50%,9.9,83.20%,99.60%,90.80%,89.60%
2659,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202341,83.90%,96.70%,7.5,91.20%,94.00%,77.40%,73.40%
1796,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,90.20%,94.00%,8,89.80%,93.90%,88.80%,88.20%
1930,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,86.10%,90.20%,9.5,86.40%,91.00%,80.60%,86.90%
2138,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202341,73.10%,100.00%,5.8,77.70%,64.90%,74.30%,73.80%
2224,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202341,86.90%,96.70%,9,87.10%,80.40%,91.90%,89.90%
2224,UBER,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202341,95.30%,97.80%,5.7,100.00%,95.50%,89.50%,94.70%
2332,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,89.40%,96.60%,7.7,85.90%,89.80%,96.00%,86.20%
2424,SPARK,Scheduled Standard Delivery,11,At Risk,Degrading,Driver Supply Focus,202341,89.20%,100.00%,5.5,86.70%,98.80%,83.70%,88.10%
2232,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202341,92.00%,99.40%,6.3,94.60%,95.70%,92.10%,85.60%
2906,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202341,87.20%,99.60%,6.9,97.80%,77.50%,86.90%,83.50%
2024,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202341,90.10%,99.70%,6.8,90.10%,95.00%,86.80%,87.70%
2480,SPARK,Scheduled Standard Delivery,13,Executive Review,Recovering,Driver Supply Focus,202341,92.00%,99.60%,8,97.00%,92.00%,92.40%,86.70%
3443,UBER,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202341,88.90%,98.30%,8.4,91.20%,84.30%,90.60%,89.10%
3520,UBER,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202341,89.60%,98.90%,9.2,90.30%,86.80%,92.40%,89.00%
3562,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202341,91.60%,96.80%,7.3,95.90%,90.00%,92.30%,88.10%
3795,UBER,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202341,89.40%,99.60%,10,86.40%,88.20%,91.80%,91.40%
2164,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202341,79.20%,100.00%,5.3,81.80%,81.50%,83.70%,70.00%
4274,UBER,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202341,88.60%,99.70%,8.8,96.60%,93.60%,85.90%,82.50%
1666,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202341,93.70%,95.60%,7.9,95.40%,96.90%,96.40%,86.10%
7304,UBER,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202341,90.10%,98.60%,5.3,88.90%,82.40%,94.40%,94.40%
3035,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,83.50%,98.00%,6.2,80.30%,88.00%,78.00%,87.60%
3035,UBER,Scheduled Standard Delivery,22,Executive Review,Degrading,Driver Supply Focus,202341,82.20%,97.30%,9.4,75.20%,84.60%,85.90%,82.20%
5968,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,82.50%,99.10%,8.1,89.00%,85.40%,79.10%,76.50%
5968,UBER,Scheduled Standard Delivery,20,Executive Review,Degrading,Driver Supply Focus,202341,84.40%,99.00%,9.5,83.50%,85.80%,85.20%,83.00%
2083,SPARK,Scheduled Standard Delivery,49,Executive Review,Recovering,Driver Supply Focus,202341,91.20%,94.20%,8.6,91.60%,89.60%,91.70%,91.90%
2833,SPARK,Scheduled Standard Delivery,22,Executive Review,Degrading,Driver Supply Focus,202341,81.10%,98.30%,5.1,86.60%,69.60%,86.30%,82.60%
3215,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202341,90.40%,94.40%,7.5,93.60%,91.80%,90.10%,86.20%
1579,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202341,90.00%,90.80%,7.7,94.10%,85.70%,84.20%,91.80%
2704,SPARK,Scheduled Standard Delivery,48,Executive Review,Recovering,Driver Supply Focus,202341,94.60%,95.40%,9.1,96.50%,95.80%,96.90%,88.80%
3658,SPARK,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,91.60%,98.50%,9.7,89.70%,92.50%,91.70%,92.20%
1292,SPARK,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202341,92.40%,93.70%,9.9,96.60%,93.60%,95.90%,85.30%
1309,UBER,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202341,93.50%,100.00%,9.9,92.00%,95.30%,100.00%,86.80%
1652,UBER,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202341,90.60%,94.20%,9.3,95.10%,86.10%,97.00%,83.30%
1344,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,84.60%,93.10%,9.4,71.10%,82.90%,81.80%,100.00%
1780,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202341,92.40%,89.50%,9.6,88.50%,94.30%,96.40%,90.80%
7174,SPARK,Scheduled Standard Delivery,8,At Risk,Degrading,Driver Supply Focus,202341,89.80%,89.80%,9.7,89.90%,91.30%,95.70%,82.60%
2295,SPARK,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202341,93.70%,92.30%,9.9,88.90%,96.50%,97.60%,92.60%
1759,UBER,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202341,92.70%,99.60%,8.3,96.90%,84.20%,98.10%,91.20%
2821,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202341,93.60%,96.80%,7.6,93.70%,94.10%,97.90%,88.70%
3489,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202341,94.00%,95.70%,9.2,91.70%,97.00%,94.30%,89.20%
3490,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202341,91.10%,97.70%,8.4,97.40%,92.70%,88.00%,85.20%
5228,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202341,92.80%,93.90%,8.4,89.30%,93.80%,95.50%,92.90%
2850,POINTPICKUP,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202341,75.60%,97.00%,9.1,82.50%,80.00%,75.00%,62.70%
1795,SPARK,Scheduled Standard Delivery,38,Executive Review,Degrading,Driver Supply Focus,202341,74.60%,98.40%,6.1,74.10%,76.50%,68.80%,77.60%
5378,SPARK,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202341,93.50%,97.80%,7.2,95.50%,95.60%,93.70%,89.30%
1383,POINTPICKUP,Scheduled Standard Delivery,16,Executive Review,Degrading,Driver Supply Focus,202341,85.70%,90.10%,9.9,85.40%,87.10%,82.80%,87.20%
2832,POINTPICKUP,Scheduled Standard Delivery,49,Executive Review,Degrading,Driver Supply Focus,202341,78.50%,88.20%,9.2,75.70%,87.50%,77.40%,73.30%
1358,UBER,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202341,95.10%,99.60%,6.5,98.60%,84.70%,98.30%,98.30%
2348,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202341,81.30%,92.00%,9.8,81.10%,82.20%,77.50%,83.80%
3367,SPARK,Scheduled Standard Delivery,37,Executive Review,Degrading,Driver Supply Focus,202341,84.80%,91.20%,7.7,81.90%,87.70%,95.70%,75.00%
396,UBER,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202341,92.90%,89.90%,9.2,96.20%,96.60%,89.60%,88.40%
2703,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202341,89.60%,91.60%,9.2,87.50%,90.60%,94.80%,85.60%
5147,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202341,88.80%,92.90%,10.5,91.50%,90.50%,86.10%,87.40%
471,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202341,89.40%,96.80%,13.1,92.00%,85.80%,92.80%,86.40%
3014,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202341,89.10%,91.00%,13.9,80.50%,88.70%,94.50%,91.30%
5613,,Scheduled Delivery Standard,7,Active Monitoring,Recovering,Store Focus,202341,92.30%,86.40%,9.3,99.20%,88.60%,90.70%,91.10%
1117,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202341,90.60%,96.80%,14.3,92.50%,91.90%,92.10%,85.50%
3406,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202341,85.00%,94.80%,10.3,89.40%,85.40%,82.50%,82.60%
8930,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202341,81.50%,91.20%,16.6,82.90%,83.20%,78.00%,81.30%
590,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202341,88.40%,94.10%,13.3,82.90%,83.90%,94.50%,93.10%
2649,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202341,79.20%,85.00%,19.7,82.30%,89.50%,69.50%,76.10%
813,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202341,89.90%,84.00%,10.3,93.10%,89.30%,87.40%,89.30%
2980,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202341,87.70%,89.70%,16.2,85.60%,87.10%,89.10%,88.90%
622,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202341,87.70%,90.20%,15,96.00%,82.30%,89.60%,82.90%
1626,,Scheduled Delivery Standard,26,Executive Review,Degrading,Store Focus,202341,89.60%,90.10%,13.5,89.20%,85.10%,90.80%,93.40%
2803,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202341,93.50%,96.50%,10.3,94.90%,87.60%,95.30%,96.40%
1507,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,85.10%,85.30%,13.3,88.80%,81.80%,86.50%,83.60%
4048,,Scheduled Delivery Standard,11,At Risk,Degrading,Store Focus,202341,87.70%,83.70%,12.4,82.10%,83.10%,91.10%,94.80%
180,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202341,86.50%,90.10%,11.8,80.30%,90.70%,91.30%,84.30%
651,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202341,90.00%,86.10%,13.6,85.60%,93.10%,94.20%,87.20%
400,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202341,89.80%,84.20%,11.8,87.10%,85.60%,92.30%,94.80%
602,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,83.40%,79.80%,15.9,83.70%,87.40%,83.90%,78.80%
2938,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,90.00%,95.70%,11.4,90.00%,90.50%,88.90%,90.70%
4295,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202341,90.50%,93.60%,10.8,90.40%,88.80%,92.10%,90.80%
140,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,89.50%,92.70%,15.8,88.10%,85.40%,91.90%,93.00%
1163,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202341,88.70%,86.90%,15.4,87.20%,87.50%,91.20%,89.10%
2706,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202341,88.40%,93.40%,14.3,88.20%,86.80%,90.80%,87.70%
5022,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202341,84.90%,94.80%,16.3,87.80%,85.50%,81.80%,84.50%
489,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202341,80.60%,71.60%,16,87.50%,88.10%,77.80%,68.70%
541,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,74.20%,67.50%,15.9,79.60%,68.70%,72.60%,75.20%
989,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202341,88.00%,88.30%,13.8,86.90%,94.10%,91.40%,79.10%
1353,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,88.20%,89.90%,13.1,72.70%,92.60%,94.30%,92.40%
4129,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202341,89.00%,98.20%,17.8,91.70%,89.40%,88.10%,86.50%
501,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202341,92.10%,85.30%,10.8,94.50%,93.40%,92.70%,87.50%
1066,,Scheduled Delivery Standard,19,Executive Review,Recovering,Store Focus,202341,92.30%,87.80%,13.3,91.60%,89.70%,96.60%,91.50%
1129,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202341,83.60%,84.10%,13.8,84.40%,84.40%,81.90%,83.40%
1253,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202341,83.40%,84.70%,13.4,83.80%,89.70%,77.50%,82.30%
2133,,Scheduled Delivery Standard,9,Executive Review,Recovering,Store Focus,202341,87.00%,84.50%,10.4,92.10%,85.70%,86.60%,83.10%
2991,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202341,83.50%,81.80%,15.9,90.40%,77.10%,77.10%,88.30%
3569,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202341,81.10%,84.90%,11.4,82.40%,79.50%,79.30%,83.20%
5479,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202341,84.50%,85.60%,15.8,87.70%,81.90%,79.60%,89.80%
5480,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,81.40%,84.50%,17.7,87.00%,83.90%,71.60%,82.60%
404,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202341,90.50%,94.20%,10.2,93.80%,87.30%,89.30%,91.20%
3572,,Scheduled Delivery Standard,16,Executive Review,Degrading,Store Focus,202341,89.60%,84.60%,12,86.60%,95.50%,93.30%,83.20%
2066,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202341,88.50%,97.40%,10.6,88.60%,88.30%,89.20%,87.90%
3297,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202341,89.50%,87.30%,13.1,91.30%,88.90%,90.40%,87.20%
5612,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202341,89.70%,97.90%,10.7,92.10%,91.00%,89.10%,86.50%
537,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202341,88.40%,81.60%,15.2,86.80%,84.10%,89.70%,92.90%
608,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202341,81.70%,79.50%,15.1,80.30%,82.90%,85.70%,77.80%
3645,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202341,82.20%,82.70%,12.9,85.20%,73.80%,86.80%,82.90%
535,,Scheduled Delivery Standard,10,At Risk,Recovering,Store Focus,202341,89.90%,89.20%,13.7,91.10%,88.00%,90.80%,89.80%
3771,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202341,85.70%,87.10%,18.5,81.10%,90.10%,86.80%,84.70%
5768,,Scheduled Delivery Standard,29,Executive Review,Recovering,Store Focus,202341,86.80%,91.20%,11.4,90.60%,83.40%,83.10%,90.10%
1646,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202341,90.00%,89.20%,12.2,85.60%,88.90%,93.00%,92.90%
5031,,Scheduled Delivery Standard,5,Active Monitoring,Degrading,Store Focus,202341,88.90%,83.00%,13.7,89.10%,91.20%,93.40%,81.10%
3884,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202341,88.70%,90.20%,15.9,86.00%,85.90%,92.40%,90.70%
824,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202341,89.80%,84.10%,14.9,93.60%,94.50%,90.50%,79.50%
835,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,84.40%,83.70%,16.7,87.30%,93.30%,90.40%,65.70%
850,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202341,87.00%,88.80%,17.9,87.60%,82.40%,94.00%,84.50%
5491,,Scheduled Delivery Standard,2,Active Monitoring,Degrading,Store Focus,202341,84.00%,90.80%,19.7,86.70%,84.70%,87.40%,77.20%
868,,Scheduled Delivery Standard,7,At Risk,Recovering,Store Focus,202341,89.70%,87.20%,12.1,94.40%,96.80%,88.60%,79.50%
1341,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202341,88.60%,90.30%,13.7,93.90%,91.00%,88.30%,80.80%
1676,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202341,90.70%,94.40%,12.2,93.80%,87.30%,89.20%,92.40%
5767,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202341,89.50%,87.00%,7.7,92.00%,92.40%,87.60%,85.30%
5804,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202341,92.50%,83.00%,11.9,94.20%,90.20%,96.70%,89.70%
2787,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202341,83.50%,91.60%,14.8,91.60%,92.60%,80.80%,68.30%
3529,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202341,89.20%,94.40%,11.1,85.60%,91.30%,94.00%,86.10%
5443,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202341,74.70%,78.20%,23.7,85.70%,94.40%,57.90%,59.30%
720,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202341,88.40%,87.40%,12.7,94.20%,88.30%,94.80%,76.60%
2628,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202341,91.90%,87.70%,13.8,91.40%,92.00%,95.80%,88.40%
1518,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202341,84.00%,85.70%,16.8,86.30%,86.40%,79.50%,83.50%
1655,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202341,91.20%,88.60%,10.1,95.00%,94.60%,88.50%,86.50%
526,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202341,88.20%,87.70%,11,90.70%,83.70%,89.30%,88.80%
5418,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202341,81.20%,82.50%,16.5,73.70%,79.10%,87.00%,85.30%
1476,,Scheduled Delivery Standard,10,At Risk,Degrading,Store Focus,202341,85.10%,84.00%,13,89.80%,91.70%,91.30%,67.10%
4235,,Scheduled Delivery Standard,3,Active Monitoring,Recovering,Store Focus,202341,89.80%,92.50%,10.8,97.30%,93.90%,79.80%,87.40%
729,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202341,88.70%,86.60%,15.8,89.30%,90.30%,88.60%,86.80%
1790,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202341,90.80%,96.60%,11.1,96.30%,89.30%,88.20%,89.50%
5844,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202341,89.10%,92.80%,11.9,95.60%,87.30%,86.70%,85.10%
5030,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202341,86.70%,85.90%,12.6,82.40%,86.10%,91.50%,87.10%
5385,,Scheduled Delivery Standard,5,At Risk,Recovering,Store Focus,202341,87.20%,90.40%,10.8,91.90%,87.10%,84.50%,84.90%
1771,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202341,92.20%,90.70%,10.6,96.40%,94.50%,86.00%,90.50%
2080,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202341,89.80%,86.10%,13.6,89.90%,95.70%,88.00%,84.90%
5160,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202341,87.90%,89.70%,16.2,87.80%,90.60%,90.10%,83.10%
1423,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202341,88.70%,81.40%,7.9,94.10%,84.30%,79.70%,93.70%
5893,,Scheduled Delivery Standard,10,Executive Review,Recovering,Store Focus,202341,87.80%,93.50%,11.8,92.30%,89.30%,85.80%,83.70%
1432,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202341,89.60%,95.80%,13,90.90%,86.70%,92.20%,88.70%
1928,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202341,89.20%,91.40%,13.7,89.90%,89.60%,87.80%,89.60%
2354,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202341,83.70%,82.10%,12.4,79.40%,84.70%,87.10%,84.90%
2693,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202341,88.70%,89.50%,11.7,89.30%,92.70%,87.70%,84.90%
3726,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202341,82.90%,77.30%,16.5,76.10%,88.10%,90.00%,79.50%
1923,,Scheduled Delivery Standard,22,Executive Review,Degrading,Store Focus,202341,84.40%,76.10%,9.5,87.90%,85.70%,79.50%,80.80%
2238,,Scheduled Delivery Standard,10,At Risk,Recovering,Store Focus,202341,91.00%,94.70%,11.4,96.20%,91.50%,85.90%,89.80%
2493,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202341,83.30%,79.50%,12.4,75.80%,90.40%,91.80%,75.30%
3453,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202341,84.20%,76.40%,10.6,78.70%,83.60%,93.60%,84.30%
3876,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202341,81.90%,82.90%,11.8,79.50%,84.50%,82.50%,81.30%
2678,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,91.40%,93.80%,12.5,87.70%,97.00%,91.60%,89.10%
5280,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202341,90.10%,81.70%,9,92.00%,95.20%,92.60%,79.70%
1618,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202341,89.60%,91.50%,14.6,89.20%,89.60%,89.70%,90.00%
2544,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202341,83.50%,84.70%,19.3,90.60%,95.90%,76.30%,70.00%
2818,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202341,78.10%,90.30%,17.2,71.10%,82.60%,84.70%,72.10%
4631,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202341,72.60%,92.80%,20.1,61.40%,78.20%,73.40%,76.50%
1734,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202341,82.30%,87.80%,17.9,78.30%,71.10%,90.30%,92.60%
2491,,Scheduled Delivery Standard,39,Executive Review,Recovering,Store Focus,202341,92.70%,95.10%,11.1,94.40%,93.90%,89.50%,92.10%
200,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202341,89.80%,89.10%,12,85.30%,92.10%,97.20%,85.00%
1454,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202341,84.00%,79.30%,11.9,72.90%,88.80%,96.60%,75.80%
1690,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202341,86.10%,91.90%,12.8,83.60%,84.90%,92.30%,83.50%
2728,,Scheduled Delivery Standard,34,Executive Review,Degrading,Store Focus,202341,85.90%,88.70%,10.7,83.60%,90.30%,91.10%,79.10%
3210,,Scheduled Delivery Standard,36,Executive Review,Degrading,Store Focus,202341,86.30%,84.80%,12.7,77.30%,88.10%,93.20%,87.10%
3602,,Scheduled Delivery Standard,25,Executive Review,Degrading,Store Focus,202341,88.20%,88.90%,15.4,83.10%,87.80%,92.00%,90.70%
603,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202341,88.90%,93.10%,14.1,88.10%,86.50%,92.50%,88.50%
