GDC ,CHANGE START DATE,APPLICATION,CHANGE SUMMARY,CRQ#,JIRA ID
6071,2-Apr,Receiving/GDM,Fix:  prevent delivery from being re-opened after 30 days,CHG3086816,"OPIF-161368, AG-17126"
6071,10-Apr,Receiving/GDM,Fix: 7 digit LPN generator could create duplicate LPN for two different sessions due to caching,CHG3087623,"AG-11654, AG-15451"
6858,15-Apr,Loading,Enhancement: cleaned up backend tables to increase efficiency,CHG3087643,"AG-15530, AG-15510"
6858,18-Apr,Inventory,Enhancement: turned off Aisle Summary feature,CHG3087927 ,OPIF-157747
7010,5-May,SHORE,Fix:  One Atlas no longer looks for seal info in GLS,CHG3087943,NA
7055,12-May,Moves,"Enhancement: additional Information added to ""To-Do"" screen",CHG3088143,"OPIF-161368, AG-17126"
6064,2-Apr,Receiving/GDM,Fix:  prevent delivery from being re-opened after 30 days,CHG3086816,"OPIF-161368, AG-17126"
6077,10-Apr,Receiving/GDM,Fix: 7 digit LPN generator could create duplicate LPN for two different sessions due to caching,CHG3087623,"AG-11654, AG-15451"
6042,15-Apr,Loading,Enhancement: cleaned up backend tables to increase efficiency,CHG3087643,"AG-15530, AG-15510"
6047,18-Apr,Inventory,Enhancement: turned off Aisle Summary feature,CHG3087927 ,OPIF-157747
6090,5-May,SHORE,Fix:  One Atlas no longer looks for seal info in GLS,CHG3087943,NA
7021,12-May,Moves,"Enhancement: additional Information added to ""To-Do"" screen",CHG3088143,"OPIF-161368, AG-17126"
7024,15-May,WTD,Fix:   Improvements in associate 1-week performance metrics ,CHG3087623,OPIF-67890
