Area Zipcode,Organization,Address,City,State ID,Role 1 :: EmailAddress,Envelope Status
,RGV FOOD BANK,724 N CAGE BLVD,PHARR,TX,j0c0voi.s02763@us.wal-mart.com,Completed
56537,SOMEPLACE SAFE,106 SOUTH UNION AVE,FERGUS FALLS,MN,ashley.ze@someplacesafe.info,Completed
70754,JASON ARD CHRISMAS CRUSADE,"29225 WOODSIDE DRIVE  LA., 70754",WALKER,LA,jzuelke@lpso.org,Completed
,MENOMONIE HIGH SCHOOL ,1715 5TH ST W ,MENOMONIE,WI,matthew_riley@msd.k12.wi.us,Completed
,JUSTICE FOR ABUSED ANIMALS INC.,220 LAKE SIDE RD,CORBIN,KY,frogjmcm@roadrunner.com,Completed
40701,JUSTICES FOR ABUSED ANIMALS INC.,220 LAKE SIDE ROAD CORBIN KY 40701,CORBIN,KY,frogjmcm@roadrunner.com,Completed
38128,HOPE ISLAND (RCCG HOR),3411 COVINGTON PIKE,MEMPHIS,TN,hormemphis@gmail.com,Completed
40701,JUSTICE FOR ABUSED ANIMALS INC. JFAA,220 LAKE SIDE RD. CORBIN KY 40701,CORBIN,KY,frogjmcm@roadrunner.com,Completed
30467,SCREVEN COUNTY SPAY AND NEUTER CORP. ,1345 BUTTERMILK ROAD SYLVANIA GA 30467 ,SYLVANIA,GA,Screvenspayandneuter@gmail.com,Completed
78577,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,PHARR ,TX,NNVILLA.S02763@US.WAL-MART.COM,Completed
85326,I AM HEAR FOUNDATION ,219 N. 201ST AVE.,BUCKEYE,AZ,iamhearfoundation@gmail.com,Completed
78577,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,PHARR,TX,j0c0voi.s02763@us.wal-mart.com,Completed
38002,BEN AND LINNIE FOUNDATION/LTY WOMEN'S RETREAT,"7522 BRITNEYWOODS CIR, ARLINGTON",ARLINGTON,TN,truly1952blessed@yahoo.com,Completed
19958,LEWES FIRE DEPARTMENT,347 SAVANNAH RD,LEWES,DEL,ershomes@comcast.net,Completed
85142,QUEEN CREEK SCHOOLS EDUCATION FOUNDATION ,22149 E OCOTILLO RD,QUEEN CREEK,AZ,bvindiola@qcusd.org,Completed
85142,QUEEN CREEK SCHOOLS EDUCATION FOUNDATION,22149 E OCOTILLO RD,QUEEN CREEK,AZ,bvindiola@qcusd.org,Completed
85142,QUEEN CREEK SCHOOLS EDUCATION FOUNDATION,20214 E CHANDLER HEIGHTS RD,QUEEN CREEK,AZ,bvindiola@qcusd.org,Completed
