Store #,Shipping City,State,Zip Code,Tier Name,Article #,Store Type
1,Rogers,AR,72756,Tier 03,100673607,Supercenter
2,Harrison,AR,72601,Tier 03,100673607,Supercenter
3,Commerce,GA,30529,Tier 01 ,100673605,Supercenter
4,Siloam Springs,AR,72761,Tier 03,100673607,Supercenter
5,Conway,AR,72032,Tier 03,100673607,Supercenter
7,Sherwood,AR,72120,Tier 03,100673607,Supercenter
8,Morrilton,AR,72110,Tier 03,100673607,Supercenter
9,Sikeston,MO,63801,Tier 05,100673609,Supercenter
10,Tahlequah,OK,74464,Tier 03,100673607,Supercenter
11,Mountain Home,AR,72653,Tier 03,100673607,Supercenter
12,Clar,OK,74017,Tier 03,100673607,Supercenter
13,Carthage,MO,64836,Tier 05,100673609,Supercenter
14,Lebanon,MO,65536,Tier 05,100673609,Supercenter
15,West Plains,MO,65775,Tier 02 ,100673606,Supercenter
16,Van Buren,AR,72956,Tier 03,100673607,Supercenter
17,Neosho,MO,64850,Tier 05,100673609,Supercenter
18,Newport,AR,72112,Tier 03,100673607,Supercenter
19,Poplar Bluff,MO,63901,Tier 04,100673608,Supercenter
20,Clinton,MO,64735,Tier 05,100673609,Supercenter
21,Saint Robert,MO,65584,Tier 05,100673609,Supercenter
22,Pryor,OK,74361,Tier 03,100673607,Supercenter
23,Ruston,LA,71270,Tier 03,100673607,Supercenter
24,Jacksonville,AR,72076,Tier 03,100673607,Supercenter
25,Mexico,MO,65265,Tier 04,100673608,Supercenter
26,Leavenworth,KS,66048,Tier 05,100673609,Supercenter
27,Salem,MO,65560,Tier 05,100673609,Supercenter
28,Miami,OK,74354,Tier 04,100673608,Supercenter
29,Jefferson City,MO,65109,Tier 04,100673608,Supercenter
30,Dexter,MO,63841,Tier 05,100673609,Supercenter
31,Poteau,OK,74953,Tier 03,100673607,Supercenter
32,Branson,MO,65616,Tier 05,100673609,Wal-Mart
33,Nashville,AR,71852,Tier 03,100673607,Supercenter
34,Nevada,MO,64772,Tier 05,100673609,Supercenter
35,Manhattan,KS,66502,Tier 05,100673609,Supercenter
36,Paragould,AR,72450,Tier 05,100673609,Supercenter
37,Farmington,MO,63640,Tier 05,100673609,Supercenter
38,Idabel,OK,74745,Tier 04,100673608,Supercenter
39,Fort Scott,KS,66701,Tier 05,100673609,Supercenter
40,Moberly,MO,65270,Tier 05,100673609,Supercenter
41,Bartlesville,OK,74006,Tier 05,100673609,Supercenter
