Primary,Business Domain,Data Group (Sub Domain),Data Sub Group (Business Process),Description,Example,Harm to Walmart,Harm to the Individual,Internal Remark,Data Classification,Data Category,Scope
English,All Domains,All Sub-Domains,Due diligences or risk assessment results (AML/ AC/ other compliance area),Identify and evaluate potential risks associated with projects / specific transactions / business relationships / etc.,AML / SSP / EPRA / etc.,,,,Highly Sensitive,Business Information,Global
English,Finance,All Sub-Domains,Finance Master Data,The single source for critical business data used in accounting and reporting functions.,Customer master data / vendor master data / chart of accounts / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Background and Criminal Information,Criminal convictions and offenses,Criminal conviction is a  formal judgment that a person is guilty of a crime.,Felonies / misdemeanors / pending charges,,,,Highly Sensitive,Personal Information,South Africa
English,All Domains,Background and Criminal Information,Criminal convictions and offenses,Criminal conviction is a  formal judgment that a person is guilty of a crime.,Felonies / misdemeanors / pending charges,,,,Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Biometric identifiers ,Biometrics data used for identification purposes.,fingerprints / facial recognition / voice recognition / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Blood Pressure,The measurement of blood pressure can identify heart health and identify underlying illnesses. ,Example of a BP reading is 120/80.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Body Temperature,The use of thermal cameras and other technologies to measure body temperature., Identify people who may have a fever.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Processed),Recorded footage captured by CCTV cameras that has been digitally manipulated or analyzed.,A person on video where facial recognition software was used to identify a known person and their name within the footage. ,,,,Highly Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Raw or processed),Raw or processed captured footage by CCTV cameras and other surveillance systems.,Security / Fraud prevention  / Check out transactions / etc.  ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Raw),Unprocessed and unedited video footage captured by CCTV cameras and other surveillance systems. ,Raw footage of shoppers in a store recorded by security cameras.,,,,Sensitive,Personal Information,US
English,All Domains,Biometric Information,Gait Patterns or Rhythms,Used to identify a person based on their unique walking style.,stride length / cadence / body movement dynamics ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Heart Rate,The unique electrical paterns generated by a person's heartbeat used to identify a person.,ECG,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Face,Analysis of facial characteristics that identifies identity.,distance between eyes / nose shape / jawline / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Fingerprints,Unique ridges and valleys of a person's fingertips to verify their identity.,When a device captures a fingerprint pattern and compares it to a stored database to verify an identity and grant access.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Iris,The process of capturing and analyzing the unique patterns in the colored part of a person's eye using a camera to use for identification and authorization.,Certain sensitive areas within government buildings or corporate facilities might require iris scans for entry. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Palm,A digital image using the vein patterns in a person's palm print for personal identification.,Global Entry program used by United States customs.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Retina,A detailed image of the unique blood vessel pattern on the back of the eye that can be used to verify someone's identity. ,Can be used when accessing a high security area like a military base.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Keystroke Patterns or Rhythms,Analyzes the unique way a person types on a keyboard through rhythm and their key presses to identify them as an individual. ,Login authentication / fraud detection / investigative forensics / etc. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Meeting Recordings (Zoom‚ Teams‚ etc.),Meeting recordings that can potentially capture and store biometric information.,Zoom / Teams / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Outer Ear / Auricle,Method of identifying a person using the shape and features of their outer ear. ,Used to supplement other biometric modalities‚ such as face.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Processed Voice Recordings,An analyzed voice sample that is transformed by a computer system to create a voiceprint. ,Verifying identity in customer service interactions.,,,,Highly Sensitive,Personal Information,US
English,All Domains,Biometric Information,Raw Voice Recordings,Captured audio files of raw voice recordings that contain a full spectrum of vocal characteristics. ,Can be used to identify them through voice recognition technology. ,,,,Sensitive,Personal Information,US
English,All Domains,Biometric Information,Reversible biometric vector,A person's biometric features that can be reverted back to its original form.,Biometric used for auth,Biometric regulation breach,Re-ID of sensitive feature,Reversible = not de-identified,Highly Sensitive-Restricted,Personal Information,Global
English,All Domains,Biometric Information,Vein patterns,Identifies people based on their internal blood vessel structure.,Vein identification could be used for access control / payroll processing / forensic identification / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Voice Recordings,Analyzed audio samples that create a unique voiceprint for a person to be used to identify a person.,Used when verifying identity in call centers / online services / mobile devices / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Voice/Speech recognition,Technology that authenticates a person using their voice.,Someone using their voice to log into a banking app on their phone.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Business Entity,Date of Incorporation,The legal start date of a company's founding.  ,Used for legal / tax /  financial reporting purposes. ,None,None,,Non-Sensitive,Business Information,Global
English,Associate Digital Experience,Change Advisory Board,Emergency Freeze Periods,Periods where no non-emegency changes are allowed to a system or project.,During Critical business periods / System upgrades or maintenance / etc.,,,,Highly Sensitive,Business Information,Global
English,Associate Digital Experience,Change Advisory Board,Normal/Pre-Planned Freeze Periods,Temporary pauses or restrictions on certain activities or changes.,Hiring / Spending / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Confluence (Platform - stores Sensitive to Highly Sensitive data),A digital workspace that helps teams create / organize / and share information.,Used for documenting projects / sharing knowledge / tracking tasks / etc. ,,,,Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Jira (Platform-stores Sensitive to Highly Sensitive data),Project management software that allows teams to collaborate on projects.,Tracks tasks / assigns work / managing sisues / provides a central platform for communication updates / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,SharePoint  (Platform - stores Sensitive to Highly Sensitive data),Web based platform for document management and collaboration.,Used for document management / collaboration / site creation / etc. ,,,,Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Teams  (Platform - stores Sensitive to Highly Sensitive data),A collaboration platform that allows users to communicate.,Messaging / meetings / file sharing / app sharing / security,,,,Highly Sensitive,Business Information,Global
English,All Domains,Collaboration Tools,Zoom  (Platform - stores Sensitive to Highly Sensitive data),Cloud based service that allows users to communicate.,Used for meetings / chat / moderation / recordings / webinars,,,,Highly Sensitive,Business Information,Global
English,All Domains,Cost,Cost Information (GFR),Goods for resale are products and services a business intends to sell for profit. ,Grocery and general merchandise items / Data Venture Products / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Cost,Cost Information (GNFR),Goods not for resale are items and business purchases that a business needs to operate.,Fixtures / cleaning materials / consultants / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Demographic Information,(Individual Level) Demographic Categories / Segmentation,Grouping consumers based on shared demographic characteristics.,Age / Gender / Income / Occupation / etc. ,Cultural risk‚ legal challenge,Disability exposure‚ discrimination,,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Age,Age linked to any identifier or used at the individual level.,Research study with PI data associated with Age. ,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Age (aggregated‚ anonymized‚ or grouped form),Data used in identifying buying trends of ages 18-21 with no identifiers.,Anonymized purchase records ,,,,Sensitive,Business Information,Global
English,All Domains,Demographic Information,Aggregated Demographic Categories / Segmentation,Aggregated grouping consumers based on shared demographic characteristics.,Age / Gender / Income / Occupation / etc. ,,,,Sensitive,Business Information,Global
