Store ,Requested Ship Date,FedEx Tracking,Device Type,JD Link,Qty,Shipped Qty,Completed / GNFR,Revised Shipped Qty
2070,1/26/2022,289266747154,Pharma Tracker,SO598097Pharma Tracker,1,1,0,1
2070,1/26/2022,289266747154,Phone Tracker,SO598097Phone Tracker,1,1,0,1
2071,1/26/2022,289205998343,Pharma Tracker,SO598098Pharma Tracker,1,1,0,1
2074,1/26/2022,289266778451,Phone Tracker,SO598099Phone Tracker,1,1,0,1
2188,1/26/2022,289205462577,Pharma Tracker,SO598100Pharma Tracker,1,1,0,1
2710,1/26/2022,289206124703,Pharma Tracker,SO598101Pharma Tracker,1,1,0,1
2711,1/26/2022,289205811338,Pharma Tracker,SO598102Pharma Tracker,1,1,0,1
2722,1/26/2022,289206267227,Pharma Tracker,SO598103Pharma Tracker,1,1,0,1
4359,1/26/2022,289205205715,Pharma Tracker,SO598104Pharma Tracker,1,1,0,1
4474,1/26/2022,289205084798,Pharma Tracker,SO598105Pharma Tracker,1,1,0,1
2126,1/26/2022,289253904250,Phone Tracker,SO599796Phone Tracker,1,1,0,1
2308,1/26/2022,289254147772,Pharma Tracker,SO599798Pharma Tracker,1,1,0,1
2308,1/26/2022,289254147772,Phone Tracker,SO599798Phone Tracker,1,1,0,1
2321,1/26/2022,289254328360,Pharma Tracker,SO599800Pharma Tracker,1,1,0,1
2321,1/26/2022,289254328360,Phone Tracker,SO599800Phone Tracker,1,1,0,1
2473,1/26/2022,289254482897,Pharma Tracker,SO599802Pharma Tracker,1,1,0,1
2473,1/26/2022,289254482897,Phone Tracker,SO599802Phone Tracker,1,1,0,1
3149,1/26/2022,289254632740,Pharma Tracker,SO599803Pharma Tracker,1,1,0,1
3149,1/26/2022,289254632740,Phone Tracker,SO599803Phone Tracker,1,1,0,1
3290,1/26/2022,289266037555,Pharma Tracker,SO599805Pharma Tracker,1,1,0,1
3290,1/26/2022,289266037555,Phone Tracker,SO599805Phone Tracker,1,1,0,1
3478,1/26/2022,289266050541,Pharma Tracker,SO599806Pharma Tracker,1,1,0,1
3478,1/26/2022,289266050541,Phone Tracker,SO599806Phone Tracker,1,1,0,1
3883,1/26/2022,289266064320,Phone Tracker,SO599808Phone Tracker,1,1,0,1
5274,1/26/2022,289266075203,Pharma Tracker,SO599809Pharma Tracker,1,1,0,1
5274,1/26/2022,289266075203,Phone Tracker,SO599809Phone Tracker,1,1,0,1
1772,1/26/2022,289207748254,Pharma Tracker,SO602554Pharma Tracker,1,1,0,1
1775,1/26/2022,289266129468,Pharma Tracker,SO602556Pharma Tracker,1,1,0,1
1775,1/26/2022,289266129468,Phone Tracker,SO602556Phone Tracker,1,1,0,1
1784,1/26/2022,289202990170,Pharma Tracker,SO602557Pharma Tracker,1,1,0,1
1793,1/26/2022,289266258581,Pharma Tracker,SO602559Pharma Tracker,1,1,0,1
1793,1/26/2022,289266258581,Phone Tracker,SO602559Phone Tracker,1,1,0,1
1817,1/26/2022,289266352715,Phone Tracker,SO602560Phone Tracker,1,1,0,1
1834,1/26/2022,289266438059,Pharma Tracker,SO602562Pharma Tracker,1,1,0,1
1834,1/26/2022,289266438059,Phone Tracker,SO602562Phone Tracker,1,1,0,1
1843,1/26/2022,289266654863,Pharma Tracker,SO602563Pharma Tracker,1,1,0,1
1843,1/26/2022,289266654863,Phone Tracker,SO602563Phone Tracker,1,1,0,1
1876,1/26/2022,289203071604,Pharma Tracker,SO602565Pharma Tracker,1,1,0,1
1889,1/26/2022,289266673550,Pharma Tracker,SO602567Pharma Tracker,1,1,0,1
1889,1/26/2022,289266673550,Phone Tracker,SO602567Phone Tracker,1,1,0,1
1920,1/26/2022,289266688107,Pharma Tracker,SO602568Pharma Tracker,1,1,0,1
1920,1/26/2022,289266688107,Phone Tracker,SO602568Phone Tracker,1,1,0,1
1925,1/26/2022,289266709554,Pharma Tracker,SO602570Pharma Tracker,1,1,0,1
1925,1/26/2022,289266709554,Phone Tracker,SO602570Phone Tracker,1,1,0,1
1951,1/26/2022,289266738907,Pharma Tracker,SO602572Pharma Tracker,1,1,0,1
1951,1/26/2022,289266738907,Phone Tracker,SO602572Phone Tracker,1,1,0,1
2075,1/26/2022,289266770369,Pharma Tracker,SO602573Pharma Tracker,1,1,0,1
2075,1/26/2022,289266770369,Phone Tracker,SO602573Phone Tracker,1,1,0,1
2243,1/26/2022,289203214772,Pharma Tracker,SO602574Pharma Tracker,1,1,0,1
2315,1/26/2022,289203308482,Pharma Tracker,SO602576Pharma Tracker,1,1,0,1
2320,1/26/2022,289266786840,Pharma Tracker,SO602577Pharma Tracker,1,1,0,1
