Store Number,City,State,Tracking Number,Delivery Date,Signed for by:
3014,DALLAS,TX,5.45E+11,7/1/2022,DLEWIS
3093,MERIDIAN,ID,5.79E+11,6/30/2022,MMARKS
4472,LITHONIA,GA,5.79E+11,6/30/2022,PPARKER
2126,MESQUITE,TX,5.79E+11,No Tracking Found,NO SIGNATURE
2722,MESQUITE,TX,5.45E+11,6/20/2022,DDERRICK
3478,MESQUITE,TX,5.45E+11,6/20/2022,DDERRICK
4474,MESQUITE,TX,5.79E+11,6/20/2022,DDERRICK
2834,FORT WORTH,TX,5.79E+11,7/5/2022,WMART
4653,CHEYENNE,WY,5.79E+11,6/29/2022,TSMITH
5807,COMPTON,CA,5.79E+11,6/30/2022,RRAUL
4183,BRYAN,TX,5.79E+11,6/30/2022,SIGNATURE ON FILE
14,LEBANON,MO,5.79E+11,6/29/2022,MMEDDAUGH
19,POPLAR BLUFF,MO,5.79E+11,6/29/2022,SROBERTS
23,RUSTON,LA,5.45E+11,6/30/2022,JMCCORKLE
66,CLARKSVILLE,AR,5.45E+11,6/30/2022,SSHAVERS
69,FESTUS,MO,5.45E+11,6/29/2022,FFRENCH
72,PITTSBURG,KS,5.45E+11,6/29/2022,SIGNATURE ON FILE
112,STARKVILLE,MS,5.79E+11,6/30/2022,JSAYVON
159,COLUMBIA,MO,5.45E+11,6/29/2022,RRECEIVED
173,POTOSI,MO,5.45E+11,6/29/2022,SIGNATURE ON FILE
206,MCKINNEY,TX,5.79E+11,6/30/2022,SIGNATURE ON FILE
307,WEST MONROE,LA,5.79E+11,6/30/2022,SHALL
400,CONROE,TX,5.79E+11,6/30/2022,TDOBLY
408,PORT ARTHUR,TX,5.79E+11,6/30/2022,JWISE
448,SHREVEPORT,LA,5.79E+11,6/30/2022,GDENSE
475,ROUND ROCK,TX,5.79E+11,6/30/2022,NO RESULTS
488,QUINCY,FL,5.79E+11,6/30/2022,SLONG
508,KERRVILLE,TX,5.79E+11,6/30/2022,JPEREZ
512,EL PASO,TX,5.45E+11,6/30/2022,ALOPEZ
554,LAREDO,TX,5.79E+11,7/1/2022,ALIMAS
587,SPARTA,TN,5.79E+11,6/29/2022,ASHOCKLEY
605,SAVANNAH,GA,5.79E+11,6/30/2022,SWALKER
608,MIDLAND,TX,5.79E+11,6/30/2022,RHAMILTON
611,ROSWELL,NM,5.79E+11,6/30/2022,CFREED
659,NASHVILLE,TN,5.79E+11,6/29/2022,EETTER
674,GALLATIN,TN,5.79E+11,6/29/2022,MFISHER
689,SOMERSET,KY,5.79E+11,6/29/2022,RMORRIS
722,CARROLLTON,GA,5.45E+11,6/30/2022,BSMITH
730,SYLACAUGA,AL,5.79E+11,6/30/2022,SIGNATURE ON FILE
741,LENOIR CITY,TN,5.45E+11,6/29/2022,SIGNATURE ON FILE
789,MESQUITE,TX,5.79E+11,7/1/2022,BBADEN
805,FENTON,MO,5.79E+11,6/29/2022,CCASSADY
