STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,TY Planned Forecasted Sales,LY Total Sales
1,4,7,15,102,39
2,93,22,208,766,376
3,6,4,11,314,27
4,126,1,126,348,174
5,6,9,25,129,48
7,20,5,15,76,38
8,7,10,11,82,41
9,11,21,6,56,28
10,169,16,183,838,417
11,139,169,195,828,414
12,5,7,18,106,39
13,20,8,29,110,54
14,119,31,111,306,150
15,133,116,212,843,371
16,5,0,21,173,86
17,8,6,11,188,61
18,0,0,0,0,0
19,53,13,115,308,151
20,0,10,23,266,133
21,2,16,27,244,120
22,4,6,18,96,46
23,4,4,22,70,35
24,0,0,0,0,2
25,1,11,7,54,27
26,8,5,15,100,49
27,80,26,61,278,139
28,0,7,18,66,33
29,0,0,0,0,0
30,1,0,0,0,15
31,0,0,0,0,0
32,14,5,5,52,26
33,0,0,0,0,1
34,0,0,0,0,8
35,12,11,35,89,42
36,-1,11,29,86,45
37,112,33,154,328,152
38,12,7,8,52,25
39,0,8,19,79,39
40,11,20,14,84,40
41,14,4,15,95,32
42,3,6,11,60,28
43,12,9,30,82,43
44,1,0,0,0,0
45,9,7,11,50,25
46,10,24,96,246,123
47,2,5,5,13,6
48,8,6,10,72,36
49,4,12,20,134,67
50,5,6,14,74,36
51,0,0,0,0,0
52,21,4,52,119,97
54,5,7,10,58,27
55,0,0,0,0,5
56,8,13,24,100,99
57,0,0,0,0,10
58,72,20,186,451,284
59,76,2,31,92,51
60,1,14,15,77,29
61,15,9,32,91,41
62,0,0,0,0,1
63,6,8,29,76,38
64,0,0,0,0,1
65,15,17,35,162,67
66,16,0,152,331,210
67,8,8,28,143,143
68,0,0,0,0,0
69,5,13,59,110,104
70,0,0,0,0,0
71,14,47,28,89,42
72,9,8,12,45,30
73,4,7,10,33,15
74,0,0,0,0,1
75,9,5,12,65,29
76,6,9,35,142,119
77,18,2,18,92,56
78,20,9,14,110,64
79,51,11,85,278,129
80,0,0,0,0,0
81,7,6,8,53,30
82,61,11,46,104,51
83,0,0,0,0,1
85,6,10,15,46,32
86,20,10,14,79,72
87,5,9,7,38,23
88,1,11,9,119,32
89,195,34,134,509,266
90,38,7,112,174,135
91,0,0,0,0,0
92,6,10,26,88,54
93,15,5,2,59,13
94,0,0,0,0,1
95,28,24,131,287,159
96,7,6,13,56,21
97,0,0,0,0,1
98,7,5,7,38,19
99,11,7,8,61,28
100,13,8,35,268,90
101,145,24,118,473,250
102,0,0,0,0,0
103,4,6,18,105,17
104,19,1,17,57,30
105,7,12,33,80,47
106,0,0,0,0,0
107,16,6,19,103,37
108,6,9,9,40,21
109,6,9,16,134,38
110,0,0,0,0,-1
111,0,0,0,0,0
112,10,5,8,46,27
113,16,11,27,87,38
114,15,8,8,99,48
115,0,0,0,0,1
116,0,0,0,0,1
117,123,7,58,313,187
118,2,8,11,52,7
119,149,7,169,532,268
120,0,0,0,0,0
121,10,5,9,49,25
122,0,10,10,83,35
123,0,0,0,0,3
124,1,0,0,0,0
125,22,6,19,78,79
126,8,3,8,38,30
127,14,10,12,63,31
128,11,6,11,55,34
129,97,7,33,115,67
130,1,0,0,0,0
131,12,19,81,180,81
132,0,0,0,0,0
133,0,0,0,0,1
