Store,Title,File_Name,URL
5452,5452 IN DEA Form 106 4.20.22,5452 IN DEA Form 106 4.20.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/5452 IN DEA Form 106 4.20.22.pdf
2625,2625 TX DEA FORM 106 5.03.22_IT,2625 TX DEA FORM 106 5.03.22_IT.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/2625 TX DEA FORM 106 5.03.22_IT.pdf
2625,2625 TX DEA FORM 106 2.11.22_106 WITHDRAWN CONFIRMATION,2625 TX DEA FORM 106 2.11.22_106 WITHDRAWN CONFIRMATION.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/2625 TX DEA FORM 106 2.11.22_106 WITHDRAWN CONFIRMATION.pdf
2167,2167 PA_DEA 106_03-01-2022_EP,2167 PA_DEA 106_03-01-2022_EP.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/2167 PA_DEA 106_03-01-2022_EP.pdf
5200,5200 PA DEA 106_02.18.2022_EP,5200 PA DEA 106_02.18.2022_EP.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/5200 PA DEA 106_02.18.2022_EP.pdf
249,249 TX DEA106_11-12-2021_EP,249 TX DEA106_11-12-2021_EP.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/249 TX DEA106_11-12-2021_EP.pdf
180,180 TX DEA Form 106 4.13.22 AMMENDED,180 TX DEA Form 106 4.13.22 AMMENDED.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/180 TX DEA Form 106 4.13.22 AMMENDED.pdf
852,852 IL DEA Form 106 4.20.22,852 IL DEA Form 106 4.20.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/852 IL DEA Form 106 4.20.22.pdf
767,767 FL DEA Form 106 4.13.22,767 FL DEA Form 106 4.13.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/767 FL DEA Form 106 4.13.22.pdf
180,180 TX DEA Form 106 4.13.22,180 TX DEA Form 106 4.13.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/180 TX DEA Form 106 4.13.22.pdf
5602,5602 CA DEA 106 FORM 6.17.21,5602 CA DEA 106 FORM 6.17.21.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/5602 CA DEA 106 FORM 6.17.21.pdf
1083,1083 FL DEA 106 4.4.22,1083 FL DEA 106 4.4.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/1083 FL DEA 106 4.4.22.pdf
2762,2762 VA DEA 106_3.11.2022_EP,2762 VA DEA 106_3.11.2022_EP.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/2762 VA DEA 106_3.11.2022_EP.pdf
4706,4706 UT DEA Form 106,4706 UT DEA Form 106.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/4706 UT DEA Form 106.pdf
1533,1533 AZ DEA Form 107 3.4.22,1533 AZ DEA Form 107 3.4.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/1533 AZ DEA Form 107 3.4.22.pdf
3596,3596 NM DEA 107 4.14.22,3596 NM DEA 107 4.14.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/3596 NM DEA 107 4.14.22.pdf
1542,1542 MI_DEA106_02-04-2022_EP,1542 MI_DEA106_02-04-2022_EP.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/1542 MI_DEA106_02-04-2022_EP.pdf
1949,1949 NY DEA Form 106 4.13.22,1949 NY DEA Form 106 4.13.22.pdf,http://wmlink.wal-mart.com/FileHandler#file=WIRE_Reports/Pharmacy_DEA/1949 NY DEA Form 106 4.13.22.pdf
