Store #,Format,City,State,Fuel Frequency,July Fuel,August Fuel,September Fuel,Service Provider,Phone Number,,,,
492,SUP,VINCENNES,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
566,SUP,BOONVILLE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
617,WMT,SULLIVAN,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
655,SUP,Hanson,KY,180,,,,CLEAN EARTH,877-406-5295,,,,
695,SUP,Madison,TN,180,,,,CLEAN EARTH,877-406-5295,,,,
828,SUP,PLAINFIELD,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
854,SUP,FRANKFORT,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
870,SUP,JASPER,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
884,SUP,SHELBYVILLE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
902,SUP,GREENCASTLE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
922,SUP,CORYDON,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
923,SUP,NOBLESVILLE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
995,SUP,FRANKLIN,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
996,WMT,SPENCER,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1002,SUP,LINTON,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1013,WMT,CLINTON,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1026,SUP,BEDFORD,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1033,SUP,SEYMOUR,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1141,SUP,GREENFIELD,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1142,SUP,SCOTTSBURG,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1149,SUP,SAFFORD,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1157,WMT,NORTH VERNON,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1160,SUP,AURORA,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1162,SUP,WASHINGTON,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1175,WMT,FLAGSTAFF,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1180,SUP,GREENSBURG,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1218,SUP,CASA GRANDE,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1230,SUP,SHOW LOW,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1240,SUP,SIERRA VISTA,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1263,SUP,EVANSVILLE,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1275,SUP,LEBANON,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1291,SUP,TUCSON,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1294,SUP,MARION,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1299,SUP,COTTONWOOD,AZ,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
1304,SUP,WARSAW,IN,No Fuel,,,,CLEAN EARTH,877-406-5295,,,,
