Facility_Nbr,Facility_Name,Market,Region,Prov,Status
1000,Milton,M11,R2,ON,FY23
1001,Bowmanville,M21,R4,ON,FY23
1003,Bridgewater,M29,R4,NS,FY24
1004,Toronto (Stockyards),M18,R2,ON,FY23
1007,Kitchener (W),M12,R2,ON,FY23
1008,Drayton Valley,M6,R1,AB,FY24
1009,Whitecourt,M4,R1,AB,FY24
1011,Trail,M3,R1,BC,FY24
1012,Keswick,M16,R2,ON,FY23
1013,Grand Falls,M28,R4,NB,FY24
1014,Antigonish,M29,R4,NS,FY24
1015,Squamish,M32,R1,BC,FY24
1016,Yarmouth,M29,R4,NS,FY24
1017,Digby,M29,R4,NS,FY24
1018,Port Alberni,M1,R1,BC,FY24
1019,Lac Megantic,M26,R3,QC,FY24
1020,Ste-Agathe,M23,R3,QC,FY24
1022,Winkler,M10,R1,MB,FY24
1023,Parry Sound,M16,R2,ON,FY23
1025,Matane,M27,R3,QC,FY24
1026,Marystown,M30,R4,NL,FY24
1027,Selkirk,M10,R1,MB,FY24
1028,Drumheller,M8,R1,AB,FY24
1029,Stouffville,M20,R2,ON,FY23
1030,Slave Lake,M4,R1,AB,FY24
1031,Ottawa (E),M22,R4,ON,FY23
1032,Laval (E),M24,R3,QC,FY24
1033,Edmundston,M27,R3,NB,FY24
1034,Stettler,M6,R1,AB,FY24
1035,Labrador City,M30,R4,NL,FY24
1036,Merritt,M3,R1,BC,FY24
1038,Strathroy,M15,R2,ON,FY23
1039,Collingwood,M16,R2,ON,FY23
1040,St. Georges de Beauce,M26,R3,QC,FY24
1041,Napanee,M21,R4,ON,FY23
1042,Hamilton (SE),M13,R2,ON,FY23
1043,Woodstock,M28,R4,NB,FY24
1045,St-Romuald/Charny,M27,R3,QC,FY24
1046,Taber,M7,R1,AB,FY24
1047,Kemptville,M21,R4,ON,FY23
1048,Edson,M4,R1,AB,FY24
1049,Strathmore,M7,R1,AB,FY24
1050,Airdrie,M8,R1,AB,FY24
1052,Sussex,M28,R4,NB,FY24
1054,Bracebridge,M16,R2,ON,FY23
1056,Oshawa (S),M20,R2,ON,FY23
1057,Vaudreuil,M24,R3,QC,FY24
