STORE_NBR,Item Number,UPC,DEPT,Desc,Retail_Price,Supplier Nbr,Supplier Name,OH Qty
3300,7000007,194135206990,26,COM FROGS/TURTLES,8.00,485004,HYPER WEAR INC,-1
3300,7000015,194135205650,26,COM 1PC WHALE,7.88,485004,HYPER WEAR INC,-1
3300,7000010,194135206220,26,COM 1PC TRUCKS,7.88,485004,HYPER WEAR INC,-1
3300,7000002,840093111360,40,MAGNESIUM,13.08,122663,MCKESSON,0
3300,7000014,1200130014240,72,JBL VIBE FLEX,59.00,842545,JBL TRADING LLC,-1
1441,7000267,722691515090,33,LIC TANKINI HK,11.97,380712,AGE GROUP LTD,
1594,7000002,1502630,99,BERRY OVAL AMB CR 8O,134.62,122663,MCKESSON,
1594,7000001,3626930,99,WM HIPAA LEAFLET ENG,58.68,122663,MCKESSON,
2400,7000011,8052500966560,3,FLGWM-USAF,3.98,58259,WALMART INHOME,0
2400,7000009,854021008450,91,MINI YOGURT BARS,4.97,866702,CLIO LLC,12
2967,7000001,43213987330,29,BRA,1.00,222474,WAL-MART,
2967,7000007,1502610,38,BERRY OVAL AMB 4 OZ,188.92,122663,MCKESSON,5
2702,7000014,72512232370,3,PENTEL ENERGEL PEN R,1.97,543703,WALMART DC 7084,1
2702,7000009,6872907064070,23,KAMI SURF SHORTS,26.00,413356,WALMART.COM,
2702,7000010,6872907064120,23,KANU SURF SHORTS,26.00,413356,WALMART.COM,
2702,7000023,192623986030,25,DREAM PAIRS BREEZE-2,24.99,413356,WALMART.COM,
2702,7000000,728872763860,34,UVN BLOUSE,12.00,413356,WALMART.COM,
2702,7000006,74696422160,69,DOG COLLAR,149.99,543703,WALMART DC 7084,-1
2702,7000011,9347108026290,2,B.FRESH,4.00,543703,WALMART DC 7084,6
2702,7000013,702854857740,14,ORBLUE BREAD KNIFE,5.00,543703,WALMART DC 7084,1
2702,7000007,880959877600,34,NOBO SHIRT,5.00,413356,WALMART.COM,
