STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,TY Planned Forecasted Sales,LY Total Sales
1,7,13,18,102,39
2,45,52,291,766,376
3,9,6,11,314,27
4,40,36,187,348,174
5,3,18,34,129,48
7,20,5,16,76,38
8,6,16,15,82,41
9,16,9,9,56,28
10,219,26,245,838,417
11,303,19,332,828,414
12,5,12,24,106,39
13,14,15,31,110,54
14,42,53,180,306,150
15,240,31,404,843,371
16,5,0,23,173,86
17,12,6,16,188,61
18,1,0,-1,0,0
19,87,46,139,308,151
20,1,23,26,266,133
21,33,13,51,244,120
22,2,15,26,96,46
23,2,15,27,70,35
24,0,0,0,0,2
25,9,6,7,54,27
26,8,16,17,100,49
27,75,27,102,278,139
28,5,12,19,66,33
29,0,0,0,0,0
30,1,0,0,0,15
31,0,0,0,0,0
32,14,6,7,52,26
33,0,0,0,0,1
34,0,10,0,0,8
35,12,19,41,89,42
36,5,21,35,86,45
37,33,70,268,328,152
38,12,14,13,52,25
39,3,19,20,79,39
40,25,8,24,84,40
41,12,9,21,95,32
42,6,14,13,60,28
43,10,21,37,82,43
44,1,0,0,0,0
45,6,14,17,50,25
46,31,24,140,246,123
47,3,4,5,13,6
48,9,15,15,72,36
49,9,21,29,134,67
50,10,12,16,74,36
51,0,0,0,0,0
52,28,12,63,119,97
54,9,14,15,58,27
55,0,0,0,0,5
56,50,10,50,100,99
57,0,0,0,0,10
58,55,25,224,451,284
59,56,21,59,92,51
60,11,8,16,77,29
61,11,23,43,91,41
62,0,0,0,0,1
63,13,16,33,76,38
64,0,0,0,0,1
65,20,29,50,162,67
66,12,0,156,331,210
67,7,17,34,143,143
68,0,0,0,0,0
69,5,70,62,110,104
70,0,0,0,0,0
71,11,26,59,89,42
72,13,11,13,45,30
73,9,6,13,33,15
74,0,0,0,0,1
75,8,9,14,65,29
76,7,19,39,142,119
77,20,4,19,92,56
78,10,10,24,110,64
79,34,17,101,278,129
80,0,0,0,0,0
81,7,14,11,53,30
82,48,20,76,104,51
83,0,0,0,0,1
85,6,13,19,46,32
86,18,20,25,79,72
87,11,16,10,38,23
88,5,14,14,119,32
89,198,27,196,509,266
90,23,35,138,174,135
91,0,0,0,0,0
92,9,22,34,88,54
93,17,10,4,59,13
94,0,0,0,0,1
95,38,29,149,287,159
96,9,19,14,56,21
97,0,0,0,0,1
98,7,7,9,38,19
99,9,10,15,61,28
100,38,18,47,268,90
101,69,65,179,473,250
102,0,0,0,0,0
103,7,11,22,105,17
104,24,9,26,57,30
105,16,17,36,80,47
106,0,0,0,0,0
107,23,8,30,103,37
108,6,14,15,40,21
109,7,15,17,134,38
110,0,0,0,0,-1
111,0,0,0,0,0
112,5,10,16,46,27
113,30,15,32,87,38
114,13,21,18,99,48
115,0,0,0,0,1
116,0,0,0,0,1
117,96,8,89,313,187
118,4,8,12,52,7
119,104,94,232,532,268
120,0,0,0,0,0
121,9,14,14,49,25
122,30,9,18,83,35
123,0,0,0,0,3
124,1,0,0,0,0
125,31,12,23,78,79
126,8,5,11,38,30
127,5,15,14,63,31
128,11,14,15,55,34
129,92,10,43,115,67
130,1,0,0,0,0
131,19,33,93,180,81
132,0,0,0,0,0
133,0,0,0,0,1
