Store Number,Trade Date,Days,Item Status,Order ID,Appraisal ID,Make,Model,Gift Card Issue
14,11/17/2024,260,Awaiting RMA Creation,5328829,164624193,Samsung,Galaxy A51 4G 128GB SM-A515U  Verizon,$7.15
36,1/19/2025,197,Awaiting RMA Creation,5374590,165538186,Apple,iPhone 14 Plus - 128GB AT&T,$145.00
45,11/29/2024,248,Awaiting RMA Creation,5338229,164815190,Apple,iPhone 14 Pro Max - 128GB Verizon,$297.00
45,11/30/2024,247,Awaiting RMA Creation,5338553,164834012,Apple,iPhone 15 Pro Max 256GB T-Mobile,$467.50
45,6/9/2025,56,Awaiting RMA Creation,5467975,167587167,Apple,iPhone 16 Plus 128GB AT&T,$405.00
45,6/9/2025,56,Awaiting RMA Creation,5467981,167587356,Apple,iPhone 16 Plus 128GB AT&T,$405.00
45,6/13/2025,52,Awaiting RMA Creation,5469657,167639190,Apple,iPhone 15 Plus 128GB Verizon,$242.10
45,6/13/2025,52,Awaiting RMA Creation,5469659,167639836,Apple,iPhone 15 Plus 128GB Verizon,$242.10
101,10/21/2024,287,Awaiting RMA Creation,5309458,164256521,Google,Pixel 8 Pro 1TB Unlocked,$361.25
103,10/21/2024,287,Awaiting RMA Creation,5309516,164256819,Samsung,Galaxy S24 Ultra 1TB Unlocked,$455.18
105,1/4/2025,212,Awaiting RMA Creation,5362052,165351589,Apple,iPhone 12 Pro Max - 128GB AT&T,$254.32
115,8/10/2024,359,Awaiting RMA Creation,5267649,163320843,Apple,iPhone XR - 64GB Other Carrier,$57.80
115,10/7/2024,301,Awaiting RMA Creation,5300864,164078878,Samsung,Galaxy S22 - 128GB Unlocked,$106.25
115,10/10/2024,298,Awaiting RMA Creation,5303427,164115248,Apple,iPhone 14 Plus - 128GB Unlocked,$192.62
115,10/11/2024,297,Awaiting RMA Creation,5303985,164126900,Apple,iPhone 14 Pro Max - 128GB Unlocked,$382.93
115,10/26/2024,282,Awaiting RMA Creation,5314273,164323449,Samsung,Galaxy Z Flip3 5G - 128GB Verizon,$57.38
115,10/26/2024,282,Awaiting RMA Creation,5314276,164323693,Samsung,Galaxy Z Flip3 5G - 128GB Verizon,$57.38
115,11/20/2024,257,Awaiting RMA Creation,5330884,164680679,Apple,iPhone 15 128GB AT&T,$232.65
115,11/29/2024,248,Awaiting RMA Creation,5338040,164811232,Apple,iPhone 13 Pro Max - 256GB Unlocked,$202.50
115,12/1/2024,246,Awaiting RMA Creation,5338666,164846202,Samsung,Galaxy S20 Plus 5G - 128GB Unlocked,$76.50
115,12/1/2024,246,Awaiting RMA Creation,5338666,164846347,Samsung,Galaxy S9 Plus - 64GB AT&T,$36.00
115,12/12/2024,235,Awaiting RMA Creation,5347329,165034663,Apple,iPhone 13 Pro Max - 256GB Unlocked,$202.50
118,3/21/2025,136,Awaiting RMA Creation,5425654,166495303,Motorola,Edge+ (2022) 5G UW  (XT2201-4) 256GB Other Carrier,$34.43
137,12/7/2024,240,Awaiting RMA Creation,5343792,164958407,Apple,iPhone 12 Pro Max - 128GB T-Mobile,$189.87
143,9/12/2024,326,Awaiting RMA Creation,5286713,163794108,Samsung,Galaxy A14 5G - 64GB Unlocked,$38.25
161,3/15/2025,142,Awaiting RMA Creation,5418453,166399829,Motorola,One 5G - 128GB Verizon,$34.00
168,3/11/2025,146,Awaiting RMA Creation,5414909,166281968,Samsung,Galaxy S9 - 64GB AT&T,$19.13
177,3/21/2025,136,Awaiting RMA Creation,5425563,166494107,Apple,iPhone SE (3rd Gen) - 64GB Unlocked,$2.95
184,9/28/2024,310,Awaiting RMA Creation,5296148,163980385,Motorola,Moto G Power (2022) - 64GB Other Carrier,$12.75
