Store,SHRED PICKUP DATE,Service  Hours,Storage Vendor,Shred Pallet  Count
1,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
2,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),Shred Counts 2023 survey not completed; service cancelled
3,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),1
4,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
5,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
7,8/14/2023,7 am - 6 pm,Vital Records Control (VRC),2
9,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),2
10,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
11,5/5/2023,7 am - 6 pm,Vital Records Control (VRC),2
12,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
13,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),1
14,6/9/2023,7 am - 6 pm,Vital Records Control (VRC),1
15,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
16,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
17,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
18,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
19,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),1
20,6/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
21,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),1
22,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
23,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
24,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),2
25,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),1
26,3/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
27,5/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
28,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
29,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
30,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),1
31,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
32,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
33,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
34,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),1
35,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
36,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),Shred Counts 2023 survey not completed; service cancelled
37,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),1
38,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
39,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),1
40,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
41,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
42,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
43,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
44,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
45,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
46,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
47,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
48,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
49,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
50,Pending with the Vendor to Schedule Service,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
51,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
52,7/31/2023,7 am - 6 pm,Vital Records Control (VRC),3
54,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),1
55,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
56,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
57,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
58,4/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
59,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),Shred Counts 2023 survey not completed; service cancelled
60,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
61,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
62,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
63,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
64,7/13/2023,7 am - 6 pm,Vital Records Control (VRC),9
65,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
66,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
67,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
68,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
69,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
70,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
71,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
72,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
73,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
74,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
75,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),11
76,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
77,7/5/2023,7 am - 6 pm,Vital Records Control (VRC),2
78,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
79,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),1
80,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
