Store #,Facility Type,Division,Region,Market,EPA/State ID #,Address,City,State,Zip Code
1,Wal-Mart Supercenter,1,42,323,ARD981908726,2110 West Walnut  ,Rogers,Arkansas,72756
2,Wal-Mart Supercenter,1,42,322,ARD981907744,161 N. Walmart Drive  ,Harrison,Arkansas,72601
3,Wal-Mart Supercenter,1,2,21,GAR000021444,30983 HWY 441 SOUTH  ,Commerce,Georgia,30529
4,Wal-Mart Supercenter,1,42,323,ARR000008763,2901 HWY 412 EAST  ,Siloam Springs,Arkansas,72761
5,Wal-Mart Supercenter,1,42,326,ARD981907769,1155 HWY 65 NORTH  ,Conway,Arkansas,72032
7,Wal-Mart Supercenter,1,42,326,ARR000017848,9053 Hwy 107  ,Sherwood,Arkansas,72120
8,Wal-Mart Supercenter,1,42,326,ARD983288457,1621 North Business 9  ,Morrilton,Arkansas,72110
9,Wal-Mart Supercenter,1,40,335,MOD985821917,1303 South Main  ,Sikeston,Missouri,63801
10,Wal-Mart Supercenter,1,44,347,OKR000015917,2020 SOUTH MUSKOGEE  ,Tahlequah,Oklahoma,74464
11,Wal-Mart Supercenter,1,42,328,ARD981907751,65 Wal-Mart Drive  ,Mountain Home,Arkansas,72653
12,Wal-Mart Supercenter,1,44,347,OKR000017491,1500 LYNN RIGGS BLVD  ,Claremore,Oklahoma,74017
13,Wal-Mart Supercenter,1,42,334,MOR000001800,2705 GRAND AVE  ,Carthage,Missouri,64836
14,Wal-Mart Supercenter,1,40,357,MOR000529875,1800 S Jefferson Ave  ,Lebanon,Missouri,65536
15,Wal-Mart Supercenter,1,40,333,MOR000000653,1310 PREACHER ROE/HGWY 160  ,West Plains,Missouri,65775
16,Wal-Mart Supercenter,1,42,321,ARR000007690,2214 FAYETTEVILLE RD  ,Van Buren,Arkansas,72956
17,Wal-Mart Supercenter,1,42,334,MOD985821818,3200 Lusk Drive  ,Neosho,Missouri,64850
18,Wal-Mart Supercenter,1,42,328,ARR000024273,1211 Highway 367 N  ,Newport,Arkansas,72112
19,Wal-Mart Supercenter,1,40,335,MOD985821826,333 S WESTWOOD  ,Poplar Bluff,Missouri,63901
20,Wal-Mart Supercenter,1,40,361,MOR000523209,1712 EAST OHIO  ,Clinton,Missouri,64735
21,Wal-Mart Supercenter,1,40,336,MOR000534917,185 ST ROBERT BLVD  ,SAINT ROBERT,Missouri,65584
22,Wal-Mart Supercenter,1,44,347,OKR000019661,4901 S. MILL ROAD  ,Pryor,Oklahoma,74361
