Location Number,ORG_NAME,MEMBER PHONE
1,Northwest Arkansas Food Bank,479-872-8774
2,Food Bank of Northeast Arkansas,870-932-3663
3,Food Bank of Northeast Georgia,706-354-8191
4,Northwest Arkansas Food Bank,479-872-8774
5,Arkansas Foodbank,501-569-4301
7,Arkansas Foodbank,501-569-4301
8,Arkansas Foodbank,501-569-4301
9,Southeast Missouri Food Bank,885-703-3663
10,Community Food Bank of Eastern Oklahoma,918-585-2800
11,Food Bank of Northeast Arkansas,870-932-3663
12,Community Food Bank of Eastern Oklahoma,918-585-2800
13,Ozarks Food Harvest,417-865-3411
14,Ozarks Food Harvest,417-865-3411
15,Ozarks Food Harvest,417-865-3411
16,River Valley Regional Food Bank,479-785-0582
17,Ozarks Food Harvest,417-865-3411
18,Food Bank of Northeast Arkansas,870-932-3663
19,Southeast Missouri Food Bank,885-703-3663
20,Harvesters - The Community Food Network,816-929-3000
21,Ozarks Food Harvest,417-865-3411
22,Community Food Bank of Eastern Oklahoma,918-585-2800
23,Food Bank of Northeast Louisiana,318-322-3567
24,Arkansas Foodbank,501-569-4301
25,The Food Bank for Central & Northeast Missouri,573-474-1020
26,Second Harvest Community Food Bank,816-364-3663
27,Ozarks Food Harvest,417-865-3411
28,Community Food Bank of Eastern Oklahoma,918-585-2800
29,The Food Bank for Central & Northeast Missouri,573-474-1020
30,Southeast Missouri Food Bank,885-703-3663
31,Community Food Bank of Eastern Oklahoma,918-585-2800
32,Ozarks Food Harvest,417-865-3411
33,"Harvest Regional Food Bank, Inc.",870-774-1398
34,Ozarks Food Harvest,417-865-3411
35,Harvesters - The Community Food Network,816-929-3000
36,Food Bank of Northeast Arkansas,870-932-3663
37,St. Louis Area Foodbank,314-292-6262
38,Community Food Bank of Eastern Oklahoma,918-585-2800
39,Kansas Food Bank,316-265-3663
40,The Food Bank for Central & Northeast Missouri,573-474-1020
41,Community Food Bank of Eastern Oklahoma,918-585-2800
42,Kansas Food Bank,316-265-3663
43,Kansas Food Bank,316-265-3663
44,The Food Bank for Central & Northeast Missouri,573-474-1020
45,Food Bank of Northeast Arkansas,870-932-3663
46,Ozarks Food Harvest,417-865-3411
47,Community Food Bank of Eastern Oklahoma,918-585-2800
48,Ozarks Food Harvest,417-865-3411
49,Community Food Bank of Eastern Oklahoma,918-585-2800
50,Community Food Bank of Eastern Oklahoma,918-585-2800
51,The Food Bank for Central & Northeast Missouri,573-474-1020
52,Arkansas Foodbank,501-569-4301
54,Northwest Arkansas Food Bank,479-872-8774
55,River Valley Regional Food Bank,479-785-0582
56,Ozarks Food Harvest,417-865-3411
57,Food Bank of Northeast Arkansas,870-932-3663
58,Arkansas Foodbank,501-569-4301
59,Ozarks Food Harvest,417-865-3411
60,St. Louis Area Foodbank,314-292-6262
61,Harvesters - The Community Food Network,816-929-3000
62,Food Bank of Northeast Arkansas,870-932-3663
63,Community Food Bank of Eastern Oklahoma,918-585-2800
64,Mid-South Food Bank,901-527-0841
65,St. Louis Area Foodbank,314-292-6262
66,River Valley Regional Food Bank,479-785-0582
67,River Valley Regional Food Bank,479-785-0582
68,Food Bank of Northeast Arkansas,870-932-3663
69,St. Louis Area Foodbank,314-292-6262
70,Mid-South Food Bank,901-527-0841
71,Food Bank of Northeast Arkansas,870-932-3663
72,Kansas Food Bank,316-265-3663
73,Community Food Bank of Eastern Oklahoma,918-585-2800
74,Food Bank of Northeast Arkansas,870-932-3663
75,Food Bank of Central Louisiana,318-445-2773
76,Northwest Arkansas Food Bank,479-872-8774
77,Central Texas Food Bank,512-282-2111
78,Ozarks Food Harvest,417-865-3411
79,Ozarks Food Harvest,417-865-3411
80,The Food Bank for Central & Northeast Missouri,573-474-1020
81,Community Food Bank of Eastern Oklahoma,918-585-2800
82,Southeast Missouri Food Bank,885-703-3663
83,"Harvest Regional Food Bank, Inc.",870-774-1398
85,Arkansas Foodbank,501-569-4301
86,Ozarks Food Harvest,417-865-3411
87,Food Bank of Northwest Louisiana,318-675-2400
88,Ozarks Food Harvest,417-865-3411
89,The Food Bank for Central & Northeast Missouri,573-474-1020
90,Community Food Bank of Eastern Oklahoma,918-585-2800
91,Food Bank of Northeast Arkansas,870-932-3663
92,Ozarks Food Harvest,417-865-3411
93,Mid-South Food Bank,901-527-0841
