Dept Nbr,Mod Cat,Display Desc,Long Description,UPC,Item Nbr,How to Order,GNFR Nbr,ETA
14,20,LARGE GADGET BIN,VS D14 DISPLAY TT GADGETBIN LARGE BUCKET,NA,NA,Week 14 2025 Delete,Week 14 2025 Delete,
14,20,SMALL GADGET BIN,VS D14 DISPLAY TT GADGETBIN SMALL BUCKET,NA,NA,Week 14 2025 Delete,Week 14 2025 Delete,
14,20,CARD SLEEVE,VS D14 DISPLAY TT CARD SLEEVE GADGET BIN,NA,NA,Week 14 2025 Delete,Week 14 2025 Delete,
14,20,WIRE BIN FRAME,VS D14 DISPLAY TT GADGET BIN WIRE FRAME,NA,NA,Week 14 2025 Delete,Week 14 2025 Delete,
14,30,CUTLERY FIXTURE,VS D14 CUTLERY BIN 2FT MAINSTAYS,NA,NA,Week 14 2025 Delete,Week 14 2025 Delete,
14,30,CUTLERY BIN MAGNETIC STRIP,VS D14 MAG STRIP 2FT MAINSTAYS CUTLERY,NA,NA,Week 14 2025 Delete,Week 14 2025 Delete,
14,80,LODGE CAST IRON FIXTRE,LODGE CAST IRON FIXTRE,NA,NA,1-700-WALMART,NA,
14,141,CORELLE PM FIXTURE,VS D14 DIS 8POCKET VERTICAL PLACEMAT SDK,7314349085,1474757,GNFR,100502327,
14,142,ZAK DESIGNS PLACEMAT SIDEKICK,VS D14 SIDEKICK CHARACTER PLACEMAT,NA,NA,GNFR,100642980,
14,210,CIRKUL INLINE TRAY,CIRKUL INLINE TRAY,NA,NA,1-700-WALMART,NA,
14,240,CAMBRIDGE FLATWARE OPENSTOCK DIS,VS D14 CAMBRIDGE FLATWARE BIN FIXTURE,NA,NA,GNFR,100651114,
14,240,CAMBRIDGE MAGNETIC STRIPS,VS D14 CSL MAGNET STRIP BYRAM RBW/HARMNZ,NA,NA,GNFR,100660048,
14,240,CAMBRIDGE MAGNETIC STRIPS,VS D14 CSL MAGNET STRIP BYRAM BLK/PEPINO,NA,NA,GNFR,100660049,
14,240,ONEIDA FLATWARE OPENSTOCK DIS,VS D14 ONEIDA FLATWARE BIN FIXTURE,NA,NA,GNFR,100652136,
14,240,ONEIDA MAGNETIC STRIPS,VS D14 FLATWARE ONEIDA MAGNET STRIP 2PK,NA,NA,GNFR,100673431,
14,240,BHG MAGNETIC STRIP,VS D14 FLATWARE BHG MAG STRIP RIVER GOLD,NA,NA,GNFR,100707396,
14,240,TT FLATWARE MAGNETIC STRIP,VS D14 TT FLATWARE MAGNETIC STRIPS,NA,NA,GNFR,100705743,
14,240,MAINSTAYS FLATWARE OPENSTOCK DIS,VS D14 FLATWARE BIN 2FT MAINSTAYS,NA,NA,GNFR,100655304,
14,240,4PC MAGNETIC STRIPS,VS D14 4PC MAGNETSTRIPS FOR 8FT MOD C240,489517612335,599886166,GNFR,100683470,
14,240,2PC MAGNETIC STRIPS,VS D14 2PC MAGNETSTRIPS FOR 4FT MOD C240,489517612336,599886165,GNFR,100683471,
14,240,4FT COMBO MOD MAINSTAYS MAG STRIP,VS D14 2020 D14 MAGNET 4FT COMBO SET,NA,NA,GNFR,100661763,
14,240,WINDERMERE 4FT FLATWARE FIXTURE,VS D14 WINDERMERE FLATWARE 4FT BIN FIXT,NA,NA,GNFR,100700536,
14,320,BD 4SL TOAST OV NWD,VS D14 DISPLAY BD 4SL TOAST OV NWD,5087582829,581880406,GNFR,100665055,
14,320,BD 6SL TOAST OV NWD,VS D14 DISPLAY BD 6SL TOAST OV NWD,5087582830,581659260,GNFR,100665056,
14,320,BD 2 SS TOASTER NWD,VS D14 DISPLAY BD 2 SS TOASTER NWD,5087500175,595823399,GNFR,100673253,
14,320,BD 2 RAPID TOAST NWD,VS D14 DISPLAY BD 2 RAPID TOAST NWD,5087500366,666906383,GNFR,100704414,
14,320,BD 2 WIDE TOAST NWD,VS D14 DISPLAY BD 2 WIDE TOASTER BLACK,5087500364,666888044,GNFR,100704415,
14,320,BD 4SLICE TOASTR NWD,VS D14 DISPLAY BD 4SLICE TOASTR BLACK,5087500365,666888043,GNFR,100704416,
14,320,CUISIN 2STOST SS NWD,VS D14 DISPLAY CUISIN 2STOST SS NWD,8627923608,668151149,GNFR,100704405,
14,320,CUISIN 4STOST SS NWD,VS D14 DISPLAY CUISIN 4STOST SS NWD,8627923610,668151148,GNFR,100704406,
