Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
1,2/10/2023,394322523135,2110 W Walnut St,Rogers,AR,72756,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322523135,
2,2/10/2023,394322527303,161 N Walmart Dr,Harrison,AR,72601,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322527303,
3,2/10/2023,394322528652,30983 Highway 441 S,Commerce,GA,30529,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322528652,
4,2/10/2023,394322530814,2901 Highway 412 E,Siloam Springs,AR,72761,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322530814,
5,2/10/2023,394322532107,1155 Hwy 65 North,Conway,AR,72032,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322532107,
7,2/10/2023,394322533456,9053 Highway 107,Sherwood,AR,72120,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322533456,
8,2/10/2023,394322534165,1621 North Business 9,Morrilton,AR,72110,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322534165,
9,2/10/2023,394322535838,1303 S Main St,Sikeston,MO,63801,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322535838,
10,2/10/2023,394322537532,2020 S Muskogee Ave,Tahlequah,OK,74464,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322537532,
11,2/10/2023,394322538296,65 Wal Mart Dr,Mountain Home,AR,72653,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322538296,
12,2/10/2023,394322540024,1500 S Lynn Riggs Blvd,Claremore,OK,74017,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322540024,
13,2/10/2023,394322542093,2705 Grand Ave,Carthage,MO,64836,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322542093,
14,2/10/2023,394322542130,1800 S Jefferson Ave,Lebanon,MO,65536,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322542130,
15,2/10/2023,394322543722,1310 Preacher Roe Blvd,West Plains,MO,65775,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322543722,
16,2/10/2023,394322543354,2214 Fayetteville Rd,Van Buren,AR,72956,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322543354,
17,2/10/2023,394322545997,3200 Lusk Dr,Neosho,MO,64850,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322545997,
18,2/10/2023,394322547095,1211 Highway 367 N,Newport,AR,72112,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322547095,
19,2/10/2023,394322549190,333 S Westwood Blvd,Poplar Bluff,MO,63901,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322549190,
20,2/10/2023,394322550172,1712 E Ohio St,Clinton,MO,64735,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322550172,
21,2/10/2023,394322551558,185 Saint Robert Blvd,Saint Robert,MO,65584,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322551558,
22,2/10/2023,394322550481,4901 S Mill St,Pryor,OK,74361,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322550481,
23,2/10/2023,394322553470,1201 N Service Rd E,Ruston,LA,71270,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322553470,
24,2/10/2023,394322554682,2000 John Harden Dr,Jacksonville,AR,72076,https://www.fedex.com/apps/fedextrack/?tracknumbers=394322554682,
