Store,Digital Shelf Labels,Automated Pallet Delivery,Digital Locks,Consistent Freight Delivery,CoSTL
1,TBD,TBD,TBD,YES,TBD
2,TBD,TBD,TBD,YES,TBD
3,TBD,TBD,TBD,YES,TBD
4,TBD,TBD,TBD,YES,TBD
5,TBD,YES,TBD,YES,TBD
7,TBD,YES,TBD,YES,TBD
8,TBD,YES,TBD,YES,TBD
9,TBD,TBD,TBD,YES,TBD
10,TBD,TBD,YES,YES,TBD
11,TBD,YES,TBD,YES,TBD
12,TBD,TBD,TBD,YES,TBD
13,TBD,TBD,TBD,YES,TBD
14,TBD,TBD,YES,YES,TBD
15,TBD,TBD,TBD,YES,TBD
16,TBD,TBD,TBD,YES,TBD
17,TBD,TBD,TBD,YES,TBD
18,TBD,YES,TBD,YES,TBD
19,TBD,YES,YES,YES,TBD
20,TBD,YES,TBD,YES,TBD
21,TBD,TBD,TBD,YES,TBD
22,TBD,TBD,TBD,YES,TBD
23,TBD,TBD,TBD,YES,TBD
24,TBD,YES,TBD,YES,TBD
25,TBD,TBD,TBD,YES,TBD
26,TBD,YES,YES,YES,TBD
27,TBD,TBD,TBD,YES,TBD
28,TBD,TBD,TBD,YES,TBD
29,TBD,TBD,YES,YES,TBD
30,TBD,YES,TBD,YES,TBD
31,TBD,TBD,TBD,YES,TBD
32,TBD,TBD,TBD,YES,TBD
33,TBD,YES,TBD,YES,TBD
34,TBD,TBD,TBD,YES,TBD
35,TBD,YES,YES,YES,TBD
36,TBD,YES,TBD,YES,TBD
37,TBD,TBD,TBD,YES,TBD
38,TBD,YES,TBD,YES,TBD
39,TBD,YES,TBD,YES,TBD
40,TBD,TBD,TBD,YES,TBD
41,TBD,TBD,YES,YES,TBD
42,TBD,TBD,TBD,YES,TBD
43,TBD,YES,TBD,YES,TBD
44,TBD,TBD,TBD,YES,TBD
45,TBD,YES,TBD,YES,TBD
46,TBD,TBD,TBD,YES,TBD
47,TBD,TBD,TBD,YES,TBD
48,TBD,TBD,TBD,YES,TBD
49,TBD,YES,TBD,YES,TBD
50,TBD,TBD,TBD,YES,TBD
51,TBD,TBD,TBD,YES,TBD
52,TBD,YES,TBD,YES,TBD
54,TBD,TBD,TBD,YES,TBD
55,TBD,TBD,TBD,YES,TBD
56,TBD,TBD,TBD,YES,TBD
57,TBD,YES,TBD,YES,TBD
58,TBD,YES,TBD,YES,TBD
59,TBD,TBD,YES,YES,TBD
60,TBD,TBD,TBD,YES,TBD
61,TBD,YES,TBD,YES,TBD
62,TBD,YES,TBD,YES,TBD
63,TBD,TBD,TBD,YES,TBD
64,TBD,YES,TBD,YES,TBD
65,TBD,TBD,TBD,YES,TBD
66,TBD,TBD,TBD,YES,TBD
67,TBD,TBD,TBD,YES,TBD
68,TBD,YES,TBD,YES,TBD
69,TBD,TBD,TBD,YES,TBD
70,TBD,YES,TBD,YES,TBD
71,TBD,YES,TBD,YES,TBD
72,TBD,TBD,TBD,YES,TBD
73,TBD,TBD,TBD,YES,TBD
74,TBD,YES,TBD,YES,TBD
75,TBD,TBD,TBD,YES,TBD
76,TBD,TBD,TBD,YES,TBD
77,TBD,YES,TBD,YES,TBD
78,TBD,TBD,TBD,YES,TBD
79,TBD,TBD,TBD,YES,TBD
80,TBD,TBD,YES,YES,TBD
81,TBD,TBD,TBD,YES,TBD
82,TBD,TBD,TBD,YES,TBD
83,TBD,YES,TBD,YES,TBD
85,TBD,YES,TBD,YES,TBD
86,TBD,TBD,TBD,YES,TBD
87,TBD,YES,TBD,YES,TBD
88,TBD,TBD,TBD,YES,TBD
89,TBD,TBD,TBD,YES,TBD
90,TBD,TBD,TBD,YES,TBD
91,TBD,YES,TBD,YES,TBD
92,TBD,TBD,TBD,YES,TBD
93,TBD,YES,TBD,YES,TBD
94,TBD,YES,YES,YES,TBD
95,TBD,TBD,TBD,YES,TBD
96,TBD,YES,TBD,YES,TBD
97,TBD,YES,TBD,YES,TBD
98,TBD,YES,TBD,YES,TBD
99,TBD,TBD,YES,YES,TBD
100,TBD,TBD,TBD,YES,TBD
101,TBD,TBD,TBD,YES,TBD
102,TBD,YES,TBD,YES,TBD
103,TBD,TBD,TBD,YES,TBD
104,TBD,TBD,TBD,YES,TBD
105,TBD,YES,TBD,YES,TBD
106,TBD,TBD,TBD,YES,TBD
107,TBD,TBD,TBD,YES,TBD
108,TBD,TBD,TBD,YES,TBD
109,TBD,YES,TBD,YES,TBD
110,TBD,YES,TBD,YES,TBD
111,TBD,YES,TBD,YES,TBD
112,TBD,YES,TBD,YES,TBD
113,TBD,TBD,TBD,YES,TBD
114,TBD,YES,TBD,YES,TBD
115,TBD,YES,TBD,YES,TBD
116,TBD,YES,TBD,YES,TBD
117,TBD,YES,TBD,YES,TBD
118,TBD,YES,TBD,YES,TBD
119,TBD,YES,TBD,YES,TBD
120,TBD,TBD,TBD,YES,TBD
121,TBD,TBD,TBD,YES,TBD
122,TBD,TBD,TBD,YES,TBD
123,TBD,TBD,TBD,YES,TBD
124,TBD,YES,YES,YES,TBD
125,TBD,TBD,TBD,YES,TBD
126,TBD,YES,YES,YES,TBD
127,TBD,YES,TBD,YES,TBD
128,TBD,YES,TBD,YES,TBD
129,TBD,TBD,TBD,YES,TBD
130,TBD,TBD,TBD,YES,TBD
131,TBD,YES,TBD,YES,TBD
132,TBD,TBD,TBD,YES,TBD
133,TBD,YES,TBD,YES,TBD
134,TBD,YES,TBD,YES,TBD
135,TBD,TBD,TBD,YES,TBD
136,TBD,TBD,TBD,YES,TBD
137,TBD,TBD,TBD,YES,TBD
138,TBD,TBD,TBD,YES,TBD
139,TBD,TBD,TBD,YES,TBD
140,TBD,YES,YES,YES,TBD
141,TBD,TBD,YES,YES,TBD
143,TBD,TBD,TBD,YES,TBD
144,TBD,TBD,TBD,YES,TBD
145,TBD,TBD,TBD,YES,TBD
146,TBD,YES,TBD,YES,TBD
147,TBD,TBD,TBD,YES,TBD
148,TBD,YES,TBD,YES,TBD
149,TBD,TBD,TBD,YES,TBD
150,TBD,YES,TBD,YES,TBD
151,TBD,TBD,TBD,YES,TBD
152,TBD,TBD,TBD,YES,TBD
153,TBD,YES,TBD,YES,TBD
154,TBD,YES,YES,YES,TBD
155,TBD,YES,TBD,YES,TBD
157,TBD,YES,TBD,YES,TBD
158,TBD,YES,TBD,YES,TBD
