Location,Item #,Item Description,Bilingual,Created or Most Recently Updated,Where should this sign be posted?,Additional Information,
Drive Thru,574018357,D88 DRIVE THRU PHARMACY HOURS ,,2019,This cling is only for the  Pharmacy Drive Thru windows.,This item is Dept 88. It should only be used for the Pharmacy Drive Thru Window.,
Drive Thru,673097625,D38 Controlled Substance ID Drive Thru BIL Compliance,Y,10.2024,Place one cling on the drive thru window facing the driver. This sign will be placed on the outside facing surface of the window. • Place the other cling on the drive-thru dispenser fixture, ,
Drive Thru,673097853,D38 Controlled Substance ID Drive Thru ENG Compliance, ,10.2024,Place one cling on the drive thru window facing the driver. This sign will be placed on the outside facing surface of the window. • Place the other cling on the drive-thru dispenser fixture, ,
Drive Thru,662074339,D38 FY24 MEDICATION DISPOSAL COMPLIANCE BIL,Y,2023,Post sign conspicuously in each inlane so that it it is visible to and readable by person picking up the prescription.,Drive Thru Clings are packaged in a kit with corresponding wall signs. , 
Drive Thru,662074340,D38 FY24 MEDICATION DISPOSAL COMPLIANCE ENG, ,2023,Post sign conspicuously in each inlane so that it it is visible to and readable by person picking up the prescription,Drive Thru Clings are packaged in a kit with corresponding wall signs. , 
Drive Thru,664185264,D38 Controlled Substance Reporting Hotline Signs BIL,Y,2023,Post sign conspicuously in each inlane so that it it is visible to and readable by person picking up the prescription,Drive Thru Clings are packaged in a kit with corresponding wall signs. , 
Drive Thru,662074337,D38 Controlled Substance Reporting Hotline Signs ENG, ,2023,Post sign conspicuously in each inlane so that it it is visible to and readable by person picking up the prescription,Drive Thru Clings are packaged in a kit with corresponding wall signs. , 
Drive Thru,575849895,D38 Wk39 High Security Pharmacy Safe w/ Time Delay,,2021,Decal with adhesive on back of signs are for : Pharmacy Door & Entrance Store Doors; Decal with adhesive on front of signs are for : Pharmacy Drive Thru; remaining decal is applied to safe,"This item is Dept 88. Kit includes clings for front door, pharmacy and drive thru.", 
Drive Thru,574018027,D38 PHARMACY WILL CLOSE LUNCH HOURS 130-2PM COMPLIANCE, ,2019,Sign should be prominently posted so that they are easily visible to and readable to the customer.,This sign is not for CA or Puerto Rico.,
Instore ,565421415,D38 RX PHARMACIST NAME + HOURS BOARD GRAY WALL COMP,,2016,Install these signs at eye level in a highly visible area such as the wall near the cash wrap or other similar high traffic area.,This is only required if you do not have a Digital Menu Board. ,
