Dept / Cat #,Business Unit,date,Supplier Name,Brand/Product Name,UPC #,Description,Stock #,Retail Price,Customer_Remedy,,,
7,Walmart/walmart.com,3/21/2024,IMPORT-FISHER-PRICE BRANDS A D,Little People,19473519894,MICKEY & FRIENDS 6PK,HTW75,$19.97 ,"CPSC 24-167; Consumers should immediately stop using the Donald Duck and Daisy Duck figures, take them away from children, and contact Fisher-Price to receive a pre-paid return label to return the two figures and receive a $10 refund. This recall only involves the Donald Duck and Daisy Duck figures that are part of the figure pack.",,,
79,Walmart/walmart.com,3/7/2024,JOOL PRODUCTS LLC,Jool Baby,0085000911931,NOVA BABY SWING FOR,JBP-NOVA-GRY,$149.97 ,"CPSC 24-145; Consumers should immediately stop using the recalled swings for sleep, and contact Jool Baby to receive a free repair kit, including shipping. Consumers should upload a photo of the warning label to the firm’s online registration page at www.JoolBaby.com/recall. Once registered, Jool Baby will send consumers a repair kit consisting of a new seat with updated on-product warnings, updated plush toys and an updated remote control.",,,
79,Walmart/walmart.com,3/7/2024,JOOL PRODUCTS LLC,Jool Baby,0085000911931,NOVA BABY SWING,JBP-NOVA-GRY,$149.97 ,"CPSC 24-145; Consumers should immediately stop using the recalled swings for sleep, and contact Jool Baby to receive a free repair kit, including shipping. Consumers should upload a photo of the warning label to the firm’s online registration page at www.JoolBaby.com/recall. Once registered, Jool Baby will send consumers a repair kit consisting of a new seat with updated on-product warnings, updated plush toys and an updated remote control.",,,
79,Walmart/walmart.com,3/7/2024,JOOL PRODUCTS LLC,Jool Baby,0081012671021,NOVA DISPLAY,NOVA-DISPLAY,$0.01 ,"CPSC 24-145; Consumers should immediately stop using the recalled swings for sleep, and contact Jool Baby to receive a free repair kit, including shipping. Consumers should upload a photo of the warning label to the firm’s online registration page at www.JoolBaby.com/recall. Once registered, Jool Baby will send consumers a repair kit consisting of a new seat with updated on-product warnings, updated plush toys and an updated remote control.",,,
7,Walmart/walmart.com,2/16/2024,VISTA OUTDOOR SALES LLC,BELL,0003501197711,SOQUEL ADULT HLMT,7094738,$21.97 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,WINTEC INDUSTRIES INC,BELL,0003501197711,BELL SPORTS SOQUEL L,4BEL97711,$21.97 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,VISTA OUTDOOR SALES LLC,BELL,0003501197712,SOQUEL MIPS ADLT HMT,7094739,$34.96 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,VISTA OUTDOOR SALES LLC,BELL,0003501197712,BELL SOQUEL MIPS EQU,7107152,$49.97 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,VISTA OUTDOOR SALES LLC,BELL,0003501197712,BELL SOQUEL MIPS ADU,7107152,$49.97 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,WINTEC INDUSTRIES INC,BELL,0003501197712,BELL SPORTS SOQUEL M,7107152,$34.96 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
