Club,Item #,Vendor,Geography,Late PO Contact,Maintenance Request Contact,On copy
4768,990011604,Arctic Glacier,"4768 - RENO, NV",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
6383,980195479,Arctic Glacier,"6383 - SALISBURY, MD",easton.iceman@gmail.com,easton.iceman@gmail.com,N/A
4704,990293892,Arctic Glacier,"4704 - FRESNO, CA",Kim.Bunker@arcticglacier.com,Kim.Bunker@arcticglacier.com,N/A
4709,990293892,Arctic Glacier,"4709 - CORONA, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
4735,990293892,Arctic Glacier,"4735 - LA HABRA, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
4767,990293892,Arctic Glacier,"4767 - PALMDALE, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
4799,990293892,Arctic Glacier,"4799 - CITRUS HEIGHTS, CA",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
4819,990293892,Arctic Glacier,"4819 - BAKERSFIELD (SW), CA",Andres.Cordova@arcticglacier.com,Andres.Cordova@arcticglacier.com,N/A
4822,990293892,Arctic Glacier,"4822 - MURRIETA, CA",Carlos.Morales@arcticglacier.com,Carlos.Morales@arcticglacier.com,N/A
4824,990293892,Arctic Glacier,"4824 - SANTA CLARITA, CA",Michael.Munn@arcticglacier.com,Michael.Munn@arcticglacier.com,N/A
6235,990293892,Arctic Glacier,"6235 - SAN DIEGO(E),CA",Carlos.Morales@arcticglacier.com,Carlos.Morales@arcticglacier.com,N/A
6240,990293892,Arctic Glacier,"6240 - GLENDORA, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6378,990293892,Arctic Glacier,"6378 - RIVERSIDE, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6405,990293892,Arctic Glacier,"6405 - YUBA CITY, CA",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
6433,990293892,Arctic Glacier,"6433 - VACAVILLE, CA",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
6455,990293892,Arctic Glacier,"6455 - OXNARD, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6609,990293892,Arctic Glacier,"6609 - PALM DESERT, CA",Raquel.Mendez@arcticglacier.com,Raquel.Mendez@arcticglacier.com,N/A
6613,990293892,Arctic Glacier,"6613 - LONG BEACH, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6614,990293892,Arctic Glacier,"6614 - EL MONTE, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6615,990293892,Arctic Glacier,"6615 - FOUNTAIN VALLEY, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6616,990293892,Arctic Glacier,"6616 - FULLERTON, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6617,990293892,Arctic Glacier,"6617 - GARDENA, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6619,990293892,Arctic Glacier,"6619 - ONTARIO, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6620,990293892,Arctic Glacier,"6620 - FOLSOM, CA",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
6621,990293892,Arctic Glacier,"6621 - ROSEVILLE, CA",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
6622,990293892,Arctic Glacier,"6622 - SACRAMENTO, CA",Marcos.Rubio@arcticglacier.com,Marcos.Rubio@arcticglacier.com,N/A
6624,990293892,Arctic Glacier,"6624 - SAN BERNARDINO, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6626,990293892,Arctic Glacier,"6626 - SOUTHGATE, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
6628,990293892,Arctic Glacier,"6628 - TORRANCE, CA",Ricardo.Moreno@arcticglacier.com,Ricardo.Moreno@arcticglacier.com,N/A
4859,693656,Arctic Glacier,"4859 - BUTLER, PA",mastroice@aol.com,mastroice@aol.com,N/A
4952,693656,Arctic Glacier,"4952 - TARENTUM, PA",mastroice@aol.com,mastroice@aol.com,N/A
6460,693656,Arctic Glacier,"6460 - ALTOONA, PA",Ice@gennaice.com,Ice@gennaice.com,N/A
6636,990022436,Arctic Glacier,"6636 - NEWINGTON, CT",kevinscio@yahoo.com,kevinscio@yahoo.com,N/A
6533,693656,Arctic Glacier,"6533 - STATE COLLEGE, PA",Ice@gennaice.com,Ice@gennaice.com,N/A
6430,693656,Arctic Glacier,"6430 - CHEYENNE, WY",candymountain1@outlook.com,candymountain1@outlook.com,N/A
4855,205842,Home City Ice,"4855 - HANOVER, PA",Samsclubsupport@homecityice.com,Samsclubsupport@homecityice.com,ggeiser@homecityice.com
8161,205842,Home City Ice,"8161 - YORK, PA",Samsclubsupport@homecityice.com,Samsclubsupport@homecityice.com,ggeiser@homecityice.com
6205,990293892,Arctic Glacier,"6205 - YUMA, AZ",Raquel.Mendez@arcticglacier.com,Raquel.Mendez@arcticglacier.com,N/A
6345,383185,Arctic Glacier,"6345 - IDAHO FALLS, ID",ice@naturalspringice.com,ice@naturalspringice.com,N/A
6357,693656,Arctic Glacier,"6357 - ANNAPOLIS, MD",elbertsenterprises@comcast.net,elbertsenterprises@comcast.net,N/A
6434,693656,Arctic Glacier,"6434 - LAUREL, MD",elbertsenterprises@comcast.net,elbertsenterprises@comcast.net,N/A
6655,693656,Arctic Glacier,"6655 - WALDORF, MD",elbertsenterprises@comcast.net,elbertsenterprises@comcast.net,N/A
4771,693656,Arctic Glacier,4771 - SEVERN MD,elbertsenterprises@comcast.net,elbertsenterprises@comcast.net,N/A
6472,990293892,Arctic Glacier,"6472 - COUNCIL BLUFFS, IA",David.Kliegl@arcticglacier.com,David.Kliegl@arcticglacier.com,N/A
6344,205842,Home City Ice,"6344 - WINDSOR HEIGHTS, IA",Samsclubsupport@homecityice.com,Samsclubsupport@homecityice.com,ggeiser@homecityice.com
6979,205842,Home City Ice,6979 - DES MOINES ANKENY IA,Samsclubsupport@homecityice.com,Samsclubsupport@homecityice.com,ggeiser@homecityice.com
6239,693656,Arctic Glacier,"6239 - TIMONIOUM, MD",jarrod@goodtimeice.com,jarrod@goodtimeice.com,N/A
6650,693656,Arctic Glacier,"6650 - BALTIMORE, MD",jarrod@goodtimeice.com,jarrod@goodtimeice.com,N/A
6651,693656,Arctic Glacier,"6651 - CATONSVILLE, MD",jarrod@goodtimeice.com,jarrod@goodtimeice.com,N/A
6371,693656,Arctic Glacier,"6371 - WOODBRIDGE, VA",elbertsenterprises@comcast.net,elbertsenterprises@comcast.net,N/A
6652,205842,Home City Ice,"6652 - FREDERICK, MD",Samsclubsupport@homecityice.com,Samsclubsupport@homecityice.com,ggeiser@homecityice.com
6653,693656,Arctic Glacier,"6653 - GAITHERSBURG, MD",elbertsenterprises@comcast.net,elbertsenterprises@comcast.net,N/A
