Term,Definition
3 Lines of Defense,The three lines of defense model provides guidance for effective risk management and governance (Based on the IIA’s three Lines of Defense Model).
Access Account,A unique identified vehicle for access‚ assigned to either a user or a system.
Aggregation Threshold,"See ""Disclosure Threshold"""
Application,Any deployed program‚ module‚ or group of programs that is designed to provide specific functionality on a computer infrastructure. 
Application DR Tier,DR Tier assigned to the application rather than the critical business service by Disaster Recovery Governance.
Application Gate,Predefined checkpoint or process for evaluating software.
Application Portfolio Management (APM),Walmart enterprise tool for tracking and managing applications.
Application Portfolio Management (APM) Assessment/Review,An APM process such as Data Classification‚ PCI‚ SOX‚ Contract Review‚ HIPAA‚ Data Governance‚ Vendor‚ AI/ML‚ Privacy to ensure compliance with established standards.
Application Programming Interface (API),A software interface offering services to other pieces of software. 
Application Service - Domain,A service type that is a logical representation of a deployed application stack. A Domain application service is a logical grouping of applications/workloads that together provide related functionality. This sits below the Environment application service and is not required but may be used to break large Business Applications down into logical functional domains.
Application Service - Environment,A service type that is a logical representation of a deployed application stack. The Environment application service is the first layer beneath Business Application and represents all deployed applications/workloads for a particular environment (dev‚ test‚ prod).
Approved Customer Data Repository,A data store that is approved by Customer Data Stewards and Technology and Data Compliance. It is to be an authoritative source for Customer data‚ supporting defined business functions.
Architecture Diagram,Design of a solution or application establishing technical requirements such as web server‚ database usage‚ protocols‚ internal or external components‚ and environments implicated. Design details varies by environment.
Artificial Intelligence (AI),The use of algorithms‚ machine learning‚ and data-driven models to automate decision-making processes or perform tasks typically requiring human intelligence‚ such as recognition‚ analysis‚ decision-making‚ and prediction which may translate into the real world as tools that assist us with tasks such as document drafting and/or summarization‚ automating manual tasks‚ or helping identify patterns and trends from large amounts of data.
Asset,Something of either tangible or intangible value that should be protected
Authenticator,Something the claimant possesses and controls that is used to authenticate the claimant’s identity
Baseline Control,The minimum set of controls to be specified for your area to meet legal‚ regulatory‚ or policy requirements‚ as well as address protection needs for the purpose of managing risk‚ when viewed through the TDC lens of ethical use of data & responsible use of technology.
Biometric Information,Physical characteristics‚ such as fingerprints‚ that can be used for automated recognition.
Bring Your Own Device,Walmart program enabling associates to provide a device to which a Walmart user profile and corporate sandbox is added.
Business Application,Represents all software and infrastructure environments (dev‚ test‚ prod) that are configured to provide functionality.
Business Capability,High-level capability that an organization requires to execute its business model or fulfill its mission. Typically described in the context of performing one or more specific tasks to achieve business outcomes. For example‚ demand management or financial planning.
Business Data Owner,Accountable for the business vision and strategy for data use within its Business Unit‚ as well as for ensuring compliance with data governance policies within its Business Unit‚ in coordination with Business Data Stewards and Technical Data Stewards. The Business Data Owner function is typically fulfilled by an officer within a Business Unit.
Business Data Steward,Responsible for executing the business vision and strategy for data use within its Business Unit‚ as well as accountable‚ within its Business Unit‚ for the implementation‚ maintenance‚ and monitoring of Structured Walmart Data in accordance with Walmart data governance policies and standards and market-level laws and regulations. The Business Data Steward function is typically fulfilled by Product Owners‚ Data Analysts‚ or associates designated as Data Stewards.
