Primary Key,BU2,Region,Market,Store,Monthly Procedure Review,Monthly Equipment  Completion,Weekly Compliance  Usage,Weekly Operational  Usage
4,EAST,4,29,605,100%,0%,100%,100%
4,EAST,4,29,635,0%,0%,0%,0%
4,EAST,4,29,728,100%,100%,75%,75%
4,EAST,4,29,1011,100%,100%,100%,100%
4,EAST,4,29,1383,0%,100%,100%,100%
4,EAST,4,29,2832,0%,0%,0%,0%
4,EAST,4,29,2860,100%,100%,100%,100%
,,,29 Total,,57%,57%,68%,68%
4,EAST,4,36,628,100%,100%,100%,100%
4,EAST,4,36,1037,0%,0%,25%,25%
4,EAST,4,36,1146,100%,100%,75%,50%
4,EAST,4,36,1358,100%,100%,100%,100%
4,EAST,4,36,1748,0%,0%,0%,0%
4,EAST,4,36,2928,0%,100%,75%,75%
4,EAST,4,36,3367,0%,100%,50%,50%
4,EAST,4,36,4384,100%,100%,25%,25%
,,,36 Total,,50%,75%,56%,53%
4,EAST,4,37,586,100%,0%,100%,100%
4,EAST,4,37,643,100%,100%,100%,100%
4,EAST,4,37,1829,100%,100%,100%,100%
4,EAST,4,37,2712,100%,100%,100%,100%
4,EAST,4,37,5087,100%,100%,100%,100%
,,,37 Total,,100%,80%,100%,100%
4,EAST,4,38,511,100%,100%,50%,50%
4,EAST,4,38,616,100%,100%,75%,50%
4,EAST,4,38,627,100%,100%,75%,75%
4,EAST,4,38,630,100%,100%,100%,100%
4,EAST,4,38,634,100%,100%,100%,100%
4,EAST,4,38,642,100%,100%,100%,100%
4,EAST,4,38,1017,100%,100%,100%,75%
4,EAST,4,38,1030,100%,100%,75%,75%
4,EAST,4,38,1135,100%,100%,100%,100%
4,EAST,4,38,2703,100%,100%,100%,100%
,,,38 Total,,100%,100%,88%,83%
4,EAST,4,41,881,100%,100%,100%,100%
4,EAST,4,41,1164,100%,100%,100%,100%
4,EAST,4,41,1183,100%,0%,75%,75%
4,EAST,4,41,1286,100%,100%,75%,50%
4,EAST,4,41,1339,100%,100%,25%,25%
4,EAST,4,41,2214,100%,100%,100%,100%
4,EAST,4,41,4420,100%,100%,100%,100%
4,EAST,4,41,4506,100%,0%,0%,0%
4,EAST,4,41,4521,100%,100%,50%,50%
,,,41 Total,,100%,78%,69%,67%
4,EAST,4,42,585,100%,100%,50%,50%
4,EAST,4,42,638,100%,100%,100%,100%
4,EAST,4,42,1035,100%,100%,100%,100%
4,EAST,4,42,1144,100%,100%,100%,100%
4,EAST,4,42,1281,100%,100%,100%,100%
4,EAST,4,42,2806,100%,100%,75%,75%
4,EAST,4,42,3733,100%,100%,100%,100%
,,,42 Total,,100%,100%,89%,89%
4,EAST,4,124,599,100%,100%,100%,100%
4,EAST,4,124,620,100%,100%,100%,100%
4,EAST,4,124,690,100%,100%,100%,100%
4,EAST,4,124,742,100%,100%,100%,100%
4,EAST,4,124,1080,100%,100%,75%,75%
4,EAST,4,124,2749,100%,100%,100%,100%
4,EAST,4,124,3289,100%,100%,75%,75%
4,EAST,4,124,3829,100%,100%,100%,100%
,,,124 Total,,100%,100%,94%,94%
4,EAST,4,304,1039,100%,100%,100%,100%
4,EAST,4,304,1064,100%,100%,100%,100%
4,EAST,4,304,1096,100%,100%,100%,100%
4,EAST,4,304,1662,100%,100%,100%,100%
4,EAST,4,304,4224,100%,100%,100%,100%
4,EAST,4,304,4410,100%,100%,75%,75%
,,,304 Total,,100%,100%,96%,96%
4,EAST,4,305,1034,100%,100%,75%,75%
4,EAST,4,305,1209,0%,0%,50%,75%
4,EAST,4,305,1464,0%,100%,50%,50%
4,EAST,4,305,4274,100%,100%,100%,100%
4,EAST,4,305,5085,0%,0%,50%,50%
4,EAST,4,305,5298,0%,0%,0%,0%
4,EAST,4,305,5481,100%,0%,100%,100%
,,,305 Total,,43%,43%,61%,64%
4,EAST,4,306,1027,100%,100%,100%,100%
4,EAST,4,306,1156,100%,100%,100%,100%
4,EAST,4,306,2005,100%,100%,100%,100%
4,EAST,4,306,3371,100%,100%,100%,100%
,,,306 Total,,100%,100%,100%,100%
4 Total,,4 Total,,,85%,83%,80%,79%
16,EAST,16,154,2228,100%,100%,25%,0%
16,EAST,16,154,5278,100%,100%,100%,100%
,,,154 Total,,100%,100%,63%,50%
16,EAST,16,156,2118,0%,100%,50%,50%
16,EAST,16,156,2155,100%,100%,100%,100%
16,EAST,16,156,3409,100%,100%,100%,100%
16,EAST,16,156,4387,100%,100%,75%,75%
,,,156 Total,,75%,100%,81%,81%
16,EAST,16,157,1762,100%,100%,100%,75%
16,EAST,16,157,3535,100%,100%,100%,100%
,,,157 Total,,100%,100%,100%,88%
16,EAST,16,159,2336,0%,100%,50%,0%
,,,159 Total,,0%,100%,50%,0%
16,EAST,16,161,2283,0%,100%,50%,50%
,,,161 Total,,0%,100%,50%,50%
16,EAST,16,179,1924,100%,100%,100%,100%
16,EAST,16,179,1932,100%,100%,100%,75%
16,EAST,16,179,2013,100%,100%,100%,100%
16,EAST,16,179,2143,100%,100%,75%,75%
16,EAST,16,179,2178,100%,100%,100%,100%
16,EAST,16,179,5076,0%,100%,100%,100%
,,,179 Total,,83%,100%,96%,92%
16,EAST,16,180,1866,100%,100%,100%,100%
16,EAST,16,180,1868,100%,100%,100%,100%
16,EAST,16,180,1939,100%,100%,75%,75%
16,EAST,16,180,2183,100%,100%,100%,100%
16,EAST,16,180,2202,100%,100%,100%,100%
,,,180 Total,,100%,100%,95%,95%
16,EAST,16,181,1975,100%,100%,100%,100%
16,EAST,16,181,2332,0%,0%,25%,0%
16,EAST,16,181,2369,100%,100%,100%,100%
16,EAST,16,181,2758,100%,100%,100%,100%
16,EAST,16,181,4156,0%,100%,50%,50%
16,EAST,16,181,4389,100%,100%,100%,100%
,,,181 Total,,67%,83%,79%,75%
16,EAST,16,183,1698,100%,100%,75%,75%
16,EAST,16,183,1788,100%,100%,100%,100%
16,EAST,16,183,1954,100%,100%,100%,100%
16,EAST,16,183,2130,0%,100%,50%,50%
16,EAST,16,183,2153,100%,100%,100%,100%
16,EAST,16,183,2330,100%,100%,100%,100%
,,,183 Total,,83%,100%,88%,88%
16,EAST,16,184,1907,100%,100%,50%,50%
16,EAST,16,184,2142,100%,100%,75%,75%
,,,184 Total,,100%,100%,63%,63%
16 Total,,16 Total,,,80%,97%,84%,79%
17,EAST,17,162,2022,100%,100%,100%,100%
17,EAST,17,162,2170,100%,100%,100%,100%
17,EAST,17,162,2331,100%,100%,100%,100%
17,EAST,17,162,2854,100%,100%,75%,75%
,,,162 Total,,100%,100%,94%,94%
17,EAST,17,163,2965,100%,100%,50%,50%
,,,163 Total,,100%,100%,50%,50%
17,EAST,17,164,1959,100%,100%,100%,100%
17,EAST,17,164,2104,100%,100%,100%,100%
17,EAST,17,164,2547,100%,100%,100%,100%
17,EAST,17,164,2637,100%,100%,100%,100%
,,,164 Total,,100%,100%,100%,100%
17,EAST,17,171,2156,100%,100%,100%,100%
17,EAST,17,171,2286,100%,100%,100%,100%
17,EAST,17,171,2915,100%,100%,100%,100%
17,EAST,17,171,2917,100%,100%,100%,100%
17,EAST,17,171,5202,0%,0%,75%,75%
17,EAST,17,171,8331,100%,100%,100%,100%
,,,171 Total,,83%,83%,96%,96%
17,EAST,17,172,5295,100%,100%,0%,0%
,,,172 Total,,100%,100%,0%,0%
17,EAST,17,173,3548,100%,100%,25%,25%
17,EAST,17,173,3803,100%,100%,100%,100%
17,EAST,17,173,5294,100%,100%,100%,100%
,,,173 Total,,100%,100%,75%,75%
17,EAST,17,174,3291,100%,0%,50%,50%
,,,174 Total,,100%,0%,50%,50%
17,EAST,17,175,2825,100%,100%,100%,100%
17,EAST,17,175,5201,100%,100%,100%,100%
,,,175 Total,,100%,100%,100%,100%
17,EAST,17,187,1946,100%,100%,100%,100%
17,EAST,17,187,2092,100%,100%,100%,100%
17,EAST,17,187,2116,100%,100%,100%,100%
17,EAST,17,187,3329,100%,100%,100%,100%
17,EAST,17,187,3334,100%,100%,100%,75%
17,EAST,17,187,5497,100%,100%,100%,100%
17,EAST,17,187,5498,100%,100%,75%,75%
,,,187 Total,,100%,100%,96%,93%
17,EAST,17,188,1940,100%,100%,75%,75%
17,EAST,17,188,2056,100%,100%,100%,100%
17,EAST,17,188,2097,100%,100%,100%,75%
17,EAST,17,188,2351,0%,100%,100%,100%
17,EAST,17,188,2504,100%,100%,100%,75%
17,EAST,17,188,2844,100%,100%,100%,100%
17,EAST,17,188,3583,100%,100%,100%,100%
,,,188 Total,,86%,100%,96%,89%
17,EAST,17,189,1677,100%,100%,100%,100%
17,EAST,17,189,2146,100%,100%,75%,75%
17,EAST,17,189,2234,100%,100%,100%,100%
17,EAST,17,189,2264,100%,100%,100%,100%
17,EAST,17,189,2285,100%,100%,100%,100%
17,EAST,17,189,2444,100%,100%,75%,75%
17,EAST,17,189,2874,100%,100%,100%,100%
,,,189 Total,,100%,100%,93%,93%
17,EAST,17,190,1976,100%,100%,100%,100%
17,EAST,17,190,2120,100%,100%,100%,100%
17,EAST,17,190,2135,100%,100%,75%,75%
17,EAST,17,190,2262,100%,100%,100%,100%
17,EAST,17,190,2992,100%,100%,100%,100%
17,EAST,17,190,3221,100%,100%,100%,100%
17,EAST,17,190,5240,100%,100%,75%,75%
,,,190 Total,,100%,100%,93%,93%
17,EAST,17,191,1705,100%,100%,100%,75%
17,EAST,17,191,1830,100%,100%,100%,100%
17,EAST,17,191,2166,100%,100%,100%,100%
17,EAST,17,191,2581,100%,100%,75%,75%
17,EAST,17,191,2911,100%,100%,100%,100%
17,EAST,17,191,3332,100%,100%,100%,100%
17,EAST,17,191,5242,100%,100%,100%,100%
,,,191 Total,,100%,100%,96%,93%
17,EAST,17,192,1673,100%,100%,100%,100%
17,EAST,17,192,3280,100%,100%,100%,100%
17,EAST,17,192,3842,100%,100%,100%,100%
,,,192 Total,,100%,100%,100%,100%
17,EAST,17,194,1949,100%,100%,100%,100%
17,EAST,17,194,1966,100%,100%,100%,100%
17,EAST,17,194,1973,0%,100%,100%,100%
17,EAST,17,194,2159,0%,100%,100%,100%
17,EAST,17,194,2164,100%,100%,100%,100%
17,EAST,17,194,2326,100%,100%,100%,100%
17,EAST,17,194,2405,100%,100%,100%,100%
17,EAST,17,194,2859,100%,100%,75%,75%
,,,194 Total,,75%,100%,97%,97%
17,EAST,17,195,1909,100%,100%,100%,100%
17,EAST,17,195,1993,100%,100%,100%,100%
17,EAST,17,195,2088,100%,100%,100%,100%
17,EAST,17,195,2107,100%,100%,100%,100%
17,EAST,17,195,2355,100%,100%,50%,50%
17,EAST,17,195,3607,100%,100%,50%,50%
,,,195 Total,,100%,100%,83%,83%
17,EAST,17,226,1623,0%,100%,100%,50%
17,EAST,17,226,1884,100%,100%,100%,100%
17,EAST,17,226,2064,0%,0%,25%,0%
17,EAST,17,226,2480,100%,100%,100%,100%
,,,226 Total,,50%,75%,81%,63%
17,EAST,17,228,2597,100%,100%,75%,100%
17,EAST,17,228,2674,100%,100%,100%,100%
17,EAST,17,228,3253,100%,100%,100%,100%
17,EAST,17,228,3281,100%,100%,100%,100%
17,EAST,17,228,3429,100%,100%,100%,100%
17,EAST,17,228,3514,100%,100%,100%,100%
17,EAST,17,228,5445,100%,100%,100%,100%
,,,228 Total,,100%,100%,96%,100%
17 Total,,17 Total,,,93%,96%,91%,90%
22,EAST,22,165,2108,100%,100%,50%,50%
,,,165 Total,,100%,100%,50%,50%
22,EAST,22,166,2830,100%,100%,100%,100%
22,EAST,22,166,5130,100%,100%,100%,100%
,,,166 Total,,100%,100%,100%,100%
22,EAST,22,167,2167,100%,100%,75%,75%
22,EAST,22,167,5239,100%,100%,100%,100%
,,,167 Total,,100%,100%,88%,88%
22,EAST,22,168,1777,0%,100%,50%,50%
22,EAST,22,168,2252,100%,100%,100%,100%
22,EAST,22,168,2614,100%,100%,50%,25%
22,EAST,22,168,2641,100%,100%,75%,50%
22,EAST,22,168,3810,100%,100%,100%,100%
,,,168 Total,,80%,100%,75%,65%
22,EAST,22,170,5131,100%,100%,100%,100%
,,,170 Total,,100%,100%,100%,100%
22,EAST,22,178,3337,100%,100%,75%,75%
,,,178 Total,,100%,100%,75%,75%
22,EAST,22,231,1792,100%,100%,100%,100%
22,EAST,22,231,2059,100%,100%,100%,100%
22,EAST,22,231,2129,100%,100%,100%,100%
22,EAST,22,231,2318,100%,100%,100%,100%
22,EAST,22,231,2502,100%,100%,100%,100%
22,EAST,22,231,3228,100%,100%,100%,100%
22,EAST,22,231,5241,100%,100%,100%,100%
,,,231 Total,,100%,100%,100%,100%
22,EAST,22,232,1644,100%,100%,50%,25%
22,EAST,22,232,1794,100%,100%,100%,100%
22,EAST,22,232,2169,100%,100%,100%,100%
22,EAST,22,232,2255,100%,100%,100%,100%
22,EAST,22,232,2481,0%,0%,0%,0%
22,EAST,22,232,2528,100%,100%,100%,100%
22,EAST,22,232,2535,100%,100%,100%,100%
22,EAST,22,232,3412,100%,100%,100%,100%
22,EAST,22,232,3634,100%,100%,100%,100%
,,,232 Total,,89%,89%,83%,81%
22,EAST,22,233,2023,0%,0%,75%,75%
22,EAST,22,233,2205,0%,0%,0%,0%
22,EAST,22,233,2334,0%,0%,0%,0%
22,EAST,22,233,2519,100%,100%,100%,100%
22,EAST,22,233,2888,100%,100%,100%,100%
22,EAST,22,233,2945,100%,100%,25%,25%
22,EAST,22,233,3501,100%,100%,100%,100%
,,,233 Total,,57%,57%,57%,57%
22,EAST,22,234,2574,100%,100%,50%,50%
22,EAST,22,234,3633,100%,100%,100%,100%
22,EAST,22,234,5358,100%,100%,100%,100%
22,EAST,22,234,5469,100%,100%,100%,100%
,,,234 Total,,100%,100%,88%,88%
22,EAST,22,237,1765,100%,100%,100%,100%
22,EAST,22,237,1935,100%,100%,100%,100%
22,EAST,22,237,2049,100%,100%,100%,100%
22,EAST,22,237,2230,100%,100%,100%,100%
22,EAST,22,237,2663,100%,100%,100%,100%
22,EAST,22,237,5470,100%,100%,100%,100%
,,,237 Total,,100%,100%,100%,100%
22,EAST,22,558,2518,0%,0%,25%,25%
22,EAST,22,558,2841,100%,100%,100%,100%
22,EAST,22,558,3266,100%,100%,75%,75%
22,EAST,22,558,5340,100%,100%,100%,100%
,,,558 Total,,75%,75%,75%,75%
22 Total,,22 Total,,,88%,90%,83%,82%
26,EAST,26,296,1191,100%,100%,100%,75%
26,EAST,26,296,1288,100%,100%,25%,25%
26,EAST,26,296,2137,100%,100%,75%,25%
26,EAST,26,296,2256,100%,100%,50%,50%
26,EAST,26,296,2845,100%,100%,75%,75%
26,EAST,26,296,3612,100%,100%,75%,75%
26,EAST,26,296,5346,100%,100%,75%,75%
,,,296 Total,,100%,100%,68%,57%
26,EAST,26,297,2058,100%,100%,100%,100%
26,EAST,26,297,5118,100%,100%,50%,25%
26,EAST,26,297,5254,100%,100%,100%,100%
26,EAST,26,297,5292,100%,100%,75%,75%
,,,297 Total,,100%,100%,81%,75%
26,EAST,26,298,1132,0%,100%,50%,50%
26,EAST,26,298,1558,100%,100%,75%,75%
26,EAST,26,298,2704,100%,100%,50%,50%
26,EAST,26,298,3304,0%,0%,100%,100%
26,EAST,26,298,3305,100%,100%,50%,50%
26,EAST,26,298,3658,0%,100%,50%,50%
26,EAST,26,298,5320,0%,100%,50%,25%
,,,298 Total,,43%,86%,61%,57%
26,EAST,26,299,1237,100%,100%,75%,75%
26,EAST,26,299,1321,100%,100%,100%,100%
26,EAST,26,299,2836,100%,100%,75%,75%
26,EAST,26,299,5046,100%,100%,100%,100%
26,EAST,26,299,5743,100%,100%,100%,75%
,,,299 Total,,100%,100%,90%,85%
26,EAST,26,300,1268,100%,100%,75%,75%
26,EAST,26,300,1348,100%,100%,75%,75%
26,EAST,26,300,1392,100%,100%,100%,100%
26,EAST,26,300,1767,100%,100%,100%,100%
26,EAST,26,300,2580,100%,100%,25%,25%
26,EAST,26,300,2772,100%,100%,100%,100%
26,EAST,26,300,4065,100%,100%,75%,100%
26,EAST,26,300,4273,100%,100%,100%,100%
,,,300 Total,,100%,100%,81%,84%
26,EAST,26,301,1197,100%,100%,100%,100%
26,EAST,26,301,1354,100%,100%,100%,100%
26,EAST,26,301,1379,100%,100%,50%,50%
26,EAST,26,301,1502,100%,100%,100%,100%
26,EAST,26,301,1527,100%,100%,100%,100%
26,EAST,26,301,2730,100%,100%,100%,100%
,,,301 Total,,100%,100%,92%,92%
