Last Modified By,Last Modified,Name,Parent Path,Page Link
aking2,3/16/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/community/emergency-disaster-preparedness/covid-testing-sites/COVID-19 Collection - Presentation .pdf"">Page Link</a>"
c0s014a,3/20/2020,Never Published,Never Published,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/community/emergency-disaster-preparedness/covid-19/Vendor Letter SAH CA.pdf"">Page Link</a>"
jaogle,5/14/2020,Battery-Cage-Housekeeping-Poster.pdf,/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/Battery-Cage-Housekeeping-Poster.pdf"">Page Link</a>"
jaogle,5/14/2020,ecolab-assessment-resource.pdf,/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/ecolab-assessment-resource.pdf"">Page Link</a>"
jaogle,5/14/2020,"California-Compactor-Management,-Job-Aids-for-Key-Departments.pdf",/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/California-Compactor-Management,-Job-Aids-for-Key-Departments.pdf"">Page Link</a>"
jaogle,5/14/2020,Hazardous-Waste-Inspection-Job-Aid.pdf,/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/Hazardous-Waste-Inspection-Job-Aid.pdf"">Page Link</a>"
jaogle,5/14/2020,HazWaste Digital Weekly Inspection Checklist (Job Aid).pdf,/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/HazWaste Digital Weekly Inspection Checklist (Job Aid).pdf"">Page Link</a>"
jaogle,5/14/2020,Box Audit Training - Sam's Club.pdf,/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/Box Audit Training - Sam's Club.pdf"">Page Link</a>"
jaogle,5/14/2020,New-Hampshire-Hazardous-Waste-Coordinator-Certification-Training-Application.pdf,/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/New-Hampshire-Hazardous-Waste-Coordinator-Certification-Training-Application.pdf"">Page Link</a>"
jaogle,5/14/2020,"Used-Battery-Handling,Stacking-Procedures-Poster.pdf",/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training,"<a href=""https://wem-east-author.walmart.com/assetdetails.html/content/dam/us-wire-wm1/documents/company/orphan/sams_wire/live-copy-docs/operations/compliance/environmental/training/Used-Battery-Handling,Stacking-Procedures-Poster.pdf"">Page Link</a>"
