Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL
1,5/30/2025,289129610915,2110 W Walnut St,Rogers,AR,72756,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129610915
2,5/30/2025,289129623319,161 N Walmart Dr,Harrison,AR,72601,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129623319
3,5/30/2025,289129627851,30983 Highway 441 S,Commerce,GA,30529,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129627851
4,5/30/2025,289129631660,2901 Highway 412 E,Siloam Springs,AR,72761,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129631660
5,5/30/2025,289129639671,1155 Hwy 65 North,Conway,AR,72032,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129639671
7,5/30/2025,289129644637,9053 Highway 107,Sherwood,AR,72120,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129644637
8,5/30/2025,289129646310,1621 North Business 9,Morrilton,AR,72110,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129646310
9,5/30/2025,289129656744,1303 S Main St,Sikeston,MO,63801,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129656744
10,5/30/2025,289129664477,2020 S Muskogee Ave,Tahlequah,OK,74464,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129664477
11,5/30/2025,289129669788,65 Wal Mart Dr,Mountain Home,AR,72653,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129669788
12,5/30/2025,289129676036,1500 S Lynn Riggs Blvd,Claremore,OK,74017,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129676036
13,5/30/2025,289129679892,2705 Grand Ave,Carthage,MO,64836,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129679892
14,5/30/2025,289129685096,1800 S Jefferson Ave,Lebanon,MO,65536,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129685096
15,5/30/2025,289129690420,1310 Preacher Roe Blvd,West Plains,MO,65775,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129690420
16,5/30/2025,289129697001,2214 Fayetteville Rd,Van Buren,AR,72956,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129697001
17,5/30/2025,289129700847,3200 Lusk Dr,Neosho,MO,64850,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129700847
18,5/30/2025,289129707201,1211 Highway 367 N,Newport,AR,72112,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129707201
19,5/30/2025,289129712737,333 S Westwood Blvd,Poplar Bluff,MO,63901,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129712737
20,5/30/2025,289129717783,1712 E Ohio St,Clinton,MO,64735,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129717783
21,5/30/2025,289129723620,185 Saint Robert Blvd,Saint Robert,MO,65584,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129723620
22,5/30/2025,289129728379,4901 S Mill St,Pryor,OK,74361,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129728379
23,5/30/2025,289129732463,1201 N Service Rd E,Ruston,LA,71270,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129732463
24,5/30/2025,289129735289,2000 John Harden Dr,Jacksonville,AR,72076,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129735289
25,5/30/2025,289129743747,4820 S Clark St,Mexico,MO,65265,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129743747
26,5/30/2025,289129747867,5000 10Th Ave,Leavenworth,KS,66048,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129747867
27,5/30/2025,289129753830,1101 W Highway 32,Salem,MO,65560,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129753830
28,5/30/2025,289129761919,2415 N Main St,Miami,OK,74354,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129761919
29,5/30/2025,289129766575,724 W Stadium Blvd,Jefferson City,MO,65109,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129766575
30,5/30/2025,289129769840,2025 W Business Us Highway 60,Dexter,MO,63841,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129769840
31,5/30/2025,289129775834,3108 N Broadway St,Poteau,OK,74953,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129775834
32,5/30/2025,289129782766,2050 W 76 Country Blvd,Branson,MO,65616,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129782766
33,5/30/2025,289129792804,1710 S 4Th St,Nashville,AR,71852,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129792804
34,5/30/2025,289129798618,2250 Lincoln Ave,Nevada,MO,64772,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129798618
35,5/30/2025,289129811332,101 Bluemont Ave,Manhattan,KS,66502,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129811332
36,5/30/2025,289129818819,2802 W Kingshighway,Paragould,AR,72450,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129818819
37,5/30/2025,289129824527,707 Walton Dr,Farmington,MO,63640,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129824527
38,5/30/2025,289129833680,1907 Se Washington St,Idabel,OK,74745,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129833680
39,5/30/2025,289129841118,2500 S Main St,Fort Scott,KS,66701,https://www.fedex.com/apps/fedextrack/?tracknumbers=289129841118
