Store Nbr,City,State,Return or Store Inventory?,Quantity,Date (Only for Customer Returns),Item Nbr (Only for Customer Returns),UPC (Only for Customer Returns)
12,CLAREMORE,OK,Customer Return,1,2021/11/16,585998716,84140411421
35,MANHATTAN,KS,Customer Return,1,2021/11/11,585996969,84140411423
42,COFFEYVILLE,KS,Customer Return,1,2021/11/08,586001512,84140411424
147,DENISON,TX,Customer Return,1,2021/10/28,585996968,84140411420
164,PONTOTOC,MS,Customer Return,1,2021/11/09,585996970,84140411422
168,OWASSO,OK,Customer Return,1,2021/11/17,585998716,84140411421
184,BLUE SPRINGS,MO,Customer Return,1,2021/10/28,585996968,84140411420
184,BLUE SPRINGS,MO,Customer Return,1,2021/11/13,585998716,84140411421
209,OZARK,AR,Customer Return,1,2021/11/13,585998716,84140411421
300,JACKSONVILLE,AL,Customer Return,1,2021/11/01,585996968,84140411420
324,BRISTOW,OK,Customer Return,1,2021/11/21,586001512,84140411424
382,OTTAWA,KS,Customer Return,1,2021/11/09,585998716,84140411421
387,CHANDLER,OK,Customer Return,1,2021/10/30,585999818,84140411425
414,WICHITA FALLS,TX,Customer Return,1 ,2021/11/05,586854225,84140411424
414,WICHITA FALLS,TX,Customer Return,1,2021/11/06,585999818,84140411425
420,WICHITA FALLS,TX,Customer Return,1,2021/11/01,585996970,84140411422
506,FLORA,IL,Customer Return,2,2021/10/27,585996970,84140411422
506,FLORA,IL,Customer Return,1,2021/10/27,585998716,84140411421
506,FLORA,IL,Customer Return,1,2021/10/27,585999818,84140411425
603,PEKIN,IL,Customer Return,1,2021/11/16,585996968,84140411420
603,PEKIN,IL,Customer Return,1,2021/11/16,585999818,84140411425
603,PEKIN,IL,Customer Return,1,2021/11/20,586001512,84140411424
609,HANNIBAL,MO,Customer Return,1,2021/11/09,586001512,84140411424
622,OKLAHOMA CITY,OK,Customer Return,1,2021/11/11,585998716,84140411421
622,OKLAHOMA CITY,OK,Customer Return,2,2021/11/14,586001512,84140411424
