Store,City,ST,Tracking ID,Ship date,Status,Scheduled delivery date,Package Dimensions
1,ROGERS,AR,631453381068,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
2,HARRISON,AR,631453382330,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
3,COMMERCE,GA,631453392352,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
4,SILOAM SPRINGS,AR,631453381079,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
5,CONWAY,AR,631453397078,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.6x0 IN
7,SHERWOOD,AR,631453396954,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.6x0 IN
8,MORRILTON,AR,631453396976,4/6/2023,Departed FedEx location,4/7/2023,16.6x8.6x0 IN
9,SIKESTON,MO,631453392293,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
10,TAHLEQUAH,OK,631453396884,4/6/2023,Departed FedEx location,4/7/2023,16.8x9x0 IN
11,MOUNTAIN HOME,AR,631453382340,4/6/2023,In transit,4/10/2023,16.6x8.2x0 IN
12,CLAREMORE,OK,631453394263,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
13,CARTHAGE,MO,631453379712,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
14,LEBANON,MO,631453379723,4/6/2023,In transit,4/10/2023,16.6x8.6x0 IN
15,WEST PLAINS,MO,631453388989,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
16,VAN BUREN,AR,631453397582,4/6/2023,Departed FedEx location,4/7/2023,16.8x9.2x0 IN
17,NEOSHO,MO,631453379734,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
18,NEWPORT,AR,631453382351,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
19,POPLAR BLUFF,MO,631453392308,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
20,CLINTON,MO,631453387765,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
21,SAINT ROBERT,MO,631453379745,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
22,PRYOR,OK,631453394274,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
23,RUSTON,LA,631453394940,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
24,JACKSONVILLE,AR,631453396965,4/6/2023,Departed FedEx location,4/7/2023,16.6x8.8x0 IN
25,MEXICO,MO,631453391595,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
26,LEAVENWORTH,KS,631453382822,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
27,SALEM,MO,631453388978,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
28,MIAMI,OK,631453379116,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
29,JEFFERSON CITY,MO,631453381929,4/6/2023,In transit,4/10/2023,16.2x8x0 IN
30,DEXTER,MO,631453392319,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
31,POTEAU,OK,631453396900,4/6/2023,Package delayed,4/10/2023,16.8x8.8x0 IN
32,BRANSON,MO,631453379756,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
33,NASHVILLE,AR,631453395454,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
34,NEVADA,MO,631453388956,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
35,MANHATTAN,KS,631453378900,4/6/2023,In transit,4/10/2023,16.6x8.2x0 IN
36,PARAGOULD,AR,631453391871,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
37,FARMINGTON,MO,631453378462,4/5/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
38,IDABEL,OK,631453394285,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
39,FORT SCOTT,KS,631453389003,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
40,MOBERLY,MO,631453391600,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
41,BARTLESVILLE,OK,631453394296,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
42,COFFEYVILLE,KS,631453394572,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
43,JUNCTION CITY,KS,631453388990,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
44,ELDON,MO,631453381930,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
45,JONESBORO,AR,631453391882,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
46,BOLIVAR,MO,631453379767,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
47,SALLISAW,OK,631453396895,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.8x0 IN
48,MONETT,MO,631453379778,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
49,HUGO,OK,631453394300,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
50,VINITA,OK,631453388279,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
51,FULTON,MO,631453381940,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
52,HOT SPRINGS,AR,631453396998,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.8x0 IN
54,SPRINGDALE,AR,631453381080,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
55,BOONEVILLE,AR,631453397630,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.6x0 IN
56,AVA,MO,631453379789,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
57,WALNUT RIDGE,AR,631453382362,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
58,RUSSELLVILLE,AR,631453396987,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
59,JOPLIN,MO,631453379790,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
60,TROY,MO,631453378473,4/6/2023,In transit,4/10/2023,16.2x8.2x0 IN
61,WARRENSBURG,MO,631453387743,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
62,BLYTHEVILLE,AR,631453391893,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
63,WAGONER,OK,631453394311,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
64,BROWNSVILLE,TN,631453388772,4/6/2023,Arrived at FedEx location,4/10/2023,0x0x0 IN
65,SULLIVAN,MO,631453378484,4/6/2023,In transit,4/10/2023,16.2x8.2x0 IN
66,CLARKSVILLE,AR,631453397608,4/6/2023,Departed FedEx location,4/7/2023,16.8x9.2x0 IN
67,MENA,AR,631453397619,4/6/2023,Departed FedEx location,4/7/2023,16.8x9x0 IN
68,WYNNE,AR,631453391908,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
69,FESTUS,MO,631453378495,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
70,WEST MEMPHIS,AR,631453379664,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
71,POCAHONTAS,AR,631453382373,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
72,PITTSBURG,KS,631453389025,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
73,SAPULPA,OK,631453394322,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
74,OSCEOLA,AR,631453391919,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
75,PINEVILLE,LA,631453395042,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
76,BERRYVILLE,AR,631453381090,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
77,TAYLOR,TX,631453397435,4/6/2023,Departed FedEx location,4/7/2023,16.6x8.6x0 IN
78,MARSHFIELD,MO,631453379804,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
79,JOPLIN,MO,631453379815,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
80,COLUMBIA,MO,631453391610,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
81,STILWELL,OK,631453396873,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
82,PERRYVILLE,MO,631453382616,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
83,MAGNOLIA,AR,631453392640,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
85,BENTON,AR,631453397012,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.8x0 IN
86,SPRINGFIELD,MO,631453379826,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
87,MINDEN,LA,631453395134,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
88,MOUNTAIN GROVE,MO,631453379837,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
89,CAMDENTON,MO,631453381951,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
90,GROVE,OK,631453379127,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
91,FORREST CITY,AR,631453391920,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
92,AURORA,MO,631453379848,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
93,COVINGTON,TN,631453388809,4/6/2023,Arrived at FedEx location,4/10/2023,31x14.6x0 IN
94,MILLINGTON,TN,631453388810,4/6/2023,Arrived at FedEx location,4/10/2023,31x14.6x0 IN
95,DESLOGE,MO,631453378500,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
