STORE_NBR,Kayak On Hands Qty,Total On Order Qty,Season to Date Sales,TY Planned Forecasted Sales,LY Total Sales
1,21,2,2,102,39
2,113,158,17,766,376
3,8,0,2,314,27
4,103,27,17,348,174
5,18,4,5,129,48
7,22,6,2,76,38
8,9,4,2,82,41
9,13,1,0,56,28
10,59,148,38,838,417
11,141,16,51,828,414
12,11,2,3,106,39
13,30,10,1,110,54
14,15,105,5,306,150
15,21,107,9,843,371
16,41,2,3,173,86
17,6,1,1,188,61
18,0,0,0,0,0
19,109,0,45,308,151
20,3,23,5,266,133
21,12,20,2,244,120
22,9,2,4,96,46
23,10,0,7,70,35
24,0,0,0,0,2
25,3,9,2,54,27
26,7,9,4,100,49
27,8,105,6,278,139
28,7,2,4,66,33
29,0,0,0,0,0
30,1,0,0,0,15
31,0,0,0,0,0
32,5,5,0,52,26
33,0,0,0,0,1
34,0,0,0,0,8
35,17,14,5,89,42
36,7,5,9,86,45
37,14,105,8,328,152
38,11,2,2,52,25
39,6,7,5,79,39
40,5,15,1,84,40
41,15,3,1,95,32
42,9,1,0,60,28
43,15,14,9,82,43
44,1,0,0,0,0
45,10,2,4,50,25
46,4,100,0,246,123
47,1,3,1,13,6
48,7,30,2,72,36
49,29,0,0,134,67
50,6,0,6,74,36
51,0,0,0,0,0
52,36,6,20,119,97
54,8,2,1,58,27
55,0,0,0,0,5
56,15,13,1,100,99
57,0,0,0,0,10
58,130,16,38,451,284
59,13,7,0,92,51
60,1,12,5,77,29
61,13,14,8,91,41
62,0,0,0,0,1
63,9,10,3,76,38
64,0,0,0,0,1
65,18,16,5,162,67
66,115,32,9,331,210
67,11,6,4,143,143
68,0,0,0,0,0
69,18,10,0,110,104
70,0,0,0,0,0
71,21,5,4,89,42
72,11,2,2,45,30
73,5,2,0,33,15
74,8,0,0,0,1
75,21,0,4,65,29
76,22,4,3,142,119
77,22,9,0,92,56
78,21,14,0,110,64
79,100,120,6,278,129
80,0,0,0,0,0
81,4,5,1,53,30
