Store,Dry Sat,Dry Sun,Dry Mon,Dry Tue,Dry Wed,Dry Thur,Dry Fri,Dry Total
1,1,1,1,1,1,0,1,6
2,1,1,1,1,1,0,1,6
3,1,1,1,1,1,0,1,6
4,1,1,1,1,1,0,1,6
5,1,1,1,1,1,0,1,6
7,1,1,1,1,1,0,1,6
8,1,1,1,1,1,0,1,6
9,1,1,1,1,1,0,1,6
10,1,1,1,1,1,0,1,6
11,1,1,1,1,1,0,1,6
12,1,1,1,1,1,0,1,6
13,1,1,1,1,1,0,1,6
14,1,1,1,1,1,0,1,6
15,1,1,1,1,1,0,1,6
16,1,1,1,1,1,0,1,6
17,1,1,1,1,1,0,1,6
18,1,1,1,1,1,0,1,6
19,1,1,1,1,1,0,1,6
20,1,1,1,1,1,0,1,6
21,1,1,1,1,1,0,1,6
22,1,1,1,1,1,0,1,6
23,1,1,1,1,1,0,1,6
24,1,1,1,1,1,0,1,6
25,1,1,1,1,1,0,1,6
26,1,1,1,1,1,0,1,6
27,1,1,1,1,1,0,1,6
28,1,1,1,1,1,0,1,6
29,1,1,1,1,1,0,1,6
30,1,1,1,1,1,0,1,6
31,1,1,1,1,1,0,1,6
32,1,1,1,1,0,0,1,5
33,1,1,1,1,1,0,1,6
34,1,1,1,1,1,0,1,6
35,1,1,1,1,1,0,1,6
36,1,1,1,1,1,0,1,6
37,1,1,1,1,1,0,1,6
38,1,1,1,1,1,0,1,6
39,1,1,1,1,1,0,1,6
40,1,1,1,1,1,0,1,6
41,1,1,1,1,1,0,1,6
42,1,1,1,1,1,0,1,6
43,1,1,1,1,1,0,1,6
44,0,0,1,0,1,0,1,3
45,1,1,1,1,1,0,1,6
45,1,1,1,1,1,0,1,6
46,1,1,1,1,1,0,1,6
47,1,1,1,1,1,0,1,6
48,1,1,1,1,1,0,1,6
49,1,1,1,1,1,0,1,6
49,1,1,1,1,1,0,1,6
50,1,1,1,1,1,0,1,6
51,1,1,1,1,1,0,1,6
52,1,1,1,1,1,0,1,6
54,1,1,1,1,1,0,1,6
55,1,1,1,1,1,0,1,6
56,0,1,1,1,1,0,1,5
57,0,0,1,0,1,0,1,3
58,1,1,1,1,1,0,1,6
59,1,1,1,1,1,0,1,6
60,1,1,1,1,1,0,1,6
61,1,1,1,1,1,0,1,6
62,1,1,1,1,1,0,1,6
63,1,1,1,1,1,0,1,6
64,0,1,1,1,1,0,1,5
65,1,1,1,1,1,0,1,6
66,1,1,1,1,1,0,1,6
67,1,1,1,1,1,0,1,6
