Store #,Format,City,State,Rx Freq,October Rx,November Rx,December Rx,Service Provider,Phone Number,,,
9,SUP,SIKESTON,MO,90,,15,,CLEAN EARTH,877-406-5295,,,
10,SUP,Tahlequah,OK,90,,8,,CLEAN EARTH,877-406-5295,,,
12,SUP,Claremore,OK,90,,22,,CLEAN EARTH,877-406-5295,,,
13,SUP,CARTHAGE,MO,90,,29,,CLEAN EARTH,877-406-5295,,,
14,SUP,LEBANON,MO,180,25,,,CLEAN EARTH,877-406-5295,,,
15,SUP,WEST PLAINS,MO,90,,15,,CLEAN EARTH,877-406-5295,,,
17,SUP,NEOSHO,MO,90,,8,,CLEAN EARTH,877-406-5295,,,
19,SUP,POPLAR BLUFF,MO,90,,15,,CLEAN EARTH,877-406-5295,,,
20,SUP,CLINTON,MO,90,,22,,CLEAN EARTH,877-406-5295,,,
21,SUP,SAINT ROBERT,MO,180,25,,,CLEAN EARTH,877-406-5295,,,
22,SUP,Pryor,OK,180,18,,,CLEAN EARTH,877-406-5295,,,
23,SUP,Ruston,LA,90,18,,,CLEAN EARTH,877-406-5295,,,
25,SUP,MEXICO,MO,180,18,,,CLEAN EARTH,877-406-5295,,,
26,SUP,LEAVENWORTH,KS,90,,8,,CLEAN EARTH,877-406-5295,,,
27,SUP,SALEM,MO,90,,,20,CLEAN EARTH,877-406-5295,,,
28,SUP,Miami,OK,180,18,,,CLEAN EARTH,877-406-5295,,,
29,SUP,JEFFERSON CITY,MO,90,,22,,CLEAN EARTH,877-406-5295,,,
30,SUP,DEXTER,MO,180,11,,,CLEAN EARTH,877-406-5295,,,
31,SUP,Poteau,OK,90,,8,,CLEAN EARTH,877-406-5295,,,
32,WMT,BRANSON,MO,180,25,,,CLEAN EARTH,877-406-5295,,,
34,SUP,NEVADA,MO,180,11,,,CLEAN EARTH,877-406-5295,,,
35,SUP,MANHATTAN,KS,90,,22,,CLEAN EARTH,877-406-5295,,,
37,SUP,FARMINGTON,MO,90,,15,,CLEAN EARTH,877-406-5295,,,
38,SUP,Idabel,OK,90,,,6,CLEAN EARTH,877-406-5295,,,
39,SUP,FORT SCOTT,KS,180,11,,,CLEAN EARTH,877-406-5295,,,
40,SUP,MOBERLY,MO,180,18,,,CLEAN EARTH,877-406-5295,,,
41,SUP,Bartlesville,OK,90,,22,,CLEAN EARTH,877-406-5295,,,
42,SUP,COFFEYVILLE,KS,90,,15,,CLEAN EARTH,877-406-5295,,,
43,SUP,JUNCTION CITY,KS,90,,22,,CLEAN EARTH,877-406-5295,,,
44,WMT,ELDON,MO,90,,,20,CLEAN EARTH,877-406-5295,,,
46,SUP,BOLIVAR,MO,90,,29,,CLEAN EARTH,877-406-5295,,,
47,SUP,Sallisaw,OK,90,,8,,CLEAN EARTH,877-406-5295,,,
48,SUP,MONETT,MO,180,4,,,CLEAN EARTH,877-406-5295,,,
