Name,Therapy,Chain,UHC,Cigna,Aetna ,IBC,HMSA,BCBS NC,Blue Medicare,BCBS TX
Spikevax (2024-2025),COVID - Moderna,WM,*,*,*,*,*,,*,
Pfizer - Pediatric 6m-4y (2024-2025),COVID - Pfizer,Both,*,*,*,*,*,,,
Pfizer - Pediatric 5-11y (2024-2025),COVID - Pfizer,Both,,*,*,*,*,,,
Comirnaty (2024-2025),COVID - Pfizer,Both,*,*,*,*,*,,*,
EUA Moderna 6m-11y (2024-2025),COVID - Moderna,WM,*,*,*,*,*,,,
Novavax (2024-2025),COVID - Novavax,Both,*,*,*,,*,,,
Kinrix ,DTaP,WM,,*,*,*,*,*,,
Daptacel,DTaP,Both,,*,*,*,*,*,,
Infanrix ,DTaP,WM,,*,*,*,*,*,,
Pentacel,DTaP-Hib,Both,,*,*,*,*,*,,
PEDVAXHIB,Haemophilus Influenza B (Hib),WM,,*,*,,*,,,
Hiberix,Haemophilus Influenza B (Hib),Both,,*,*,,*,*,,
Acthib,Haemophilus Influenza B (Hib),WM,,*,*,,*,*,,
Vaqta - adult,Hepatitis - A,Both,*,*,*,*,*,*,,
Havrix - adult,Hepatitis - A,Both,*,*,*,*,*,*,,
Vaqta- pediatric,Hepatitis - A,Both,*,*,*,*,*,*,,
Havrix- pediatric,Hepatitis - A,Both,*,*,*,*,*,*,,
HelpiSAV-B ,Hepatitis - B,Both,*,*,*,*,*,,,
Recombivax- HB,Hepatitis - B,Sams,,*,*,*,*,,,
Recombivax- pediatric,Hepatitis - B,Both,*,*,*,*,*,*,,
Engerix-B - pediatric,Hepatitis - B,Both,*,*,*,*,*,*,,
Recombivax ,Hepatitis - B,Both,*,*,*,*,*,*,,
Engerix-B - adult,Hepatitis - B,Both,*,*,*,*,*,*,,
Twinrix,Hepatitis A and B - Combo,Both,*,*,*,*,*,*,,
PreHevbrio,Hepatitis B,WM,,*,*,,*,,,
Gardasil 9,HPV,Both,*,*,*,*,*,,,
Fluad Tri,Influenza,Sams,*,*,*,*,*,,,*
Fluzone Tri,Influenza,WM,*,*,*,*,*,*,,*
Afluria Tri,Influenza,Sams,*,*,*,*,*,*,,*
Fluzone Tri,Influenza,WM,*,*,*,*,*,*,*,*
Afluria Tri,Influenza,Sams,*,*,*,*,*,*,,*
FluMist Tri,Influenza,Both,*,*,*,,*,*,,*
Flucelvax Tri,Influenza,Sams,*,*,*,*,*,*,,*
Flucelvax Tri,Influenza,Sams,*,*,*,*,*,*,,*
Fluzone High-Dose Tri,Influenza,WM,*,*,*,*,*,*,*,*
Flublok Tri,Influenza,WM,*,*,*,*,,,*,*
IXIARO,Japanese encephalitis (JE),WM,,,*,,*,,,
Menquadfi,Meningitis,WM,,*,*,,*,,,
Bexsero ,Meningitis,Both,*,*,*,*,*,,,
Trumenba ,Meningitis,Both,*,*,*,*,*,,,
Menveo,Meningitis,Both,*,*,*,*,*,*,,
M-M-R 2,MMR,Both,*,*,*,*,*,*,,
ProQuad,MMRV,Both,,*,*,*,*,,,
Prevnar 13 ,Pneumonia,Both,*,*,*,*,*,*,,
Vaxneuvance,Pneumonia,WM,,*,*,,*,,,
Prevnar 20,Pneumonia,Both,*,*,*,*,*,,*,
Capvaxive,Pneumonia,Both,,*,*,,,,,
Pneumovax 23 ,Pneumonia,Both,*,*,*,*,*,*,*,
IPOL ,Polio,Both,,*,*,,*,*,,
Imogram,Rabies,WM,,,*,,,,,
Imovax,Rabies,Both,,,*,,*,,,
RabAvert,Rabies,Both,,,*,,*,,,
Rotateq,Rotavirus,Sams,,*,*,,*,,,
Rotarix,Rotavirus,Both,,*,*,,*,*,,
Abrysvo,RSV,WM,*,*,*,*,*,,,
ABRYSVO,RSV,Both,*,*,*,*,*,,,
AREXVY,RSV,Both,*,*,*,*,*,,,
Shingrix,Shingles,Both,*,*,*,*,*,*,,
Tenivac,Tdap,Both,,*,*,*,*,*,,
Adacel ,Tdap,Both,*,*,*,*,*,*,,
Boostrix ,Tdap,Both,*,*,*,*,*,*,,
Pediarix,Tdap,Both,,*,*,,*,*,,
Typhim,Typhoid,Both,,,*,*,*,,,
Varivax ,Varicella Virus (Chicken Pox),Both,*,*,*,*,*,*,,
YF ,Yellow Fever,WM,,,*,,*,,,
