DC,DATE,ITEM,ITEM NBR,DESCRIPTION,CASES/FPP,CASES,PALLETS,BANNER
6042,3/31/2023,WM-CUT FLORAL,599903579,CB EAS CARNS DB DI,CASE PICK,18, ,WM
6042,4/1/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6042,4/2/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,44,SAMS
6042,4/2/2023,WM-CUT FLORAL,599913745,BQ EAS LG MIX DB BC,CASE PICK,90, ,WM
6042,4/2/2023,WM-CUT FLORAL,599903579,CB EAS CARNS DB DI,CASE PICK,37, ,WM
6042,4/2/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,36, ,WM
6042,4/2/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,18, ,WM
6042,4/3/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6042,4/4/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,69,SAMS
6042,4/5/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6042,4/5/2023,WM-CUT FLORAL,599913745,BQ EAS LG MIX DB BC,CASE PICK,154, ,WM
6042,4/5/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,69, ,WM
6042,4/5/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,17, ,WM
6047,3/27/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,42,21,WM
6047,3/28/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,21,11,WM
6047,3/28/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,224,11,WM
6047,3/28/2023,SAMS-LIVE PLANTS,980176557,EASTER LILY,FPP, ,6,SAMS
6047,3/31/2023,WM-CUT FLORAL,599892479,CB EAS CARN DB FF,CASE PICK,36, ,WM
6047,4/1/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6047,4/2/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,48,SAMS
6047,4/3/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6047,4/3/2023,WM-CUT FLORAL,599892477,BQ EAS LG MIX DB FF,CASE PICK,306, ,WM
6047,4/3/2023,WM-CUT FLORAL,599892479,CB EAS CARN DB FF,CASE PICK,81, ,WM
6047,4/3/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,36, ,WM
6047,4/3/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,18, ,WM
6047,4/4/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,61,SAMS
6047,4/5/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6047,4/5/2023,WM-CUT FLORAL,599892477,BQ EAS LG MIX DB FF,CASE PICK,465, ,WM
6047,4/5/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,69, ,WM
6047,4/5/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,58, ,WM
6055,3/26/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,128,6,WM
6055,3/26/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,65,33,WM
6055,3/26/2023,WM-LIVE PLANTS,574434435,EG 6IN EASTER LILY,CASE PICK,249,10,WM
6055,3/26/2023,WM-LIVE PLANTS,650081201,EG 6IN TULIPS,CASE PICK,402,13,WM
6055,3/26/2023,WM-LIVE PLANTS,650079047,HYACINTHS PDC,CASE PICK,105,4,WM
6055,3/27/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,60,3,WM
6055,3/27/2023,WM-LIVE PLANTS,658165389,EG 11OZ VIOLET,CASE PICK,120,6,WM
6055,3/27/2023,WM-LIVE PLANTS,658225104,EG 6IN HYC 8PC BOX,CASE PICK,72,2,WM
6055,3/27/2023,WM-LIVE PLANTS,658225108,EG 6IN TULIP 8PC BOX,CASE PICK,72,2,WM
6055,3/27/2023,SAMS-LIVE PLANTS,980176557,EASTER LILY,FPP, ,27,SAMS
6055,3/30/2023,WM-LIVE PLANTS,574434435,EG 6IN EASTER LILY,CASE PICK,587,24,WM
6055,3/30/2023,WM-LIVE PLANTS,650081201,EG 6IN TULIPS,CASE PICK,927,31,WM
6055,3/30/2023,WM-LIVE PLANTS,650079047,HYACINTHS PDC,CASE PICK,229,8,WM
6055,4/1/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6055,4/2/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,29,SAMS
6055,4/3/2023,WM-LIVE PLANTS,651166178,EG 6IN EASTER LILY,CASE PICK,30,2,WM
6055,4/3/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6055,4/4/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6055,4/5/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,71,SAMS
6056,3/19/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,168,7,WM
6056,3/19/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,48,2,WM
6056,3/19/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,36,1,WM
6056,3/19/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,36,1,WM
6056,3/19/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,36,1,WM
6056,3/19/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,36,1,WM
6056,3/26/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,208,10,WM
6056,3/26/2023,WM-LIVE PLANTS,574434435,EG 6IN EASTER LILY,CASE PICK,13,1,WM
6056,3/26/2023,WM-LIVE PLANTS,650081201,EG 6IN TULIPS,CASE PICK,15,1,WM
6056,3/26/2023,WM-LIVE PLANTS,650079047,HYACINTHS PDC,CASE PICK,6,0,WM
6056,3/27/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,264,11,WM
6056,3/27/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,72,3,WM
6056,3/27/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,36,1,WM
6056,3/27/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6056,3/27/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,72,2,WM
6056,3/27/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,36,1,WM
6056,3/27/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,36,1,WM
6056,3/27/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,42,1,WM
6056,3/28/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,54,27,WM
6056,3/28/2023,SAMS-LIVE PLANTS,980176557,EASTER LILY,FPP, ,16,SAMS
6056,3/30/2023,WM-LIVE PLANTS,574434435,EG 6IN EASTER LILY,CASE PICK,28,1,WM
6056,3/30/2023,WM-LIVE PLANTS,650081201,EG 6IN TULIPS,CASE PICK,36,1,WM
6056,3/30/2023,WM-LIVE PLANTS,650079047,HYACINTHS PDC,CASE PICK,14,0,WM
6056,3/30/2023,SAMS-LIVE PLANTS,980101445,BEGONIA,FPP, ,27,SAMS
6056,3/31/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,360,15,WM
6056,3/31/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,120,5,WM
6056,3/31/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,72,2,WM
6056,3/31/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6056,3/31/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,72,2,WM
6056,3/31/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,72,2,WM
6056,3/31/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,72,2,WM
6056,4/1/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6056,4/1/2023,WM-CUT FLORAL,599913745,BQ EAS LG MIX DB BC,CASE PICK,54, ,WM
6056,4/1/2023,WM-CUT FLORAL,599903579,CB EAS CARNS DB DI,CASE PICK,83, ,WM
6056,4/1/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,18, ,WM
6056,4/2/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,42,SAMS
6056,4/2/2023,SAMS-CUT FLORAL,980104207,EASTER PREMIUM BQT,FPP, ,2,SAMS
6056,4/3/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6056,4/4/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,69,SAMS
6056,4/4/2023,SAMS-CUT FLORAL,980104207,EASTER PREMIUM BQT,FPP, ,3,SAMS
6056,4/4/2023,WM-CUT FLORAL,599913745,BQ EAS LG MIX DB BC,CASE PICK,102, ,WM
6056,4/4/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,70, ,WM
6056,4/4/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,18, ,WM
6056,4/5/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6057,3/19/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,240,10,WM
6057,3/19/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,72,3,WM
6057,3/19/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,72,2,WM
6057,3/19/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6057,3/19/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,108,3,WM
6057,3/19/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,72,2,WM
6057,3/19/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,36,1,WM
6057,3/19/2023,WM-LIVE PLANTS,650487858,EG 6IN HYCAINTH PI,CASE PICK,42,1,WM
6057,3/19/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,42,1,WM
6057,3/26/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,108,3,WM
6057,3/26/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,72,2,WM
6057,3/26/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,42,1,WM
6057,3/26/2023,WM-LIVE PLANTS,598076626,6IN BLUE HYACINTH,CASE PICK,84,2,WM
6057,3/26/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,144,7,WM
6057,3/27/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,384,16,WM
6057,3/27/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,120,5,WM
6057,3/27/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,108,3,WM
6057,3/27/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6057,3/27/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,144,4,WM
6057,3/27/2023,WM-LIVE PLANTS,650487858,EG 6IN HYCAINTH PI,CASE PICK,42,1,WM
6057,3/27/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,49,25,WM
6057,3/28/2023,SAMS-LIVE PLANTS,980176557,EASTER LILY,FPP, ,24,SAMS
6057,3/29/2023,SAMS-LIVE PLANTS,980101445,BEGONIA,FPP, ,8,SAMS
6057,3/30/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,552,23,WM
6057,3/30/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,168,7,WM
6057,3/31/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,144,4,WM
6057,3/31/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,72,2,WM
6057,3/31/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,180,5,WM
6057,3/31/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,144,4,WM
6057,3/31/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,108,3,WM
6057,3/31/2023,WM-LIVE PLANTS,650487858,EG 6IN HYCAINTH PI,CASE PICK,42,1,WM
6057,3/31/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,84,2,WM
6057,3/31/2023,WM-LIVE PLANTS,598076626,6IN BLUE HYACINTH,CASE PICK,84,2,WM
6057,4/1/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,10,SAMS
6057,4/1/2023,SAMS-CUT FLORAL,980104207,EASTER PREMIUM BQT,FPP, ,15,SAMS
6057,4/1/2023,WM-CUT FLORAL,599892478,BQ EAS LGMX LA DB FF,CASE PICK,54, ,WM
6057,4/1/2023,WM-CUT FLORAL,599943820,CB EAS CARN LA DB FF,CASE PICK,82, ,WM
6057,4/1/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,18, ,WM
6057,4/2/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6057,4/3/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,23,SAMS
6057,4/3/2023,SAMS-CUT FLORAL,980104207,EASTER PREMIUM BQT,FPP, ,19,SAMS
6057,4/3/2023,WM-CUT FLORAL,599892478,BQ EAS LGMX LA DB FF,CASE PICK,95, ,WM
6057,4/3/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,68, ,WM
6057,4/4/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6057,4/5/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6057,4/5/2023,SAMS-CUT FLORAL,980104207,EASTER PREMIUM BQT,FPP, ,0,SAMS
6059,3/20/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,312,13,WM
6059,3/20/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,96,4,WM
6059,3/20/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,72,2,WM
6059,3/20/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6059,3/20/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,108,3,WM
6059,3/20/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,72,2,WM
6059,3/20/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,36,1,WM
6059,3/20/2023,WM-LIVE PLANTS,650487858,EG 6IN HYCAINTH PI,CASE PICK,84,2,WM
6059,3/20/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,42,1,WM
6059,3/20/2023,WM-LIVE PLANTS,598076626,6IN BLUE HYACINTH,CASE PICK,42,1,WM
6059,3/26/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6059,3/26/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,144,4,WM
6059,3/26/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,108,3,WM
6059,3/26/2023,WM-LIVE PLANTS,650487858,EG 6IN HYCAINTH PI,CASE PICK,84,2,WM
6059,3/26/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,84,2,WM
6059,3/26/2023,WM-LIVE PLANTS,598076626,6IN BLUE HYACINTH,CASE PICK,84,2,WM
6059,3/27/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,480,20,WM
6059,3/27/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,120,5,WM
6059,3/27/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,108,3,WM
6059,3/27/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,72,2,WM
6059,3/27/2023,SAMS-LIVE PLANTS,980176557,EASTER LILY,FPP, ,23,SAMS
6059,3/28/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,164,8,WM
6059,3/28/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,52,26,WM
6059,3/29/2023,WM-LIVE PLANTS,650487862,EG 6IN HYCAINTH PU,CASE PICK,84,2,WM
6059,3/29/2023,WM-LIVE PLANTS,598076626,6IN BLUE HYACINTH,CASE PICK,84,2,WM
6059,3/30/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,216,9,WM
6059,3/30/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,144,4,WM
6059,3/30/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,72,2,WM
6059,3/30/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,180,5,WM
6059,3/30/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,144,4,WM
6059,3/30/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,108,3,WM
6059,3/30/2023,WM-LIVE PLANTS,650487858,EG 6IN HYCAINTH PI,CASE PICK,126,3,WM
6059,3/31/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,696,29,WM
6059,3/31/2023,WM-CUT FLORAL,599913747,CB EAS CARN DB BC,CASE PICK,18, ,WM
6059,4/1/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,47,SAMS
6059,4/2/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6059,4/2/2023,WM-CUT FLORAL,599913746,BQ EAS LG MIX DB WC,CASE PICK,162, ,WM
6059,4/2/2023,WM-CUT FLORAL,599913747,CB EAS CARN DB BC,CASE PICK,51, ,WM
6059,4/2/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,18, ,WM
6059,4/2/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,18, ,WM
6059,4/3/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,74,SAMS
6059,4/4/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6059,4/5/2023,SAMS-CUT FLORAL,980105754,EASTER PREMIUM,FPP, ,0,SAMS
6059,4/5/2023,WM-CUT FLORAL,599913746,BQ EAS LG MIX DB WC,CASE PICK,221, ,WM
6059,4/5/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,40, ,WM
6059,4/5/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,22, ,WM
6062,3/25/2023,WM-LIVE PLANTS,658165389,EG 11OZ VIOLET,CASE PICK,220,11,WM
6062,3/26/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,224,11,WM
6062,3/26/2023,WM-LIVE PLANTS,574434435,EG 6IN EASTER LILY,CASE PICK,381,16,WM
6062,3/26/2023,WM-LIVE PLANTS,650081201,EG 6IN TULIPS,CASE PICK,883,29,WM
6062,3/26/2023,WM-LIVE PLANTS,650079047,HYACINTHS PDC,CASE PICK,251,8,WM
6062,3/27/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,20,1,WM
6062,3/27/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,97,49,WM
6062,3/30/2023,WM-LIVE PLANTS,574434435,EG 6IN EASTER LILY,CASE PICK,863,36,WM
6062,3/30/2023,WM-LIVE PLANTS,650081201,EG 6IN TULIPS,CASE PICK,2028,68,WM
6062,3/30/2023,WM-LIVE PLANTS,650079047,HYACINTHS PDC,CASE PICK,579,19,WM
6062,4/1/2023,WM-CUT FLORAL,599913745,BQ EAS LG MIX DB BC,CASE PICK,162, ,WM
6062,4/1/2023,WM-CUT FLORAL,599892479,CB EAS CARN DB FF,CASE PICK,128, ,WM
6062,4/1/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,36, ,WM
6062,4/1/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,18, ,WM
6062,4/4/2023,WM-CUT FLORAL,599913745,BQ EAS LG MIX DB BC,CASE PICK,249, ,WM
6062,4/4/2023,WM-CUT FLORAL,599908953,CB EAS CUPCK DB GF,CASE PICK,89, ,WM
6062,4/4/2023,WM-CUT FLORAL,599892480,CB EAS STRIPY DB FF,CASE PICK,14, ,WM
6064,3/18/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,240,10,WM
6064,3/20/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,96,4,WM
6064,3/20/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,72,3,WM
6064,3/20/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,36,1,WM
6064,3/20/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6064,3/20/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,108,3,WM
6064,3/20/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,72,2,WM
6064,3/20/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,36,1,WM
6064,3/26/2023,WM-LIVE PLANTS,598076627,6IN YELLOW TULIP,CASE PICK,108,3,WM
6064,3/26/2023,WM-LIVE PLANTS,650487860,EG 6IN TULIP BI,CASE PICK,36,1,WM
6064,3/26/2023,WM-LIVE PLANTS,650487857,EG 6IN TULIP PI,CASE PICK,108,3,WM
6064,3/26/2023,WM-LIVE PLANTS,650487861,EG 6IN TULIP PU,CASE PICK,108,3,WM
6064,3/26/2023,WM-LIVE PLANTS,598076626,6IN BLUE HYACINTH,CASE PICK,42,1,WM
6064,3/26/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,39,20,WM
6064,3/27/2023,WM-LIVE PLANTS,563089108,EG 6IN EASTER LILY,CASE PICK,504,21,WM
6064,3/27/2023,WM-LIVE PLANTS,577321846,EG 6IN LA LILY,CASE PICK,168,7,WM
6064,3/27/2023,WM-LIVE PLANTS,650487859,EG 6IN TULIP OR,CASE PICK,72,2,WM
6064,3/27/2023,WM-LIVE PLANTS,658455114,SPRING23HYDCASE,CASE PICK,332,17,WM
6064,3/28/2023,WM-LIVE PLANTS,658439541  ,BHG EASTER SHIPPER23,CASE PICK,54,27,WM
