Store Number,Invoice Number,Date of Invoice, Total Amount ,Out of Scope,Area of Machine,Memo,Comments
3582,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/13/2024 9:36
3572,INV168084-01255A,2/21/2025, 545.71 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 11:06
2941,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/10/2024 18:42
4512,INV168084-01255A,2/21/2025," 1,240.23 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/12/2024 5:30
4749,INV168084-01255A,2/21/2025, 376.73 ,IMPROPER HANDLING - OTHER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/6/2024 8:38
493,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/4/2024 17:57
6331,INV168084-01255A,2/21/2025, 322.08 ,IMPROPER HANDLING - OTHER,OTHER,"LOSS OF COMPONENT: Site lost unit component parts through abuse, neglect, or failure to maintain the security of the equipment.",12/10/2024 11:45
1983,INV168084-01255A,2/21/2025, 300.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/13/2024 7:31
81,INV168084-01255A,2/21/2025, 300.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/6/2024 13:25
5107,INV168084-01255A,2/21/2025, 731.59 ,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 11:28
