Region,Market,Division,Total Five Star,# of Stores 4 or Better,W+ Paid Member Goal %,AES,Sales Comp,Controllable Profit,Presub,Shrink,OPD Growth
75,289,EAST BU,4.50,1,91.3%,69,4.5%,15.8%,90.7%,-2.7%,28.8%
44,349,SOUTHWEST BU,4.57,6,97.4%,71,5.8%,16.5%,95.5%,-1.2%,26.7%
42,327,SOUTHEAST BU,4.52,4,98.0%,73,8.0%,14.9%,95.0%,-2.0%,33.8%
17,173,EAST BU,4.59,7,99.5%,70,7.4%,16.4%,92.6%,-2.4%,71.8%
6,84,SOUTHWEST BU,4.62,7,89.8%,73,5.2%,14.7%,95.5%,-1.2%,13.6%
11,137,SOUTHEAST BU,4.55,3,91.4%,70,6.7%,16.7%,94.2%,-1.4%,30.4%
29,801,SOUTHEAST BU,4.77,10,0.0%,73,8.2%,16.0%,93.3%,-1.2%,626.5%
29,811,SOUTHEAST BU,4.81,8,0.0%,78,5.9%,15.4%,93.7%,-1.0%,11457.5%
20,311,NORTH BU,4.57,4,99.5%,72,6.2%,15.3%,95.5%,-1.4%,25.8%
53,439,NORTH BU,4.50,2,96.0%,68,7.0%,17.3%,95.1%,-1.6%,29.6%
11,140,SOUTHEAST BU,4.55,2,88.5%,70,5.6%,14.0%,89.9%,-2.4%,33.2%
4,42,EAST BU,4.55,5,96.9%,66,8.1%,15.6%,92.2%,-2.1%,54.4%
20,258,NORTH BU,4.62,7,95.7%,81,6.9%,17.4%,96.2%,-0.9%,35.3%
22,166,EAST BU,4.56,1,94.6%,70,11.5%,12.1%,86.9%,-3.7%,82.2%
6,85,SOUTHWEST BU,4.61,10,94.8%,72,4.8%,15.9%,94.8%,-2.1%,22.8%
44,351,SOUTHWEST BU,4.57,4,98.8%,71,5.0%,17.1%,94.6%,-1.3%,26.2%
13,129,SOUTHWEST BU,4.66,8,92.2%,72,4.0%,14.6%,95.2%,-1.8%,40.5%
7,70,SOUTHWEST BU,4.54,3,92.3%,69,6.6%,16.4%,96.0%,-1.7%,29.8%
60,474,WEST BU,4.48,2,94.4%,63,7.5%,16.6%,93.0%,-2.6%,34.6%
42,135,SOUTHEAST BU,4.61,7,90.0%,73,6.4%,14.1%,95.0%,-1.5%,45.4%
76,320,EAST BU,4.67,10,99.3%,59,7.1%,17.3%,94.6%,-0.8%,27.7%
40,357,NORTH BU,4.46,4,99.0%,66,9.3%,17.3%,94.9%,-1.1%,36.6%
7,78,SOUTHWEST BU,4.67,10,91.0%,75,7.1%,16.9%,95.6%,-1.9%,27.8%
72,103,NHM BU,4.72,13,95.9%,84,13.8%,12.7%,94.5%,-3.2%,16.9%
41,271,NORTH BU,4.59,6,95.5%,64,6.8%,14.5%,95.2%,-2.0%,29.4%
7,88,SOUTHWEST BU,4.68,9,85.8%,78,6.4%,17.2%,95.8%,-1.4%,22.5%
64,528,NHM BU,4.74,16,93.6%,77,8.3%,12.1%,96.3%,-1.0%,-11.6%
5,76,SOUTHWEST BU,4.55,4,94.4%,71,4.4%,16.7%,94.8%,-1.7%,24.1%
42,127,SOUTHEAST BU,4.51,3,94.3%,71,7.6%,13.0%,93.3%,-2.4%,39.1%
47,407,WEST BU,4.56,5,95.9%,65,6.6%,16.4%,95.2%,-1.2%,29.2%
47,427,WEST BU,4.52,3,102.8%,69,8.0%,17.6%,92.2%,-1.8%,40.2%
41,251,NORTH BU,4.52,3,91.7%,64,6.6%,15.4%,93.4%,-2.1%,29.2%
13,141,SOUTHWEST BU,4.54,3,93.5%,73,5.6%,15.8%,90.9%,-1.9%,33.9%
4,39,EAST BU,4.62,6,92.9%,68,4.1%,15.7%,92.9%,-2.1%,41.0%
7,77,SOUTHWEST BU,4.57,4,88.4%,68,6.1%,15.2%,94.9%,-2.3%,28.6%
41,256,NORTH BU,4.57,4,94.1%,71,7.5%,15.8%,93.7%,-2.5%,25.7%
52,413,WEST BU,4.53,4,97.4%,66,7.6%,15.8%,94.4%,-1.4%,37.7%
75,312,EAST BU,4.52,2,94.2%,61,6.2%,15.8%,92.5%,-2.5%,30.6%
17,190,EAST BU,4.53,2,104.6%,63,6.8%,15.9%,94.3%,-2.0%,33.7%
7,81,SOUTHWEST BU,4.55,4,94.0%,66,2.7%,17.6%,94.7%,-1.6%,33.1%
76,194,EAST BU,4.49,1,102.0%,61,6.2%,15.4%,93.3%,-2.3%,39.4%
47,429,WEST BU,4.50,3,100.8%,64,7.6%,17.1%,93.9%,-1.4%,23.5%
13,131,SOUTHWEST BU,4.57,3,94.3%,71,4.6%,13.0%,93.2%,-2.8%,53.0%
60,469,WEST BU,4.58,6,110.3%,71,6.0%,14.1%,91.1%,-2.7%,42.3%
40,272,NORTH BU,4.53,3,100.0%,62,6.5%,15.6%,96.1%,-1.2%,30.9%
40,336,NORTH BU,4.50,3,102.8%,64,8.4%,16.9%,94.8%,-1.7%,26.7%
11,136,SOUTHEAST BU,4.53,1,89.1%,70,5.8%,15.1%,91.1%,-2.1%,41.6%
3,28,SOUTHEAST BU,4.48,2,94.5%,70,8.0%,16.5%,94.4%,-1.9%,30.2%
72,492,NHM BU,4.63,7,97.7%,74,11.4%,13.6%,95.1%,-1.6%,14.8%
7,74,SOUTHWEST BU,4.56,7,92.1%,71,4.7%,16.2%,95.1%,-1.7%,26.7%
44,350,SOUTHWEST BU,4.55,4,97.9%,68,7.7%,16.8%,94.0%,-1.9%,44.7%
13,128,SOUTHWEST BU,4.51,2,88.1%,71,3.5%,14.8%,90.9%,-2.2%,39.0%
40,361,NORTH BU,4.47,2,97.1%,61,8.4%,15.6%,93.1%,-2.1%,39.4%
7,73,SOUTHWEST BU,4.52,3,94.3%,78,10.1%,16.2%,94.2%,-1.9%,41.3%
57,394,WEST BU,4.59,6,92.9%,69,4.7%,14.1%,93.1%,-3.9%,48.3%
11,138,SOUTHEAST BU,4.57,6,89.2%,72,5.5%,14.6%,93.5%,-2.0%,39.7%
11,329,SOUTHEAST BU,4.55,3,95.5%,70,7.4%,15.7%,94.8%,-1.5%,39.8%
44,345,SOUTHWEST BU,4.51,3,92.5%,64,8.2%,17.4%,95.0%,-1.6%,34.9%
58,365,WEST BU,4.66,7,95.8%,75,7.1%,15.9%,94.9%,-1.8%,32.9%
53,440,NORTH BU,4.57,4,91.6%,68,5.6%,17.6%,95.9%,-1.2%,29.7%
40,333,NORTH BU,4.47,3,95.8%,67,8.6%,17.5%,94.2%,-1.1%,32.3%
52,415,WEST BU,4.56,5,95.6%,65,8.7%,15.6%,95.7%,-1.5%,36.7%
25,279,NORTH BU,4.47,4,104.4%,62,5.5%,15.2%,93.8%,-1.5%,28.6%
6,61,SOUTHWEST BU,4.58,6,90.5%,69,3.3%,15.6%,94.6%,-2.0%,21.8%
20,216,NORTH BU,4.51,3,99.8%,65,6.8%,18.0%,94.8%,-1.2%,37.1%
42,321,SOUTHEAST BU,4.55,5,99.9%,73,7.3%,16.9%,97.0%,-0.9%,33.3%
14,7,SOUTHEAST BU,4.54,4,96.2%,66,8.4%,16.0%,94.4%,-1.6%,38.8%
61,481,NHM BU,4.68,13,98.4%,68,7.8%,12.1%,94.7%,-1.8%,19.1%
75,314,EAST BU,4.62,5,93.2%,65,7.2%,14.8%,93.6%,-1.7%,17.0%
72,544,NHM BU,4.64,11,93.9%,72,7.9%,13.3%,94.5%,-1.7%,7.5%
25,273,NORTH BU,4.52,4,97.8%,63,5.7%,14.5%,93.7%,-2.0%,29.1%
4,300,EAST BU,4.50,4,99.1%,63,5.5%,16.9%,92.2%,-2.2%,36.9%
61,491,NHM BU,4.62,11,98.1%,69,11.8%,13.2%,95.2%,-1.5%,4.3%
14,10,SOUTHEAST BU,4.53,3,91.6%,65,5.1%,14.5%,91.9%,-1.7%,33.2%
2,21,SOUTHEAST BU,4.53,3,90.8%,69,4.9%,16.8%,93.8%,-1.9%,25.8%
64,533,NHM BU,4.67,16,92.7%,67,9.3%,13.9%,95.8%,-1.4%,-3.7%
11,11,SOUTHEAST BU,4.54,3,91.2%,69,5.4%,15.3%,92.2%,-2.0%,42.9%
53,263,NORTH BU,4.49,1,96.5%,62,5.8%,15.2%,93.3%,-1.9%,25.1%
4,310,EAST BU,4.58,5,94.0%,66,3.0%,15.8%,94.2%,-2.8%,27.1%
60,476,WEST BU,4.57,4,91.8%,63,7.6%,13.3%,93.2%,-2.9%,35.2%
12,123,SOUTHEAST BU,4.52,3,97.7%,66,8.1%,17.8%,94.1%,-1.6%,35.1%
53,436,NORTH BU,4.55,5,97.6%,67,6.1%,17.3%,94.8%,-1.2%,23.0%
41,257,NORTH BU,4.60,5,96.5%,73,7.7%,16.9%,95.4%,-1.1%,26.8%
41,243,NORTH BU,4.54,3,92.7%,72,8.1%,15.7%,94.5%,-1.8%,34.7%
7,80,SOUTHWEST BU,4.72,11,84.2%,78,6.7%,15.1%,95.5%,-1.6%,39.5%
40,360,NORTH BU,4.43,1,97.1%,62,9.1%,16.6%,93.0%,-1.9%,41.7%
16,184,EAST BU,4.51,1,99.9%,64,5.8%,17.1%,93.1%,-2.0%,56.3%
47,406,WEST BU,4.57,5,92.7%,70,6.4%,16.2%,95.6%,-1.7%,27.2%
54,389,WEST BU,4.54,2,97.2%,64,2.6%,15.1%,92.7%,-2.7%,24.1%
19,202,NORTH BU,4.47,0,96.8%,59,4.5%,16.0%,94.6%,-1.1%,29.9%
13,503,SOUTHWEST BU,4.58,6,96.5%,71,5.8%,16.9%,94.2%,-1.4%,21.1%
46,387,SOUTHWEST BU,4.50,2,100.0%,69,6.1%,16.8%,93.6%,-2.7%,27.8%
16,181,EAST BU,4.43,1,100.7%,65,8.3%,17.9%,94.9%,-2.3%,51.8%
44,344,SOUTHWEST BU,4.48,3,91.9%,66,5.1%,16.6%,93.9%,-1.4%,30.8%
19,204,NORTH BU,4.52,1,91.3%,61,3.2%,16.2%,95.7%,-1.0%,14.6%
40,335,NORTH BU,4.49,2,98.4%,62,9.6%,16.8%,95.4%,-1.6%,33.9%
40,359,NORTH BU,4.43,1,93.5%,64,8.4%,16.3%,93.5%,-1.8%,34.2%
76,228,EAST BU,4.47,0,95.5%,65,6.5%,17.3%,96.2%,-0.8%,24.7%
53,438,NORTH BU,4.50,0,97.2%,66,4.9%,17.6%,95.1%,-1.3%,19.5%
56,392,WEST BU,4.51,1,90.8%,65,3.8%,14.1%,91.5%,-4.0%,22.3%
44,347,SOUTHWEST BU,4.55,2,99.0%,73,6.1%,17.5%,95.8%,-0.9%,29.8%
42,334,SOUTHEAST BU,4.49,2,99.3%,65,10.3%,16.2%,95.8%,-1.7%,35.5%
2,30,SOUTHEAST BU,4.51,2,87.7%,65,4.4%,16.0%,92.1%,-2.1%,36.6%
41,580,NORTH BU,4.55,5,100.6%,68,6.6%,16.2%,94.9%,-1.4%,30.8%
21,239,NORTH BU,4.43,0,91.7%,65,7.4%,15.6%,94.6%,-1.9%,30.3%
54,388,WEST BU,4.57,5,100.9%,70,6.0%,16.0%,94.0%,-1.8%,31.2%
42,328,SOUTHEAST BU,4.51,3,107.5%,68,7.7%,17.9%,95.8%,-1.1%,41.7%
20,229,NORTH BU,4.50,1,95.1%,63,7.0%,17.2%,94.4%,-1.2%,41.8%
44,410,SOUTHWEST BU,4.56,2,102.9%,65,7.6%,15.8%,95.5%,-1.5%,32.0%
41,260,NORTH BU,4.48,0,92.8%,65,7.4%,15.5%,94.7%,-2.3%,31.4%
60,478,WEST BU,4.53,3,101.2%,62,5.5%,14.5%,94.0%,-2.7%,29.6%
