Store #,Walmart Week,Banner Desc,Day One Preparation Date,Day Two Install Date,Installation Arrival Time,Day Three Go Live Date,Zoom Training Call Date & Time,Zoom Training Call Link,Zoom Dial In Number,,
2834,WK36,WM Supercenter w Tethered Fuel,10/3/2021,10/4/2021,7AM - 9AM,10/5/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/91604459154?pwd=RXlmZ2RvcytNbktJb0szZkpoemlxdz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 916 0445 9154",,
3043,WK36,Neighborhood Market w Tethered fuel,10/3/2021,10/4/2021,1PM - 3PM,10/5/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/91604459154?pwd=RXlmZ2RvcytNbktJb0szZkpoemlxdz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 916 0445 9154",,
4130,WK36,WM Supercenter w Tethered Fuel,10/3/2021,10/4/2021,7AM - 9AM,10/5/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/91604459154?pwd=RXlmZ2RvcytNbktJb0szZkpoemlxdz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 916 0445 9154",,
4503,WK36,WM Supercenter w Tethered Fuel,10/3/2021,10/4/2021,7AM - 9AM,10/5/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/97863460364?pwd=cDNpTzJKbTZuQTBHUHlwb2pTNmlMQT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 978 6346 0364",,
1137,WK36,WM Supercenter w Tethered Fuel,10/4/2021,10/5/2021,7AM - 9AM,10/6/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/97863460364?pwd=cDNpTzJKbTZuQTBHUHlwb2pTNmlMQT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 978 6346 0364",,
1279,WK36,WM Supercenter w Stand Alone ACC,10/4/2021,10/5/2021,7AM - 9AM,10/6/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/97863460364?pwd=cDNpTzJKbTZuQTBHUHlwb2pTNmlMQT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 978 6346 0364",,
3169,WK36,WM Supercenter w Tethered Fuel,10/4/2021,10/5/2021,1PM - 3PM,10/6/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93470117006?pwd=N0Y4RHFHRTVxcU53THV0Wmtzb1JBZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 934 7011 7006",,
3170,WK36,WM Supercenter w Tethered Fuel,10/4/2021,10/5/2021,7AM - 9AM,10/6/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93470117006?pwd=N0Y4RHFHRTVxcU53THV0Wmtzb1JBZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 934 7011 7007",,
4416,WK36,WM Supercenter w Tethered Fuel,10/4/2021,10/5/2021,1PM - 3PM,10/6/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93470117006?pwd=N0Y4RHFHRTVxcU53THV0Wmtzb1JBZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 934 7011 7008",,
4055,WK36,WM Supercenter w Tethered Fuel,10/5/2021,10/6/2021,7AM - 9AM,10/7/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93470117006?pwd=N0Y4RHFHRTVxcU53THV0Wmtzb1JBZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 934 7011 7009",,
4512,WK36,WM Supercenter w Tethered Fuel,10/5/2021,10/6/2021,6am - 8am,10/7/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/92747265002?pwd=TnJKZGxGT2NQV2NLL3JjZTlDanNEUT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 927 4726 5002",,
4674,WK36,Neighborhood Market w Tethered fuel,10/5/2021,10/6/2021,7AM - 9AM,10/7/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/92747265002?pwd=TnJKZGxGT2NQV2NLL3JjZTlDanNEUT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 927 4726 5002",,
7310,WK36,Neighborhood Market w Tethered fuel,10/6/2021,10/7/2021,9AM - 11AM,10/8/2021,"Thursday, October 7, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/92747265002?pwd=TnJKZGxGT2NQV2NLL3JjZTlDanNEUT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 927 4726 5002",,
4104,WK37,Neighborhood Market w Tethered fuel,10/10/2021,10/11/2021,7AM - 9AM,10/12/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/91604459154?pwd=RXlmZ2RvcytNbktJb0szZkpoemlxdz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 916 0445 9154",,
6078,WK37,Neighborhood Market w Tethered fuel,10/10/2021,10/11/2021,7AM - 9AM,10/12/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/91604459154?pwd=RXlmZ2RvcytNbktJb0szZkpoemlxdz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 916 0445 9154",,
6963,WK37,WM Supercenter w Tethered Fuel,10/10/2021,10/11/2021,7AM - 9AM,10/12/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 997 2198 9428",,
6578,WK37,Neighborhood Market w Tethered fuel,10/11/2021,10/12/2021,7AM - 9AM,10/13/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/97863460364?pwd=cDNpTzJKbTZuQTBHUHlwb2pTNmlMQT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 978 6346 0364",,
7232,WK37,Neighborhood Market w Tethered fuel,10/11/2021,10/12/2021,7AM - 9AM,10/13/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/97863460364?pwd=cDNpTzJKbTZuQTBHUHlwb2pTNmlMQT09,"1(877) 853-5257 (US Toll Free), Meeting ID: 978 6346 0364",,
2463,WK37,WM Supercenter w Tethered Fuel,10/12/2021,10/13/2021,7AM - 9AM,10/14/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/91604459154?pwd=RXlmZ2RvcytNbktJb0szZkpoemlxdz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 916 0445 9154",,
