Primary,Business Domain,"Data Group 
(Sub-Domain)","Data Sub-Group 
(Business Process)",Data Classification,Data Category,Scope
English,All Domains,All Sub-Domains,Due diligences or risk assessment results (AML/ AC/ other compliance area),Highly Sensitive,Business Information,Global
English,All Domains,Background and Criminal Information,Criminal convictions and offences,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Biometric identifiers (Facial/voice biometrics data used for identification purposes),Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Gait Patterns or Rhythms,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Face,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Fingerprints,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Iris,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Palm,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Imagery of the Retina,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Keystroke Patterns or Rhythms,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Vein patterns,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Outer Ear,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Auricle,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Heart Rate,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Voice/Speech recognition,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Blood Pressure,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Body Temperature,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Meeting Recordings (Zoom Teams etc.),Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Processed Voice Recordings,Highly Sensitive,Personal Information,US
English,All Domains,Biometric Information,Voice Recordings,Highly Sensitive,Personal Information,Global
English,All Domains,Biometric Information,Raw Voice Recordings,Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Raw),Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Processed),Highly Sensitive,Personal Information,US
English,All Domains,Biometric Information,CCTV and other video-surveillance records (Raw or processed),Highly Sensitive,Personal Information,Global
English,All Domains,Controllership,Master Data,Highly Sensitive,Business Information,Global
English,All Domains,Cost,Cost Information (GFR),Highly Sensitive,Business Information,Global
English,All Domains,Cost,Cost Information (GNFR),Sensitive,Business Information,Global
English,All Domains,Demographic Information,Age,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Age,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Date of birth,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Date of birth,Sensitive,Personal Information,South Africa
English,All Domains,Demographic Information,Date of Incorporation,Highly Sensitive,Business Information,Canada
English,All Domains,Demographic Information,Date of Incorporation,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Demographic Categories / Segmentation,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Demographic Categories / Segmentation,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Family Member and Relative Information,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Family Member and Relative Information,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Family status and domestic information,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Family status and domestic information,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Height and/or weight,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Height and/or weight,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Household Income Data,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Language Skills,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Language Skills,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Number of Children,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Number of Children,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Company Member Website/URL,Non-Sensitive,Business Information,Global
English,All Domains,Device and Online Identifiers,Calendar Information,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Call Logs,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Cellular/Pager Phone Number,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Company/Member Email,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Contact/Address Book,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Mobile device identifiers (MAC address IMEI SIM etc.),Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Online identifiers (IP address Machine ID etc.),Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal email address,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Chat Addresses ,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal mobile number,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal social media username,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Social Media Profile,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal IMEI (International Mobile Equipment Identity) Number,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Business IMEI (International Mobile Equipment Identity) Number,Sensitive,Business Information,Global
English,All Domains,Device and Online Identifiers,Unique Device Identifier,Sensitive,Personal Information,Global
English,All Domains,Education Information,Academic Record,Sensitive,Personal Information,Global
English,All Domains,Education Information,Degrees and Schooling,Sensitive,Personal Information,Global
English,All Domains,Education Information,Education and Qualifications,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Corporate held Credit or Debit Card Numbers,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Grievance disciplinary and claim-related information,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Medical Questionnaire,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Permit to Work,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Permit to Work,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Reference and Background Checks,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Tax data,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Tax data,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Taxpayer Identification Number,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Taxpayer Identification Number,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Work visa status/employment authorization details,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Work visa status/employment authorization details,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Job Code,Non-Sensitive,Business Information,Global
English,All Domains,Employment Information,Occupation/Title,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Professional Memberships,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Boss/Supervisor,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Associate Discount Card usage data,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Colleague survey responses (anonymous),Sensitive,Personal Information,Global
English,All Domains,Employment Information,Colleague survey responses (identifiable),Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Communications logs related to actions but not individuals,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Company Name,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Compulsory Employee Salary Deductions,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Expenses information,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Health & safety related information and accident reporting,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Income/Salary/Service Fees/Other Compensation,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Information relating to dependents or beneficiaries,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Family dependents or beneficiary information,Sensitive,Personal Information,South Africa
English,All Domains,Employment Information,In-job education & training,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Associate employment history evaluations & disciplinary actions,Sensitive,Personal Information,South Africa
English,All Domains,Employment Information,Interviewee assessment and hiring decision,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Leave of Absence Information,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Reason for Leave of absence i,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Licenses held and related information,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Licenses and Professional Membership,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Office/Location Information,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Owners contact details,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Ownership Percentage (for Key Persons),Non-Sensitive,Personal Information,Global
English,All Domains,Employment Information,Performance?related information,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Place of work title role grade responsibilities reporting line,Sensitive,Personal Information,Global
English,All Domains,Employment Information,References,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Separation date and reason for leaving,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Skills and Achievements,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Travel information,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Visitors Log,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Voluntary Employee Salary Deductions,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Work Start Date and End Date,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Workers Compensation Claims,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Working hours,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Employment Records (including payroll attendance benefits),Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Pay and benefits information,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Payroll Data,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Payroll Data (China),Sensitive,Personal Information,China
English,All Domains,Employment information,COVID and other epidemic related records,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Organization Charts,Sensitive,Business Information,Global
English,All Domains,Ethics,Ethics cases and investigation information ,Highly Sensitive,Business Information,Global
English,All Domains,Financial Information,Full or partial track data (e.g. CVV PIN/PIN Block or Service Code); More than 10 digits of credit or debit card number†,Highly Sensitive,Personal Information,Global
English,All Domains,Financial Information,Partial credit or debit card number or financial institution account number,Sensitive,Personal Information,South Africa
English,All Domains,Financial Information,Gift Card Primary Account Number (PAN) without card brand logo,Non-Sensitive,Business Information,Global
English,All Domains,Financial Information,Inventory,Sensitive,Business Information,Global
English,All Domains,Financial Information,Sales Receivables Allowances Other Revenue,Sensitive,Business Information,Global
English,All Domains,Forecasts,Sales Advertising Sales inventory demand supply,Highly Sensitive,Business Information,Global
English,All Domains,Global Tax,Fuel Administration,Sensitive,Business Information,Global
English,All Domains,Government Identifiers,Alien Registration Number,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Driver's or Operator's License Number,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Driver's or Operator's License Number,Sensitive,Personal Information,Central America
English,All Domains,Government Identifiers,Driver's or Operator's License Number,Sensitive,Personal Information,South Africa
English,All Domains,Government Identifiers,EIN Employer Identification Number (for US-based companies) ,Highly Sensitive,Business Information,Global
English,All Domains,Government Identifiers,Government Identification Type Issuer and Number  (NI No. Passport No. Driving License No. NHS No. SSN SIN),Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Government Identification Type Issuer and Number  (NI No. Passport No. Driving License No. Public Health Service No. ),Sensitive,Personal Information,Central America
English,All Domains,Government Identifiers,Government Identification Type Issuer and Number  (NI No. Passport No. Driving License No. Public Health Service No. ),Sensitive,Personal Information,Mexico
English,All Domains,Government Identifiers,Government Sponsored Health or Food Plan Identifier,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,National ID,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,National ID,Sensitive,Personal Information,Central America
English,All Domains,Government Identifiers,National Identifiers for Professional Licenses,Sensitive,Personal Information,Global
