Market,Region,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
1,14,853,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,853,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
1,14,853,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
1,14,853,233,Tablets,,,4 feet,Moved tablets to the table
1,14,866,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,866,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
1,14,866,233,Tablets,,,4 feet,Moved tablets to the table
1,14,866,267,Tonies,,,4 feet,Repurposed tablet – footage
1,14,866,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
1,14,904,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
1,14,904,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,904,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
1,14,904,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
1,14,904,233,Tablets,,,4 feet,Moved tablets to the table
1,14,934,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
1,14,934,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
1,14,991,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,991,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
1,14,991,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
1,14,991,233,Tablets,,,4 feet,Moved tablets to the table
1,14,1212,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
1,14,1212,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,1212,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
1,14,1212,233,Tablets,,,8 feet,Moved tablets to the table
1,14,1212,267,Tonies,,,8 feet,Repurposed tablet – footage
1,14,1212,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
1,14,2748,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,2748,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
1,14,2748,233,Tablets,,,4 feet,Moved tablets to the table
1,14,2748,267,Tonies,,,4 feet,Repurposed tablet – footage
1,14,2748,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
1,14,4333,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
1,14,4333,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
1,14,4333,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
1,14,4581,100,Laptops,12 feet,28,16 feet,Increasing laptop footage
1,14,4581,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
1,14,5174,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
1,14,5174,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
1,14,5174,233,Tablets,,,4 feet,Moved tablets to the table
1,14,5174,267,Tonies,,,4 feet,Repurposed tablet – footage
1,14,5174,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
1,14,6173,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
