Store + Sequence,City,State,,,Add Hollow Metal Exterior Door to Breakroom (CI31669) SC/D1,Add HDPE Insulated Interior Door to Breakroom (CI31669) SC/D1, Interior Door impacts Entertainment. Yes or No                       (3rd Party sent for TV Wall Cabling),Add Hollow Metal Door to Breakroom (CI 31701) WNM,Add HDPE Insulated Interior Door to Breakroom (CI 31701)  WNM,Revise Breakroom Door Hardware CI31941,"Add Hollow Metal Exterior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)","Add HDPE Insulated Interior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)",Add Hollow Metal Exterior Door - Occupied Tenant CI31807,Add HDPE Interior  Door - Occupied Tenant CI31807,Add  In-lane Door to  In-Lane Money Center / Cosmetic Bullpens CI31624,Add Hollow Metal Exterior Door to Liquor Tenant CI31682,Add HDPE Interior Door to Liquor Tenant CI31682, Revise Alarm for ACC Door Yes or No CI31733,Hardware Only (existing Door) Vision Center CI31768,Add Exterior Door (Outswing) Vision Center CI31768,Add Interior Door (Inswing)  Vision Center CI31768,,,,,,,,,,,,,
2,HARRISON,AR,9/8/2024,10/4/2024,0,1,No,0,0,0,0,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
4,SILOAM SPRINGS,AR,9/1/2024,9/27/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
5,CONWAY,AR,9/15/2024,10/11/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,2,0,0,,,,,,,,,,,,,
7,SHERWOOD,AR,9/15/2024,10/11/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
8,MORRILTON,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
11,MOUNTAIN HOME,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
11,MOUNTAIN HOME,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,No,1,1,1,,,,,,,,,,,,,
14,LEBANON,MO,9/29/2024,10/27/2024,0,1,No,0,0,0,1,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
16,VAN BUREN,AR,9/8/2024,10/4/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
24,JACKSONVILLE,AR,9/22/2024,10/20/2024,0,1,No,0,0,0,1,0,1,0,1,0,0,Yes,1,1,0,,,,,,,,,,,,,
33,NASHVILLE,AR,9/29/2024,10/25/2024,1,1,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
36,PARAGOULD,AR,9/15/2024,10/11/2024,0,1,Yes,0,0,0,1,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
37,FARMINGTON,MO,9/29/2024,10/25/2024,1,2,No,1,0,0,1,0,1,0,0,1,0,Yes,1,1,0,,,,,,,,,,,,,
52,HOT SPRINGS,AR,10/6/2024,11/1/2024,0,1,Yes,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
54,SPRINGDALE,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,1,1,0,0,1,1,0,No,1,0,0,,,,,,,,,,,,,
54,SPRINGDALE,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,1,1,0,0,1,1,0,No,1,0,1,,,,,,,,,,,,,
65,SULLIVAN,MO,10/6/2024,11/3/2024,0,1,No,0,0,0,1,0,0,0,0,1,0,Yes,0,0,0,,,,,,,,,,,,,
66,CLARKSVILLE,AR,10/6/2024,11/1/2024,1,,N,,,,1,1 & ALCOVE,,,,,,Yes,1,,,,,,,,,,,,,,,
67,MENA,AR,10/6/2024,11/1/2024,0,1,No,0,0,0,0,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
83,MAGNOLIA,AR,9/22/2024,10/18/2024,1,0,No,0,0,0,2,1,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
85,BENTON,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,0,1,1,0,1,0,0,Yes,1,0,1,,,,,,,,,,,,,
96,HARRISONVILLE,MO,10/6/2024,11/3/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
100,BENTONVILLE,AR,9/1/2024,9/27/2024,0,2,No,0,0,0,1,0,1,1,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
111,CHANUTE,KS,9/22/2024,10/20/2024,1,0,No,0,0,0,0,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
119,BATESVILLE,AR,9/22/2024,10/18/2024,0,0,No,0,0,0,2,0,0,1,0,0,0,No,1,0,0,,,,,,,,,,,,,
119,BATESVILLE,AR,9/22/2024,10/18/2024,0,0,No,0,0,0,2,0,0,1,0,0,0,No,1,0,1,,,,,,,,,,,,,
125,FORT SMITH,AR,9/22/2024,10/18/2024,0,1,No,0,0,0,1,0,0,0,0,2,0,No,1,0,0,,,,,,,,,,,,,
125,FORT SMITH,AR,9/22/2024,10/18/2024,0,1,No,0,0,0,1,0,0,0,0,2,0,No,1,0,1,,,,,,,,,,,,,
126,LITTLE ROCK,AR,9/22/2024,10/18/2024,0,1,Yes,0,0,0,2,0,0,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
127,MALVERN,AR,9/22/2024,10/18/2024,0,1,No,0,0,0,1,0,0,1,1,0,0,Yes,0,1,0,,,,,,,,,,,,,
138,SPRINGFIELD,MO,9/15/2024,10/13/2024,0,1,No,0,0,0,1,0,0,1,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
141,FORT SMITH,AR,9/22/2024,10/18/2024,0,1,No,0,0,0,1,1,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
144,FAYETTEVILLE,AR,9/22/2024,10/18/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
157,SEARCY,AR,9/29/2024,10/25/2024,0,2,No,0,0,0,1,0,0,0,1,0,0,Yes,0,1,0,,,,,,,,,,,,,
