Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
1,WM SUPERCENTER,2110 W WALNUT ST ROGERS AR 72756,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,323 - DARRELL ARNOLD,SCOTT MCMILLAN,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
2,WM SUPERCENTER,161 N WALMART DR HARRISON AR, ,42 - DAVID CARMON,322 - SHEILA INGLE,AUSTIN VASQUEZ,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
3,WM SUPERCENTER,30983 HIGHWAY 441 S COMMERCE GA,SOUTHEAST BU - NICK BERKELEY,2 - SEAN REAL,21 - LORAN FARLOW,CAREY MCKENNEY,3388,1400 LAWRENCEVILLE HWY LAWRENCEVILLE GA 30044,(470) 219-6634,JANAE WILLIAMS,Judy Wilson,Kimberly Austin,Sherry Brown,The academy is located in the back stockroom. Enter through the doors behind Entertainment and turn left.
4,WM SUPERCENTER,2901 HIGHWAY 412 E SILOAM SPRINGS AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,323 - DARRELL ARNOLD,ASHLIE BOLIN,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
5,WM SUPERCENTER,1155 HWY 65 NORTH CONWAY AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,326 - HAROLD REYNOLDS,RYAN PETERS,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
6,HOME OFFICE,702 SW 8TH ST BENTONVILLE AR,RETAIL - ADMIN SUBDIVISION X - ,98 - N/A,998 - N/A,N/A,,,,,,,,
7,WM SUPERCENTER,9053 HIGHWAY 107 SHERWOOD AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,326 - HAROLD REYNOLDS,CHRISTOPHER MALONE,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
8,WM SUPERCENTER,1621 NORTH BUSINESS 9 MORRILTON AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,326 - HAROLD REYNOLDS,JOSHUA AICH,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
9,WM SUPERCENTER,1303 S MAIN ST SIKESTON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,DAVE AVERY,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
10,WM SUPERCENTER,2020 S MUSKOGEE AVE TAHLEQUAH OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,PATRICK PILANT,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
11,WM SUPERCENTER,65 WALMART DR MOUNTAIN HOME AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,328 - JEFF WARD,DOUGLAS RICHARD,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
12,WM SUPERCENTER,1500 S LYNN RIGGS BLVD CLAREMORE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,WILLIAM RITTER,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
13,WM SUPERCENTER,2705 GRAND AVE CARTHAGE MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,LORI LETTS,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
14,WM SUPERCENTER,1800 S JEFFERSON AVE LEBANON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,CARRIE ASHWORTH,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
15,WM SUPERCENTER,1310 PREACHER ROE BLVD WEST PLAINS MO,NORTH BU - GLENDA FLEMING WILLIS,40 - N/A,333 - KYLE MANN,TRAVIS RECTOR,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
16,WM SUPERCENTER,2214 FAYETTEVILLE RD VAN BUREN AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,321 - JAMES PHILLIPS,JARED CLARK,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
