Store,Supplier ,Tracking Number,Service type ,Ship date ,Status ,Delivered date,Status with details 
3179,Orora Visual,413977432460,https://www.fedex.com/fedextrack/?trknbr=413977432460&trkqual=12028~413977432460~FDEG,10/25/2024,Delivered,10/27/2024,"Delivered: 10/27/2024 12:36 pm Signed for by:JJACKIE; Newbury Park, CA"
3629,Orora Visual,413977430206,https://www.fedex.com/fedextrack/?trknbr=413977430206&trkqual=12028~413977430206~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:31 am Signed for by:BAGUSTIO; Port Orange, FL"
3817,Orora Visual,413977430217,https://www.fedex.com/fedextrack/?trknbr=413977430217&trkqual=12028~413977430217~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:10 pm Signed for by:EMYDI; Orlando, FL"
3862,Orora Visual,413977430228,https://www.fedex.com/fedextrack/?trknbr=413977430228&trkqual=12028~413977430228~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:10 pm Signed for by:CSMITH; Daytona Beach, FL"
3935,Orora Visual,413977430239,https://www.fedex.com/fedextrack/?trknbr=413977430239&trkqual=12028~413977430239~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:54 pm Signed for by:EELBIA; Homestead, FL"
4140,Orora Visual,413977430240,https://www.fedex.com/fedextrack/?trknbr=413977430240&trkqual=12028~413977430240~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:58 am Signed for by:PPINOLAY; Miami, FL"
4142,Orora Visual,413977430261,https://www.fedex.com/fedextrack/?trknbr=413977430261&trkqual=12028~413977430261~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:49 pm Signed for by:YYUSI; Orlando, FL"
4159,Orora Visual,413977430272,https://www.fedex.com/fedextrack/?trknbr=413977430272&trkqual=12028~413977430272~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:43 am Signed for by:NGONZALEZ; Kissimmee, FL"
4160,Orora Visual,413977430283,https://www.fedex.com/fedextrack/?trknbr=413977430283&trkqual=12028~413977430283~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:33 pm Signed for by:TTREZ; Orlando, FL"
4197,Orora Visual,413977430294,https://www.fedex.com/fedextrack/?trknbr=413977430294&trkqual=12028~413977430294~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:03 pm Signed for by:EEVELIO; Orlando, FL"
4211,Orora Visual,413977430309,https://www.fedex.com/fedextrack/?trknbr=413977430309&trkqual=12028~413977430309~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:54 pm Signed for by:MHILDA; Orlando, FL"
4354,Orora Visual,413977430310,https://www.fedex.com/fedextrack/?trknbr=413977430310&trkqual=12028~413977430310~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:04 am; Naples, FL; Left in mail room.Signature Service not requested."
4380,Orora Visual,413977430320,https://www.fedex.com/fedextrack/?trknbr=413977430320&trkqual=12028~413977430320~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:48 pm Signed for by:DDOROTBY; Coral Springs, FL"
4425,Orora Visual,413977430331,https://www.fedex.com/fedextrack/?trknbr=413977430331&trkqual=12028~413977430331~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:45 am Signed for by:SCLEMENTE; Orlando, FL"
4434,Orora Visual,413977430342,https://www.fedex.com/fedextrack/?trknbr=413977430342&trkqual=12028~413977430342~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:30 am Signed for by:NNACY; Ocala, FL"
4441,Orora Visual,413977430353,https://www.fedex.com/fedextrack/?trknbr=413977430353&trkqual=12028~413977430353~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:55 am Signed for by:AASHLEY; West Palm Beach, FL"
4560,Orora Visual,413977430386,https://www.fedex.com/fedextrack/?trknbr=413977430386&trkqual=12028~413977430386~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:55 am Signed for by:JZUNILDA; West Palm Beach, FL"
4561,Orora Visual,413977430397,https://www.fedex.com/fedextrack/?trknbr=413977430397&trkqual=12028~413977430397~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:48 am Signed for by:DGHH; Jacksonville, FL"
4563,Orora Visual,413977430401,https://www.fedex.com/fedextrack/?trknbr=413977430401&trkqual=12028~413977430401~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:21 am Signed for by:JJEOVAESSA; Dania Beach, FL"
4565,Orora Visual,413977430412,https://www.fedex.com/fedextrack/?trknbr=413977430412&trkqual=12028~413977430412~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:00 pm Signed for by:MCRESPO; The Villages, FL"
4595,Orora Visual,413977430423,https://www.fedex.com/fedextrack/?trknbr=413977430423&trkqual=12028~413977430423~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:25 pm Signed for by:MMIRTA; Fort Lauderdale, FL"
4617,Orora Visual,413977430434,https://www.fedex.com/fedextrack/?trknbr=413977430434&trkqual=12028~413977430434~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:43 am Signed for by:JJAN; Pompano Beach, FL"
4826,Orora Visual,413977430456,https://www.fedex.com/fedextrack/?trknbr=413977430456&trkqual=12028~413977430456~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:01 pm Signed for by:MVALDES; Hollywood, FL"
5005,Orora Visual,413977430467,https://www.fedex.com/fedextrack/?trknbr=413977430467&trkqual=12028~413977430467~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:35 am Signed for by:WWALMART; Jacksonville, FL"
5106,Orora Visual,413977430478,https://www.fedex.com/fedextrack/?trknbr=413977430478&trkqual=12028~413977430478~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:36 pm Signed for by:GGWEN; Oviedo, FL"
5132,Orora Visual,413977430489,https://www.fedex.com/fedextrack/?trknbr=413977430489&trkqual=12028~413977430489~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:41 pm Signed for by:CCHARLIE; Winter Springs, FL"
5179,Orora Visual,413977430490,https://www.fedex.com/fedextrack/?trknbr=413977430490&trkqual=12028~413977430490~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:33 am Signed for by:LSIDS; Orlando, FL"
5265,Orora Visual,413977430526,https://www.fedex.com/fedextrack/?trknbr=413977430526&trkqual=12028~413977430526~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:17 am Signed for by:DDONE; Saint Cloud, FL"
5321,Orora Visual,413977430537,https://www.fedex.com/fedextrack/?trknbr=413977430537&trkqual=12028~413977430537~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:56 pm Signed for by:MMELISSA; Fort Myers, FL"
5451,Orora Visual,413977430560,https://www.fedex.com/fedextrack/?trknbr=413977430560&trkqual=12028~413977430560~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:42 am Signed for by:MREZPOCRESPO; Cape Coral, FL"
5453,Orora Visual,413977430570,https://www.fedex.com/fedextrack/?trknbr=413977430570&trkqual=12028~413977430570~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:38 am Signed for by:MMARK; Cape Coral, FL"
5615,Orora Visual,413977430581,https://www.fedex.com/fedextrack/?trknbr=413977430581&trkqual=12028~413977430581~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:04 am Signed for by:KKARI; Hialeah, FL"
5622,Orora Visual,413977430592,https://www.fedex.com/fedextrack/?trknbr=413977430592&trkqual=12028~413977430592~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:59 pm Signed for by:SRUIZ; Riverview, FL"
5704,Orora Visual,413977430629,https://www.fedex.com/fedextrack/?trknbr=413977430629&trkqual=12028~413977430629~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:31 am Signed for by:MHEATHER; Port Saint Lucie, FL"
5719,Orora Visual,413977430630,https://www.fedex.com/fedextrack/?trknbr=413977430630&trkqual=12028~413977430630~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:09 am Signed for by:AJARDINES; Miami, FL"
5741,Orora Visual,413977430640,https://www.fedex.com/fedextrack/?trknbr=413977430640&trkqual=12028~413977430640~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:07 pm Signed for by:SCHRISTOPHER; Orlando, FL"
5758,Orora Visual,413977430651,https://www.fedex.com/fedextrack/?trknbr=413977430651&trkqual=12028~413977430651~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:36 am Signed for by:TAMY; Lake Worth, FL"
5759,Orora Visual,413977430662,https://www.fedex.com/fedextrack/?trknbr=413977430662&trkqual=12028~413977430662~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:21 pm Signed for by:OOREGON; Lake Worth, FL"
5816,Orora Visual,413977430684,https://www.fedex.com/fedextrack/?trknbr=413977430684&trkqual=12028~413977430684~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:03 pm Signed for by:JTHOMAS; Jacksonville, FL"
5817,Orora Visual,413977430695,https://www.fedex.com/fedextrack/?trknbr=413977430695&trkqual=12028~413977430695~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:36 pm Signed for by:VHUTES; Jacksonville, FL"
5818,Orora Visual,413977430700,https://www.fedex.com/fedextrack/?trknbr=413977430700&trkqual=12028~413977430700~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:11 pm; Jacksonville, FL; Left in lobby/vestibule.Signature Service not requested."
5819,Orora Visual,413977430710,https://www.fedex.com/fedextrack/?trknbr=413977430710&trkqual=12028~413977430710~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 4:47 pm Signed for by:RREGINE; Saint Johns, FL"
5820,Orora Visual,413977430721,https://www.fedex.com/fedextrack/?trknbr=413977430721&trkqual=12028~413977430721~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:47 am Signed for by:DBRYANT; Middleburg, FL"
5826,Orora Visual,413977430732,https://www.fedex.com/fedextrack/?trknbr=413977430732&trkqual=12028~413977430732~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:22 pm Signed for by:VVENTURES; Brandon, FL"
5831,Orora Visual,413977430743,https://www.fedex.com/fedextrack/?trknbr=413977430743&trkqual=12028~413977430743~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:16 pm Signed for by:MNADINE; Largo, FL"
5846,Orora Visual,413977430754,https://www.fedex.com/fedextrack/?trknbr=413977430754&trkqual=12028~413977430754~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:47 pm Signed for by:RBRITHANY; Kissimmee, FL"
5875,Orora Visual,413977430765,https://www.fedex.com/fedextrack/?trknbr=413977430765&trkqual=12028~413977430765~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:55 am Signed for by:ZRUIZ; Orlando, FL"
5876,Orora Visual,413977430776,https://www.fedex.com/fedextrack/?trknbr=413977430776&trkqual=12028~413977430776~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 4:00 pm Signed for by:DHARRIS; Dunedin, FL"
5988,Orora Visual,413977430798,https://www.fedex.com/fedextrack/?trknbr=413977430798&trkqual=12028~413977430798~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:23 pm Signed for by:RECLER; Orlando, FL"
6149,Orora Visual,413977430802,https://www.fedex.com/fedextrack/?trknbr=413977430802&trkqual=12028~413977430802~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:27 pm Signed for by:CCARABAYO; Orlando, FL"
