Last Published By,Last Published Date,Last Modified Date,Last Modified By,Published Status,Name,Parent Path,Page Link,Author Link
rtadcoc,1/24/2020,1/24/2020,rtadcoc,Active,div10_qi_guidelines_v3.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/quality-improvement/just-culture,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/quality-improvement/just-culture/div10_qi_guidelines_v3.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/quality-improvement/just-culture/div10_qi_guidelines_v3.pdf"">Author Link</a>"
nlmix,1/15/2020,1/15/2020,nlmix,Active,Div_10_LF_SF_Alignment.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Div_10_LF_SF_Alignment.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Div_10_LF_SF_Alignment.pdf"">Author Link</a>"
rtadcoc,8/12/2020,8/12/2020,rtadcoc,Active,CLIs VRI FAQs_.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/CLIs%20VRI%20FAQs_.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/CLIs VRI FAQs_.pdf"">Author Link</a>"
nlmix,4/2/2020,4/2/2020,nlmix,Active,Zero_Pay_Receipt_POS.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Zero_Pay_Receipt_POS.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Zero_Pay_Receipt_POS.pdf"">Author Link</a>"
rtadcoc,11/19/2020,11/19/2020,rtadcoc,Active,Transfer_Out_Best_Practices.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Transfer_Out_Best_Practices.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Transfer_Out_Best_Practices.pdf"">Author Link</a>"
rtadcoc,8/12/2020,8/12/2020,rtadcoc,Active,Never Published,Never Published,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/HW_VRI_User_Instruction_Guide.pdf"">Page Link</a>","<a href=""Never Published/Never Published"">Author Link</a>"
nlmix,3/10/2020,2/6/2019,admin,Active,div10_scriptalk_pt_approval.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/div10_scriptalk_pt_approval.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/div10_scriptalk_pt_approval.pdf"">Author Link</a>"
rtadcoc,9/8/2020,9/8/2020,rtadcoc,Active,Digital IMZ Scheduling PQCF User Guide V2.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Digital%20IMZ%20Scheduling%20PQCF%20User%20Guide%20V2.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/supporting/Digital IMZ Scheduling PQCF User Guide V2.pdf"">Author Link</a>"
srountr,9/9/2020,9/9/2020,srountr,Active,PR_Perpetual_Inventory_CII_Form.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/procedures-logs-guides,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/procedures-logs-guides/PR_Perpetual_Inventory_CII_Form.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/procedures-logs-guides/PR_Perpetual_Inventory_CII_Form.pdf"">Author Link</a>"
srountr,12/16/2020,12/16/2020,srountr,Active,Drive_Thru_Maintenance_Sign.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/project-stores-signing,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/project-stores-signing/Drive_Thru_Maintenance_Sign.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/operations/project-stores-signing/Drive_Thru_Maintenance_Sign.pdf"">Author Link</a>"
srountr,12/30/2020,12/30/2020,srountr,Active,BS_California_2021_info_sheet.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans/BS_California_2021_info_sheet.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans/BS_California_2021_info_sheet.pdf"">Author Link</a>"
srountr,12/30/2020,12/30/2020,srountr,Active,BS_California_New_Implementation_Medicaid_2021.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans/BS_California_New_Implementation_Medicaid_2021.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans/BS_California_New_Implementation_Medicaid_2021.pdf"">Author Link</a>"
srountr,12/30/2020,12/30/2020,srountr,Active,BS_California_New_Implementation_Information_2021.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans/BS_California_New_Implementation_Information_2021.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/carrier-plans/BS_California_New_Implementation_Information_2021.pdf"">Author Link</a>"
nlmix,3/16/2020,3/16/2020,nlmix,Active,GoodRx_Universal_BIN.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/billing-tools,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/billing-tools/GoodRx_Universal_BIN.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/billing-tools/GoodRx_Universal_BIN.pdf"">Author Link</a>"
srountr,9/3/2020,9/3/2020,srountr,Active,CCNVA_New_Implementation_Region_2_and_3.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/CCNVA_New_Implementation_Region_2_and_3.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/CCNVA_New_Implementation_Region_2_and_3.pdf"">Author Link</a>"
srountr,9/3/2020,9/3/2020,srountr,Active,CCNVA_Vaccine_Administration.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/CCNVA_Vaccine_Administration.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/CCNVA_Vaccine_Administration.pdf"">Author Link</a>"
srountr,3/19/2020,3/19/2020,srountr,Active,GoodRx_Universal_BIN.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/GoodRx_Universal_BIN.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/GoodRx_Universal_BIN.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Medicare_health_plan_options_letter_second_notice.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/Medicare_health_plan_options_letter_second_notice.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/Medicare_health_plan_options_letter_second_notice.pdf"">Author Link</a>"
