Market,Region,Store Number,Store City,Store State,Zip Code,Contact Name,Vendor Name,Vendor Number,Phone Number,Notes 1,Notes 2,Notes 3  - none,,,
1,3,2748,GULF SHORES,AL,36542,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
1,3,1212,SARALAND,AL,36571,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
1,3,5174,SEMMES,AL,36575,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
1,3,2748,GULF SHORES,AL,36542,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1,3,853,MOBILE,AL,36695,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1,3,866,MOBILE,AL,36619,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1,3,991,MOBILE,AL,36606,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1,3,4581,MOBILE,AL,36695,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
1,3,934,DAPHNE,AL,36526,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,4333,FAIRHOPE,AL,36532,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,904,FOLEY,AL,36535,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,853,MOBILE,AL,36695,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,866,MOBILE,AL,36619,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,991,MOBILE,AL,36606,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,4581,MOBILE,AL,36695,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
1,3,6173,ROBERTSDALE,AL,36567,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
2,14,5113,PELL CITY,AL,35125,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
2,14,1158,BIRMINGHAM,AL,35214,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2,14,1711,BIRMINGHAM,AL,35210,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2,14,1201,GARDENDALE,AL,35071,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2,14,562,LEEDS,AL,35094,David Ganus,GANUS FARMS,392576,205-807-1413,Same Day DELIVERY if ordered by 8am,,,,,
2,14,762,BIRMINGHAM,AL,35206,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
2,14,315,ONEONTA,AL,35121,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,,,,,
2,14,2723,SUMITON,AL,35148,Bill Ganus,William L Ganus Produce ,74641,205-908-9358 / 205-429-3747,Same Day DELIVERY if ordered by 8am,15 case minimum,,,,
3,14,316,ATTALLA,AL,35954,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
3,14,5126,CENTRE,AL,35960,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
3,14,691,FORT PAYNE,AL,35968,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
3,14,301,GADSDEN,AL,35903,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
3,14,300,JACKSONVILLE,AL,36265,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
