Store,SHRED PICKUP DATE,Service  Hours,Storage Vendor,Shred Pallet  Count
1,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
2,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
3,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),1
4,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
5,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
7,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),2
9,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
10,TBD,TBD,TBD,WAITING ON SUBMISSION
11,5/5/2023,7 am - 6 pm,Vital Records Control (VRC),2
12,TBD,TBD,TBD,WAITING ON SUBMISSION
13,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),1
14,6/9/2023,7 am - 6 pm,Vital Records Control (VRC),1
15,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
16,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
17,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
18,TBD,TBD,TBD,WAITING ON SUBMISSION
19,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
20,6/28/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
21,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
22,TBD,TBD,TBD,WAITING ON SUBMISSION
23,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
24,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),2
25,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),1
26,3/20/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
27,5/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
28,TBD,TBD,TBD,WAITING ON SUBMISSION
29,5/17/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
30,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
31,TBD,TBD,TBD,WAITING ON SUBMISSION
32,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
33,TBD,TBD,TBD,WAITING ON SUBMISSION
34,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),1
35,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
36,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
37,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),1
38,TBD,TBD,TBD,WAITING ON SUBMISSION
39,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),1
40,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
41,TBD,TBD,TBD,WAITING ON SUBMISSION
42,TBD,TBD,TBD,WAITING ON SUBMISSION
43,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
44,TBD,TBD,TBD,WAITING ON SUBMISSION
45,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
