Walmart Store Number,Tracking Number,Ship date ,Status ,Delivered date,Service type ,Shipper company ,Recipient,Recipient address ,Recipient state ,Recipient postal ,Received by ,Scheduled delivery date ,Status with details ,,,,,,
605,732792779074,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,1955 E MONTGOMERY XRD,GA,31406,SWALKER,,"Delivered: 3/22/2024 11:42 am Signed for by:SWALKER; Savannah, GA",,,,,,
606,732792779085,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,4725 US HIGHWAY 80 E,GA,31410,WWALMART,,"Delivered: 3/22/2024 11:42 am Signed for by:WWALMART; Savannah, GA",,,,,,
635,732792779096,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,6000 OGEECHEE RD,GA,31419,GGREEN,,"Delivered: 3/22/2024 10:59 am Signed for by:GGREEN; Savannah, GA",,,,,,
754,732792779100,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,147 NORTHSIDE DR E,GA,30458,JJAY,,"Delivered: 3/22/2024 9:51 am Signed for by:JJAY; Statesboro, GA",,,,,,
862,732792779111,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,751 W OGLETHORPE HWY,GA,31313,CBENTLEY,,"Delivered: 3/22/2024 12:12 pm Signed for by:CBENTLEY; Hinesville, GA",,,,,,
1011,732792779133,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,434 S COLUMBIA AVE,GA,31326,CCATHY,,"Delivered: 3/22/2024 10:18 am Signed for by:CCATHY; Rincon, GA",,,,,,
1061,732792779144,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,136 E JARMAN ST,GA,31539,YSAUNDERS,,"Delivered: 3/22/2024 11:56 am Signed for by:YSAUNDERS; Hazlehurst, GA",,,,,,
2630,732792779155,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,1100 N 1ST ST,GA,31545,APURRCELL,,"Delivered: 3/22/2024 12:44 pm Signed for by:APURRCELL; Jesup, GA",,,,,,
2860,732792779166,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,160 POOLER PKWY,GA,31322,TNOEL,,"Delivered: 3/22/2024 10:16 am Signed for by:TNOEL; Pooler, GA",,,,,,
4556,732792779177,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,14030 ABERCORN ST,GA,31419,,,"Delivered: 3/22/2024 11:12 am; Savannah, GA; Left at office/leasing.Signature Service not requested.",,,,,,
5392,732792779188,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,980 W PARKER ST,GA,31513,NNEHL,,"Delivered: 3/22/2024 2:39 pm Signed for by:NNEHL; Baxley, GA",,,,,,
593,732792779339,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,1450 BOWENS MILL RD SE,GA,31533,BBURGESS,,"Delivered: 3/22/2024 9:55 am Signed for by:BBURGESS; Douglas, GA",,,,,,
858,732792779340,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,361 8TH AVE NE,GA,39828,LGARLAND,,"Delivered: 3/22/2024 10:38 am Signed for by:LGARLAND; Cairo, GA",,,,,,
889,732792779350,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,15328 US HIGHWAY 19 S,GA,31757,RWHITTAKER,,"Delivered: 3/22/2024 11:12 am Signed for by:RWHITTAKER; Thomasville, GA",,,,,,
5422,732792779361,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,500 E ALICE ST,GA,39819,WKING,,"Delivered: 3/22/2024 12:08 pm Signed for by:WKING; Bainbridge, GA",,,,,,
5335,732792781085,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,250 WILDCAT DR,CA,92227,AGRIJALVA,,"Delivered: 3/22/2024 10:05 am Signed for by:AGRIJALVA; Brawley, CA",,,,,,
599,732792781177,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,3200 FORT HENRY DR,TN,37664,KKACEE,,"Delivered: 3/22/2024 12:24 pm Signed for by:KKACEE; Kingsport, TN",,,,,,
680,732792781188,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,3755 E ANDREW JOHNSON HWY,TN,37745,KAI,,"Delivered: 3/22/2024 12:33 pm Signed for by:KAI; Greeneville, TN",,,,,,
3234,732792781203,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,4331 HIGHWAY 66 S,TN,37857,JJORDAN,,"Delivered: 3/22/2024 9:37 am Signed for by:JJORDAN; Rogersville, TN",,,,,,
3852,732792781214,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,110 ROCKY BOTTOM DR,TN,37692,SJOHNSON,,"Delivered: 3/22/2024 9:44 am Signed for by:SJOHNSON; Unicoi, TN",,,,,,
488,732792781534,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,1940 PAT THOMAS PKWY,FL,32351,ZKELLY,,"Delivered: 3/22/2024 11:43 am Signed for by:ZKELLY; Quincy, FL",,,,,,
1077,732792781545,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,3535 APALACHEE PKWY,FL,32311,QKENNON,,"Delivered: 3/22/2024 10:15 am Signed for by:QKENNON; Tallahassee, FL",,,,,,
1223,732792781556,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,5500 THOMASVILLE RD,FL,32312,AWALMART,,"Delivered: 3/22/2024 10:16 am Signed for by:AWALMART; Tallahassee, FL",,,,,,
1408,732792781567,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,4400 W TENNESSEE ST,FL,32304,CDENNEY,,"Delivered: 3/22/2024 9:23 am Signed for by:CDENNEY; Tallahassee, FL",,,,,,
3307,732792781578,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,35 MIKE STEWART,FL,32327,TTRISH,,"Delivered: 3/22/2024 11:09 am Signed for by:TTRISH; Crawfordville, FL",,,,,,
4427,732792781589,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,3221 N MONROE ST,FL,32303,TJAMES,,"Delivered: 3/22/2024 11:00 am Signed for by:TJAMES; Tallahassee, FL",,,,,,
5172,732792781590,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,1900 S JEFFERSON ST,FL,32348,RPRIDGEON,,"Delivered: 3/22/2024 12:00 pm Signed for by:RPRIDGEON; Perry, FL",,,,,,
1474,732792782839,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,2900 S PACIFIC AVE,AZ,85365,ZZAWKO,,"Delivered: 3/22/2024 9:58 am Signed for by:ZZAWKO; Yuma, AZ",,,,,,
4325,732792782840,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,8151 E 32ND ST,AZ,85365,GGONZALEZ,,"Delivered: 3/22/2024 8:59 am Signed for by:GGONZALEZ; Yuma, AZ",,,,,,
4337,732792782850,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,1613 N MAIN ST,AZ,85349,AALEJANDRE,,"Delivered: 3/22/2024 11:15 am Signed for by:AALEJANDRE; San Luis, AZ",,,,,,
4543,732792782861,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,100 W RIVERSIDE DR,AZ,85344,FBOOTH,,"Delivered: 3/22/2024 10:44 am Signed for by:FBOOTH; Parker, AZ",,,,,,
5342,732792782872,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,2501 S AVENUE B,AZ,85364,RRCRUISE,,"Delivered: 3/22/2024 9:40 am Signed for by:RRCRUISE; Yuma, AZ",,,,,,
2089,732792788642,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,13245 LEE HWY,VA,24202,WWALLACE,,"Delivered: 3/22/2024 11:28 am Signed for by:WWALLACE; Bristol, VA",,,,,,
2761,732792788686,3/20/24,Delivered,3/22/24,FedEx Ground,ORORA VISUAL MESQUITE,Walmart,13320 G.C. PEERY HWY,VA,24637,CHELTON,,"Delivered: 3/22/2024 12:51 pm Signed for by:CHELTON; Pounding Mill, VA",,,,,,
