Facility #,Title,File Name,URL,Final URL
1,1,1.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=1.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=1.pdf
2,2,2.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=2.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=2.pdf
3,3,3.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=3.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=3.pdf
4,4,4.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=4.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=4.pdf
5,5,5.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=5.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=5.pdf
7,7,7.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=7.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=7.pdf
8,8,8.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=8.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=8.pdf
9,9,9.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=9.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=9.pdf
10,10,10.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=10.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=10.pdf
11,11,11.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=11.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=11.pdf
12,12,12.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=12.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=12.pdf
13,13,13.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=13.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=13.pdf
14,14,14.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=14.pdf,https://radapps3.wal-mart.com/ImplementationTeamNonSSO/FileShare/FileHandler.ashx?filePath=WIRE_Reports/Pharmacy_POA&fileName=14.pdf
