Organization ,Business Unite,Function,Building Assignment
Walmart US,End to End,Last Mile Delivery,Together
Walmart US,End to End,Supply Chain,Change
Global Tech,End to End,End to End Fulfillment,DGTC
Corporate Functions,Global Finance,Supply Chain Finance,Change
Corporate Functions,Global Finance,Supply Chain and Ops/​Real Estate Controllership,Change
Corporate Functions,Global People ,End to End ,Together
Walmart US,eCommerce,eCommerce,Upstream
Walmart US,Revenue,Revenue,Upstream
Walmart US,Product,Product,Together
Walmart US,Marketing,Marketing,Upstream
Walmart US,Design,Design,Upstream
Corporate Functions,Global Finance,WMUS ONE Integration and Financial Services,Purpose
Corporate Functions,Global Finance,Customer Controllership,Upstream
Corporate Functions,Global People,Revenue and Customer,Upstream
Corporate Functions,Global People,Product and Customer ,Upstream
Walmart US,Merchandising,Fashion,Cheer
Corporate Functions,Global Finance,Fashion Merch Finance,Cheer
Walmart US,Merchandising,Fashion Merch Ops,Cheer
Global Tech,Enterprise Business Services,Enterprise Business Services,DGTC
Global Tech,Global Tech Platforms,Global Tech Platforms,DGTC
Global Tech,Technology Strategy and Commercialization,Technology Strategy and Commercialization,DGTC
Corporate Functions,Global Governance,Global Security,DGTC
Global Tech,Information Security,Information Security,DGTC
Global Tech,US Omni Tech,US Omni Tech,DGTC
Global Tech,US Omni Tech,Commerce Platforms and Emerging Tech,DGTC
Global Tech,Enterprise Business Services,Associate Digital Experience,DGTC
Global Tech,Enterprise Business Services,People Tech and Services,DGTC
Walmart US,Merchandising,"General Merch - Entertainment, Toys, Seasonal, Home and Hardlines ",Hula
Walmart US,Merchandising,General Merch - Merch Ops,Hula
Global Tech,US Omni Tech,Merch Tech,Hula
International,Sourcing,General Merch Sourcing,Hula
Corporate Functions,Global Finance,General Merch Finance,Hula
Corporate Functions,Global People,Merch ,Hula
Walmart US,Merchandising,Merchandise Strategy ,Hula
Corporate Functions,Global Finance,"Tax, Tech Finance, Finance Transformation, Walmart Claims Services",Maverick
Corporate Functions,Global Finance,Audit,Update Coming Soon
Corporate Functions,Global Finance,Care Business Enablement (non-agents),Change
Walmart US,Merchandising,Food Merch,Moon Pie
Walmart US,Merchandising,Food Merch Ops,Moon Pie
International,Sourcing,Food Sourcing,Moon Pie
Global Tech,International Tech,International Technology,Moon Pie
Corporate Functions,Global Finance,Food Merch Finance,Moon Pie
Walmart US,Merchandising,Consumables Merch,Ol' Roy
Walmart US,Merchandising,Consumables Merch Ops,Ol' Roy
Walmart US,Merchandising,Centralized Merch Ops,Ol' Roy
Walmart US,Merchandising,Merch Transformation,Ol' Roy
International,Sourcing,Consumables Sourcing,Ol' Roy
Corporate Functions,Global Finance,Consumables Merch Finance,Ol' Roy
Corporate Functions,Global Governance,Global Security,Purpose
Corporate Functions,Global Finance,Capital Markets,Purpose
Corporate Functions,Global Finance,Treasury,Purpose
Corporate Functions,Global Finance,Global Controllership,Purpose
Corporate Functions,Global Finance,Technology Transformation and Data Governance,Purpose
Corporate Functions,Global People,Global Finance,Purpose
International,International,Strategy & Development,Purpose
Corporate Functions,Global People,International People,Purpose
International,International,International Product,Purpose
International,International,Operations and Supply Chain ,Purpose
Corporate Functions,Corporate Affairs,International Communications,Purpose
Corporate Functions,Global Governance,International Legal and Compliance,Purpose
Corporate Functions,Global Finance,International Finance and Controller,Purpose
Corporate Functions,Global Finance,Enterprise Finance,Purpose
Corporate Functions,Global Finance,Investor Relations,Purpose
Corporate Functions,Global Finance,Enterprise Strategy,Purpose
International,Sourcing,International Global Sourcing,Purpose
International,International,International Marketplace Development,Purpose
Corporate Functions,Global Finance,Centralized Merchandise Finance,Purpose
Corporate Functions,Global Finance,Centralized Operations Finance,Purpose
Corporate Functions,Global Finance,Centralized Supply Chain Finance,Purpose
Corporate Functions,Global Finance,Centralized US Finance Planning - Analysis and Strategy,Purpose
Corporate Functions,Global Finance,ONE Integration & Financial Services,Purpose
Corporate Functions,Corporate Affairs,Government Relations,Sparky
Corporate Functions,Corporate Affairs,Global Responsibility,Sparky
Corporate Functions,Corporate Affairs,Global Communications,Sparky
Corporate Functions,Corporate Affairs,Global Public Policy ,Sparky
Corporate Functions,Corporate Affairs,Public Affairs - State and Local Government Affairs,Sparky
Corporate Functions,Corporate Affairs,Corporate Real Estate,Sparky
Corporate Functions,Global Finance,Corporate Functions Finance,Sparky
Corporate Functions,Global People,Global Talent and Learning,Sparky
Corporate Functions,Global People,Global People Strategy and Innovation,Sparky
Corporate Functions,Global People,Total Rewards,Sparky
Corporate Functions,Global People,People Product and Design,Sparky
Corporate Functions,Global Finance,Risk and Benefits Finance,Sparky
Corporate Functions,Global People,Global People Programs and Strategy,Sparky
Corporate Functions,Global People,Global Associate Relations,Sparky
Corporate Functions,Global People,"Global Tech, Services and Corp Functions",Sparky
Walmart US,End to End,Innovation & Transformation,Together
Global Tech,US Omni Tech,Store Tech,Always
Walmart US,Store Operations,WMUS Store Operations,Together
Walmart US,Global People ,Store Operations,Together
Walmart US,Global People,Innovation & Transformation,Together
Corporate Functions,Global Finance,Store Operations Finance,Together
Corporate Functions,Global Finance,Store Operations Controllership,Together
Corporate Functions,Global Governance,Operations Legal ,Together
Corporate Functions,Global Governance,Global Ethics and Compliance,Trust
Corporate Functions,Global Governance,Digital Citizenship,Trust
Corporate Functions,Global Governance,Global Investigations,Trust
Corporate Functions,Global Governance,"US Operations, US Legal",Trust
Corporate Functions,Global Governance,Centers of Excellence – US Legal​,Trust
Corporate Functions,Global Governance,Threat Management,Trust
Corporate Functions,Global Governance,Emergency Management ,Trust
Corporate Functions,Global Governance,Vetting,Trust
Corporate Functions,Global Governance,Strategic Security,Trust
Corporate Functions,Global Governance,"Physical Security, Security Tech, and Facility Protection",Trust
Corporate Functions,Global Governance,Regulatory and Specialty Legal,Trust
Corporate Functions,Global Governance,"eDiscovery and Strategy,Risk and Ops ",Trust
Corporate Functions,Global Governance,Corporate Secretary ,Trust
Corporate Functions,Global Governance,Litigation,Trust
Walmart US,Realty,Realty,Always
Corporate Functions,Global Finance,​Real Estate Finance,Always
Corporate Functions,Global Finance,​Real Estate Controllership,Always
Corporate Functions,Global Finance,Procurement,Update Coming Soon
Corporate Functions,Global Finance,Indirect Spend Management,Maverick
Corporate Functions,Global Finance,Care Business Enablement (call center),Change
Walmart US,Health and Wellness,Health and Wellness,Upstream
Corporate Functions,Global Governance,Health and Wellness Ethics and Compliance,Upstream
International,Sourcing,Health and Wellness Sourcing,Upstream
Corporate Functions,Global Finance,Health and Wellness Finance,Upstream
Corporate Functions,Global Finance,Health and Wellness Contollership,Upstream
Corporate Functions,Global People,Health and Wellness ,Upstream
Walmart US,Energy Transformation,Energy Transformation,Always
