Market,Region,Division,Total Five Star,4 Star Score & Better Avg,W+ Paid Member Goal %,AES,Sales Comp,Controllable Profit,Presub,Shrink,OPD Growth
289,"75 - VA, MD",EAST BU,4.50,1,91.3%,69,4.5%,15.8%,90.7%,-2.7%,28.8%
349,"44 - Oklahoma, N TX",SOUTHWEST BU,4.57,6,97.4%,71,5.8%,16.5%,95.5%,-1.2%,26.7%
327,"42 - AR, MO, LA",SOUTHEAST BU,4.52,4,98.0%,73,8.0%,14.9%,95.0%,-2.0%,33.8%
173,"17 - NYC Metro, CT, RI",EAST BU,4.59,7,99.5%,70,7.4%,16.4%,92.6%,-2.4%,71.8%
84,6 - South Texas,SOUTHWEST BU,4.62,7,89.8%,73,5.2%,14.7%,95.5%,-1.2%,13.6%
137,11 - Memphis,SOUTHEAST BU,4.55,3,91.4%,70,6.7%,16.7%,94.2%,-1.4%,30.4%
801,29 - PUERTO RICO,SOUTHEAST BU,4.77,10,0.0%,73,8.2%,16.0%,93.3%,-1.2%,626.5%
811,29 - PUERTO RICO,SOUTHEAST BU,4.81,8,0.0%,78,5.9%,15.4%,93.7%,-1.0%,11457.5%
311,"20 - VA, OH, PA, WV",NORTH BU,4.57,4,99.5%,72,6.2%,15.3%,95.5%,-1.4%,25.8%
439,53 - WISCONSIN,NORTH BU,4.50,2,96.0%,68,7.0%,17.3%,95.1%,-1.6%,29.6%
140,11 - Memphis,SOUTHEAST BU,4.55,2,88.5%,70,5.6%,14.0%,89.9%,-2.4%,33.2%
42,4 - South Carolina,EAST BU,4.55,5,96.9%,66,8.1%,15.6%,92.2%,-2.1%,54.4%
258,"20 - VA, OH, PA, WV",NORTH BU,4.62,7,95.7%,81,6.9%,17.4%,96.2%,-0.9%,35.3%
166,"22 - PA, NJ",EAST BU,4.56,1,94.6%,70,11.5%,12.1%,86.9%,-3.7%,82.2%
85,6 - South Texas,SOUTHWEST BU,4.61,10,94.8%,72,4.8%,15.9%,94.8%,-2.1%,22.8%
351,"44 - Oklahoma, N TX",SOUTHWEST BU,4.57,4,98.8%,71,5.0%,17.1%,94.6%,-1.3%,26.2%
129,"13 - LA, MS",SOUTHWEST BU,4.66,8,92.2%,72,4.0%,14.6%,95.2%,-1.8%,40.5%
70,7 - W TX / N NM,SOUTHWEST BU,4.54,3,92.3%,69,6.6%,16.4%,96.0%,-1.7%,29.8%
474,60 - OR WA AK,WEST BU,4.48,2,94.4%,63,7.5%,16.6%,93.0%,-2.6%,34.6%
135,"42 - AR, MO, LA",SOUTHEAST BU,4.61,7,90.0%,73,6.4%,14.1%,95.0%,-1.5%,45.4%
320,"76 - West NY, PA, VA & DC",EAST BU,4.67,10,99.3%,59,7.1%,17.3%,94.6%,-0.8%,27.7%
357,40 - Missouri,NORTH BU,4.46,4,99.0%,66,9.3%,17.3%,94.9%,-1.1%,36.6%
78,7 - W TX / N NM,SOUTHWEST BU,4.67,10,91.0%,75,7.1%,16.9%,95.6%,-1.9%,27.8%
103,72 - SOUTHEAST,NHM BU,4.72,13,95.9%,84,13.8%,12.7%,94.5%,-3.2%,16.9%
271,41 - Indy / KY,NORTH BU,4.59,6,95.5%,64,6.8%,14.5%,95.2%,-2.0%,29.4%
88,7 - W TX / N NM,SOUTHWEST BU,4.68,9,85.8%,78,6.4%,17.2%,95.8%,-1.4%,22.5%
528,64 - SOUTHWEST,NHM BU,4.74,16,93.6%,77,8.3%,12.1%,96.3%,-1.0%,-11.6%
