Primary Key,Item Name,GNFR Number,Description,Category,Count/Pack,Image,,
case,Kids Plastic Case ,100626184 ,Kids Plastic Case ,Case,,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_KidsPlasticCase.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_KidsPlasticCase.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_KidsPlasticCase.jpg
case,Premium Clamshell Case ,100626189 ,Blue plastic/Premium Clamshell Case depending on inventory,Case,25ct/pk,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/vision-center-order-guide-items2/202211_Cases_Blue%20plastic%20Premium%20Clamshell%20Case.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/vision-center-order-guide-items2/202211_Cases_Blue%20plastic%20Premium%20Clamshell%20Case.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/vision-center-order-guide-items2/202211_Cases_Blue%20plastic%20Premium%20Clamshell%20Case.jpg
case,Mini Max Case ,100626185 ,Mini Max Case ,Case,,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_MiniMaxCase.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_MiniMaxCase.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_MiniMaxCase.jpg
case,Slip-In Give Away Case ,100626187 ,Slip-In Give Away Case ,Case,,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_SlipInCase.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_SlipInCase.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Cases_SlipInCase.jpg
contactlens,Contact Crimping Caps ,100626183 ,Contact Lens Vial Crimping Caps ,Contact Lens,,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Contact%20Lens_ContactLensCrimpingCaps.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Contact%20Lens_ContactLensCrimpingCaps.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Contact%20Lens_ContactLensCrimpingCaps.jpg
contactlens,Contact Lens Case ,100626190 ,Contact Lens Give Away Case (Pk of 100) ,Contact Lens,100ct/pk,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Contact%20Lens_WMContactLensGiveawayCase.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Contact%20Lens_WMContactLensGiveawayCase.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Contact%20Lens_WMContactLensGiveawayCase.jpg
pretestequipmentsupplies,"HFA 720, 700 Series ",100626192 ,"HFA 720, 700 Series Humphrey Visual Fields ",Pretest Equipment Supplies,1ct/pk,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_HFA720.700SeriesVisualFieldPaper.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_HFA720.700SeriesVisualFieldPaper.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_HFA720.700SeriesVisualFieldPaper.jpg
pretestequipmentsupplies,Thermal Paper ,100626181 ,Thermal Paper (Pk of 5) - Topcon/Reichert ,Pretest Equipment Supplies,5ct/pk,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_Topcon.ReichertThermalPaper.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_Topcon.ReichertThermalPaper.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_Topcon.ReichertThermalPaper.jpg
pretestequipmentsupplies,FDT 710 ,100626193 ,Zeiss Humphrey FDT 710 (Pk of 5) ,Pretest Equipment Supplies,5ct/pk,Image,<a href='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_FDT710.jpg 'max-width:200px;' 'title='Click to open the image'><img src='/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_FDT710.jpg' alt=''/></a>,/content/dam/us-wire-wm1/documents/health-wellness/vision-dept/vision-center-order-guide-items/202211_Exam_FDT710.jpg
pretestequipmentsupplies,Refractor & Analyzer ,100626191 ,Humphrey 599 Auto Refractor & 350/360 Analyzer ,Pretest Equipment Supplies,,Image,<a href=' 'max-width:200px;' 'title='Click to open the image'><img src='' alt=''/></a>,
