Company,Pay Period End,Tracking #,Address,City,State,Zip Code,FedEx URL,
1,6/13/2025,289562400047,2110 W Walnut St,Rogers,AR,72756,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562400047,
2,6/13/2025,289562418005,161 N Walmart Dr,Harrison,AR,72601,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562418005,
3,6/13/2025,289562435074,30983 Highway 441 S,Commerce,GA,30529,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562435074,
4,6/13/2025,289562449129,2901 Highway 412 E,Siloam Springs,AR,72761,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562449129,
5,6/13/2025,289562468190,1155 Hwy 65 North,Conway,AR,72032,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562468190,
7,6/13/2025,289562482036,9053 Highway 107,Sherwood,AR,72120,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562482036,
8,6/13/2025,289562497635,1621 North Business 9,Morrilton,AR,72110,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562497635,
9,6/13/2025,289562512823,1303 S Main St,Sikeston,MO,63801,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562512823,
10,6/13/2025,289562536886,2020 S Muskogee Ave,Tahlequah,OK,74464,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562536886,
11,6/13/2025,289562549485,65 Wal Mart Dr,Mountain Home,AR,72653,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562549485,
12,6/13/2025,289562570208,1500 S Lynn Riggs Blvd,Claremore,OK,74017,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562570208,
13,6/13/2025,289562583208,2705 Grand Ave,Carthage,MO,64836,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562583208,
14,6/13/2025,289562598347,1800 S Jefferson Ave,Lebanon,MO,65536,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562598347,
15,6/13/2025,289562616556,1310 Preacher Roe Blvd,West Plains,MO,65775,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562616556,
16,6/13/2025,289562635415,2214 Fayetteville Rd,Van Buren,AR,72956,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562635415,
17,6/13/2025,289562649569,3200 Lusk Dr,Neosho,MO,64850,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562649569,
18,6/13/2025,289562664179,1211 Highway 367 N,Newport,AR,72112,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562664179,
19,6/13/2025,289562676919,333 S Westwood Blvd,Poplar Bluff,MO,63901,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562676919,
20,6/13/2025,289562693716,1712 E Ohio St,Clinton,MO,64735,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562693716,
21,6/13/2025,289562709318,185 Saint Robert Blvd,Saint Robert,MO,65584,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562709318,
22,6/13/2025,289562723686,4901 S Mill St,Pryor,OK,74361,https://www.fedex.com/apps/fedextrack/?tracknumbers=289562723686,
